,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X000568.SZ,X600104.SH,X003816.SZ,X300124.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002241.SZ,X002179.SZ,X600418.SH,X002463.SZ,X000977.SZ,X600584.SH,X600089.SH,X600703.SH,X000157.SZ,X600372.SH,X002028.SZ,X002236.SZ,X002049.SZ,X600183.SH,X600741.SH,X000066.SZ,X600522.SH,X600066.SH,X600839.SH,X601877.SH,X600460.SH,X002456.SZ,X002156.SZ,X600487.SH,X000661.SZ,X000800.SZ,X002085.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000157.SZ,0,0.193927965895419,0,0,0,0,0,0,0,0.0163976101973199,0,0,0.0102868525773573,0,0,0,0,0,0,0.0474489125697211,0.0933454302373377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0389319322713206,0,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.322082099118277,0,0,0,0,0,0,0,0.112030800412284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00368320355640523,0,0,0.0221792411677813,0,0,0,0,0.0459541460616953,0,0,-0.0337242345415363,0,0,0,0,0.0170757357708537,0,0
X002028.SZ,0,0.0799035817120072,0,0,0,0.0225087485334704,0,0,0.0231541311534958,0,0,0,0,0,0,0,0,0.000232977101615329,0,0,0,-0.154617831502532,0,0,0,-0.0388892286574022,0,0,0,0,0,0,0,0,0,0,0.0201896044541267,-0.0921614446041892,0.116686105171001,0.297016015616008,0,0,0,0,0.0759387302852775,0,0,0,0,0,0,0,0,0.192345502890045,0,0,0.00460853420084125,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.146941117143683,0,0.0229099691046243,0,0,0,0,0,0.216633267544464,0,0.146001007680725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052129828028783,0,0,0.0260061182777856,0,0,0,0,0,0,0,0,0,0,-0.0405008260706856,0,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0.116851887394134,0,0,0,0.232206787182049,0,0.188809141026984,0,0,0,0,0,0,0,0,0,0,0.027887509338112,0.0594549660150831,0,0,0.28486285708817,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,-1.0842021724855e-19,0,0.0367978279739964,0,0,0,0,0,0,0,0,-0.0350589283199798,0,0,0,0,0,0,0
X600183.SH,0,0,0,0.136716559602734,0,0,0,0,0,0,0,0,0.116773161914533,0,0,0,0,0,0,0,0.178290296960995,0.0768508182315456,0.0205126772974545,0,0,0.00475947877956152,0.0572212656974584,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422709343490989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0.115764052158756,0,0,0.125093858900287,0,0.0193303582957807,0,0,0,0.0892867835709509,0,0,0,0.0930647323130204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0643393940416985,0,0,0,0,0,0,0.0413833815565036,0,0,0,0,0,0,0,0,0,0,0
X000066.SZ,-0.0191623469633582,0,0,0,0,0,0,0,0,0,-0.0259800626740361,0,0,0,0.333682662162294,0,-0.162577711821507,0,0,0,0,0.434854062258566,0,0,0,0,0,0.0154778744729593,0,0,0,0,0,0.432217189059361,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154259353990336,0,0
X600522.SH,0,0,0.138746856171813,0,0,0,0,0,0,0,0,0,0.06767676781634,0,0,0,0,0,0.0532099083955758,0,0.116020576776563,0.0390718643495995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162790162968856,0,0,0.0141603191903557,0.103970061713322,0,0,0,0,0,0,0,0,0,0,0.0255917649502606,0,0
X600066.SH,0,0.204706041474359,0,0,0,0,0,0,0,0,0,0.341883765703887,0,0,0,0,0.0457565857497967,0,0,0,0,0,0,0,0,0,-0.139306099204809,0,0,0,0,0,0.0198192486293698,0,0,0,0,0,0,0,0.0337486028918138,0,0,0,0,0.230096166260552,0,0.111932932804754,-0.144731166128226,0,0,-0.0101472621051893,0,0,0,0,0,0,0
X600839.SH,0,0,0,0.119775212669773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418251733925833,0.015721258661567,0,-0.101803801427879,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.0230854540718906,0,0,0,0,0.36532589649887,0.546836494565926,0,0,0,0,0,0,0,0,0,0,0,0,0.0966358291854228,0,0
X601877.SH,0,0,0,0,0,0,0.0668723120603398,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284019254475951,0,0,0,0,0.00979159694048798,0,0,0.0493674477928827,0,0,0,0,0,0,0,0,-0.00880825252128131,0.0286865431387278,0.0236185915815303,0,0,0,0,0.0182234092571344,0,0,0,0,0,0,-0.0159126698280644,0,0,0,0,0,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0,0,0,2.31752201605637e-05,0,0,0,0,0,0,0,0.145277494214261,0,0,0,0.150447622502896,0,1.73472347597681e-18,0.220937297289649,0,0.0787706426098077,0,0,0,0,0.355032007754153,0,0,-0.0429568364926879,0,0,0,0,0,0.139505191883389,0,0,0,0,-0.0020248512089578,0,0,-0.0187889353801728,0,0,0,0,-0.000556095218546552,0,0
X002456.SZ,0,0,0,0.0952196777726502,0,0.294809246111206,0,0,0,0,0,0,0.0992177118537708,0,0,0,0,0,0,0,0,0.198632591685289,0.248777723396464,0,0.234034707520829,0,0,0,0,0,0,0,0,0,0,0,0,-0.114324625962754,0,0,0.222995612242401,0,0.0450427768964308,0,0,0,0,0,0.0477502809201397,0,0,0,0,0,0,0,0.0789444605778261,0,0
X002156.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0495352574344423,0,0,0,0,0.161404896181972,0,0,0,0.173807552146245,0,0,0,0,0,0,0,0.125221141933492,0,0,0,0,0.282651687466925,0,0,0,0,0,0.130660686508728,0,0,-0.116237206040286,0,0,0,0,0.0634042959573237,0,0
X600487.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.152992142827318,0,0.00133547390054906,0,0,0,0,0,0,0,0,0,0.0477525254020462,0.108590327927734,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.0805242956858351,0,0.314316429038375,0.0698977290883567,-0.0793946782471691,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0,0,0.0105262111998925,0,0.358542064381848,0,0,0,0,0,0,0.0788688892974791,0,0,0,0,0.0211874076675703,0,0,0,0,0,0,0,0,0,0.112075922598255,0,0,0,0,0,0,0,0,0,0.0127615486588051,0,0,0,0,0,0,-0.0366595500580699,0,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0.0636502597573417,0,0,0,0,0,0.217901782987937,0,0,0,0.0643419593478012,0.0799351391729427,0,0,0.0822649298684127,0,0,0,0,0,0,0,0,0,0,0,0.10681030379192,-0.0059571674788074,0,0.136284714069704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002085.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138251588283184,0.518943953533632,0,0,0.103604183357768,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.367808882446381,0,0,0,0,0,0,-0.020627570453774,0,0,0,0,0.0146170961314541,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0.0596520880927777,0,0,0,0,0,0,0,0,0,0.401930696074897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150559422763662,0,0,0.0448759015247952,0,0.0274482727490704,0,0,0,0.0957703215075551,0,0.0897884446417544,0,0,0,0,0,0,0,0.0463131102682631,0,0
Change_TY3M,0,0,0,0,0,-0.110563420631277,0,0,0,0,0,0,0,0.0256929942246684,0,0,0,0,0,0.0433925202066937,-0.0222525949369842,0,0,0,0,0,0.00727311245430087,0,0,0,0,0,0,0,0,0,0,0,-0.115087785155052,0,0.0238092200131355,0,0,0,0,0,0,0,0,0,0,-0.046863368340946,0,0.0282992199237756,0,0,-0.0081228111793584,0,0
