,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X000651.SZ,X003816.SZ,X600104.SH,X300124.SZ,X000625.SZ,X002304.SZ,X000725.SZ,X002371.SZ,X000338.SZ,X000063.SZ,X600031.SH,X000596.SZ,X000100.SZ,X300014.SZ,X600089.SH,X002179.SZ,X600703.SH,X002241.SZ,X000157.SZ,X002129.SZ,X600372.SH,X002236.SZ,X600741.SH,X000661.SZ,X002049.SZ,X000977.SZ,X600584.SH,X601877.SH,X002028.SZ,X600522.SH,X002463.SZ,X600183.SH,X601799.SH,X000800.SZ,X002074.SZ,X600066.SH,X002007.SZ,X600460.SH,X000921.SZ,X002223.SZ,X300142.SZ,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002241.SZ,0,0,0,0,0,0,0.391192447246774,0,0,0,0,0.000651487184057203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0448197329649201,0,0,0,0,0.0768773720245689,0.160629961204381,0,0,0,0,0,0,0,0,0.00128360988309713,0,0,-0.0157002507332397,-0.0136910979517876,0,0,0,-0.051818376875272,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336154534481727,0,0,0,0,0,0,0,0,0,0.0188695542520312,0.0166860450481727,0,0,0.0267421498460063,0,0,0,0,0.135065132138317,0,0,0,0,-0.0106650676251261,0.0224718721224773,-0.0903205467919784,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0.141156965603995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082952192671025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143899509267561,0,0,-0.0383734681211359,0.0223288606210502,0,0,0,0.0468971189841702,0,0
X600372.SH,0,0,0,0,0.0904253097928916,0,0,0,0,0,0,0,-0.0357682080530218,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.091149399125674,0,0,0.188323577357344,0.0273177969751459,0,0,0,0.221918732800565,0,0,0,0,0.00428766255027892,0,0,0,0,0,0,0,0,-0.00973103037388045,-0.0243229235124877,0,0,0,8.67361737988404e-19,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.640897156413543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15871073937435,0,0,0,0,0,0,0,0.00340843563139811,-0.00674549431865639,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217346174140786,0,0,0,0,0,0.0726176893267674,0,0,0,0,0,0,0.11098765466512,0.135196764477194,0,0,0,0,0,0,0.117361620817739,0,0,0.0183411374722821,0,0,0,0,0.0285903233087362,0,0
X000661.SZ,0,0,0,0.038344996376617,0.150394030523368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336871274580272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107051381708463,0,0,0,0,0,0,0,0,0,0,-0.0442277718897434,0.000900907017284122,0,0,0,-0.161632362165368,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119400570330218,0,0.0977863543425814,0,0,0,0.106894263041072,0,0,0,0.00210212303713783,0,0,0,0,0,0,0,0,0.181597620111531,0,0,0,0,0,0,0,0,0,0,0.0452026444110301,0,0,0.0336406939046666,0,0,0,-0.00639822404003809,0,0,0,-0.0188411123768549,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0.0173075876189503,0,-0.183438524555295,0,0,0,0,0,0,0.27604929171573,0,0,0,0,0,0,0,0,0,0,0,0.305369035298309,0,0,0.293539700690776,0,0.0312489249167902,0,0,0,0,0,0,0,0,0,0,0.164397488231256,0.110364884353577,0,0.040985023345622,0,0,0,0.0228031970030171,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347715689427277,0,0,0,0,0,0,0,0,0,0.130339184185249,0,0,0,0,0,0,0.486953571733988,0.0151167267921149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0293827860128688,0,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540134539437164,0,0,0,0,0,0,0,0,0,0.322021639293788,0,0,0,0,0,0,0,0,0.0297899644988197,0.144433717376299,0,0,0,0,0,0.0654048316708927,0,0,0.00498541234424671,0,0,0,0,-0.0211661904767598,0,0
X002028.SZ,0,0,0,0,0.00650218096070875,0,0,0,0.0486280963316635,0,0,0.078195814332354,-0.0285361070024775,0,0,0,0,0,0,0,0,0,0,0.02267236440034,0,-0.0199258494627,0,-0.146610334433992,0,0,0,0,0,0.119674492925959,0,0,0,0,0,0,0,0,0,0,0,0,0.126604127993479,0,0,0,0,-0.0247883753802083,0.0262365789773815,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0976304805354989,0,0,0,0,0,0.122023648519938,0,0,0.171627459977176,0,0,0,0,0,-2.16840434497101e-19,0.189709962838579,0,0,0,0,0.0652407739128582,0,0,0,0,0.0724398866443852,0,0,0,0,0,0,0.138571413671324,0,0,0,0,0,0.0203910407477947,0,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.247025962440758,0,0,0,0,0,0,0,0,0,0,0.208025632026974,0,0,0,0,0,0.242581764559141,0,0,0,0,0,0.242984986115242,0,-0.135716310146409,0.122329800907794,0,0,0,0,0,0,0,0,0,-0.028426567198423,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0206916304870111,0,0,0,0,0,0,0,0,0,0,0,0,0.323988940832366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279802986404248,0,0,0,0,0,0.112910210950647,0,0,0.00503037989780474,-0.0172531675587177,0,0,0,0,0,0
X601799.SH,0,0,0,0,0,0,0.070443441276147,0,0.0898421248464191,0,0,0.087157484896466,0,0,0,0,-0.0648234898197887,-0.144508983556871,0,0,0,0,0,0.0857725801008792,0,0,0,0,0,0,0,0,0,0,0,0,0.177910751828777,0,0,0,0,0,0,0,0,0,0.145059555863184,0,0,0,0,-0.015700556309908,0,-0.096028160587869,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0.4903048451799,0,0.0699763490788393,0,0,0,0,0,0,0,0,0,0,0,0,0.156707128842678,0,0,0,0,0,0,0,-0.0547232845693783,0,0,0,0.0825843374764313,0,0,0,0,0,0.016616865562208,-0.251483251814187,0,0,0,0,0,0,0,0.0260397853733026,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151275357763603,0.0502397560559804,0.0242240985955346,0,0,0,0.315076906796423,0,0,0,0,0,0.111639181082124,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109395168239064,0,0,0,0,0,0,0.0404170982625515,0,0,0.000481534660710144,0,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,0,0,0.0322113658484914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,-0.0184045008667641,0,0,0.158490936292521,0,0,0,0,0,0,-0.0722576278306268,0.216410783861529,0,-0.033699459323168,0.0365625580247185,0,0,0,0,0,0
X002007.SZ,0,0,0,0.300643577927949,0,0,0,0,0,0.0210388889148745,0,0,-0.0321202186224245,0,0,0,0,0,0,0,0,0.0225912911688968,0,0,0,0,0,0,0,0,0,0.0237735431686423,0,0,0,0,0,0,0,0,0.094953217175674,0,0,0,0,-0.034609646357303,0,0,0.000382753874724648,0.315058695900572,0,0.0105832649752324,-0.0130346681620814,0,0,0,0,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0999920272075765,0,0,0,0,0.110958149864294,0,0,0,0,0,0,0,0.0530837675997484,0,0.0406515184255321,0,0,0,0,0,0.0811337645955654,0,0,0,0,0,0.0659951919761778,0,0.0792797555651591,0,0,0,0,0,0,0,0,0,-0.00852386997686674,0.0162932143291026,0,0,0,0,0,0
X000921.SZ,0,0,0,0,0,0,0,0.239899698991135,0.0142052956765807,0,0,0,0.053303519768225,0,0,0,0,0,0,0,0,0,0.0814854633355241,0.0480023403265795,0,0,0,0,0,-0.00321831935967289,0,0,0,0.0552001135578132,0,0,0.363438402948979,0,0,0,0,0,0,0,0,0,0,0,-0.0331879961391049,0,0,0,0.00191838901900486,0,0,0,0,0,0
X002223.SZ,0,0,0,0.06049522649953,0,0,0.0172969719045621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0745871381220964,0,0,0,0,-0.0448348222599633,0.0119264586072918,0,0,0,0,0,0
X300142.SZ,0,0,0,-0.0373044837564555,0,0,0,0,0,0,0,0,-0.0611137639586791,0,0,0,0,0,0,0,0,0,0,0,0,0.129493760068691,0,0.259070429053021,0,0,0.547716896620914,0,0,0,0,0.140491156211753,0,0,0,0.231960856151146,0,0,0,0,0,0,0,0,0,0,0,0,-0.00551139320648177,0,0,0,0,0,0
X002294.SZ,0,0,0,0.132869473812611,0,0,0,0,0,0,0,0,0.0179366007267628,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.0548908437331048,0,0,0,0,0,0,0,0,0.0200913587684664,0.276107053464659,0,0,0,0.135252449771626,0,0,0,0,0,0,0,0.0318747007122736,-0.0521411839560692,0,0,0,0,0,0
Change_TY3M,0,0,-0.01683624764809,0,0,-0.126399661259258,0,0,0,0,0,-0.113995136166151,0.0207443819134828,0,0,0,0.315881618179362,-0.097033287588845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0988805108301087,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0913140768054757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0956565160596226,0,0,0,0,0,0,0,0,0,0,0,0,0.650675318077594,0,0,0,-2.14062619710949,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,-0.111530937816562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244281175417229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23453947887605,0,0,0,0,1.6294467785949,0,0
RealEstate_excess,0,0,-0.0813270410576963,0,0.0266516662109684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0664393871073293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0439222958371779,0,-0.00657664192831341,0,0,0,0,0,0
MKreturn,0,0,0.0753708949913999,0,0,0.0444001306520473,0,0,0,0,0,0.0331654451750855,0,0,0,-0.0347076045349288,0,0.0523312293657995,0,0,0,-0.0438594786978921,0,0,0.0511927843806864,0,0,-0.177518402011357,0,0.00403617690818597,0,0,0,0.0524452099053117,0,0,0,0,0.00194715958903729,0,0,0,0,0,0,0,0,0,0,-0.0593652907666744,0,0.00400971128569526,0,0,0,0,0.0355841738862164,0,0
MKvol,0,0,0,0,0,0.00154809822838222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000571595516686572,0,0,0,0,0,0,0,0,0,0,0.000319370536288195,0,0.00223060911442022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0181876498319e-06,0,0,0.00169488224971713,-0.00152156803931508,0,0,0,-0.0108162998998494,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,-0.0635139297292928,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103768948086056,-0.0830932289111605,0,0,0,0,0,0,0,0,0,-0.0662693582129442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.282936241341994,0.29871065831469,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0.00325710340182182,0,0,0,0,0,0,0,0,-0.00551064209426015,0,0,0,0,0,0,0,0,0,0,0,0.00442045312872711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00499857439562609,0.00738325911267525,0,0,0,0.0113875649293311,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0138599703480637,0.0144685866496285,0,0,0,0.0386290214076437,0,0
