,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X000063.SZ,X600031.SH,X600276.SH,X600690.SH,X000338.SZ,X600372.SH,X000157.SZ,X002241.SZ,X600741.SH,X600703.SH,X600089.SH,X600066.SH,X600271.SH,X600118.SH,X000100.SZ,X000550.SZ,X002236.SZ,X601877.SH,X000581.SZ,X300124.SZ,X002475.SZ,X000623.SZ,X600582.SH,X000568.SZ,X000800.SZ,X002294.SZ,X000400.SZ,X600177.SH,X000559.SZ,X002129.SZ,X600839.SH,X000869.SZ,X002456.SZ,X002292.SZ,X002465.SZ,X000977.SZ,X600312.SH,X002007.SZ,X000050.SZ,X600435.SH,X300003.SZ,X002038.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002465.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115307138231895,0,0,0,0,0,0,0.183785307725274,0.100039988089235,0,0,0,0,0,0.0531861009444329,0,0.0711989466478763,0,0,0.00950610701777147,0,0,0.00529109263748709,0,0,0,0,0,0,0,0,0,0,0,0.289931896996514,0.109748911898962,0,0,0,-0.00232494641928527,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235934528941038,0,0.108312637777418,0.0169767650018653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329353819912228,0,0,0,0,0,0,0,0,0,0,0,0,-0.0867621898296794,0.000394073030227644,0,0,0,0,0,0
X600312.SH,0.111349663991236,0,0,0,0,0,0,-0.143599037051282,0,0,0,0,0,0,0,0,0,0,0.300629887510341,0,-0.059277949535014,0.102612893542964,0,0,0,0,0.119978954868416,0,0,0,0,0,0,0,0.470395100446169,0,0,-0.0513940992130997,0,0,0.163908109329561,0,0,0,0,0,0,0,0,0,0,-0.0206515941100987,-0.0136678085998956,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184044402420379,0,0,0,0,0,0,0.230138951161746,0,0,0,-0.0469503708955682,0,0,0,0,0,0.0544139922627035,0.0468856473615443,0,0.0381471855768827,0.317916056681091,0,0,0,0,0,0,0,0,0,-0.084389398340745,-0.0109866133662129,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0,0,-0.143040731896177,0,0,0,0,0,0,0,0,0,0,-0.0120109491608697,0,-0.0571947225710833,0,0,0,0,-0.0255058155268437,0.153057549757838,0,0,-0.0270835745598931,0,0,0,0,0.19411020135836,0.0872521133915179,0,0,0.201476686228983,0,0.115541934109776,0,0,0.150926282675191,0,0.0983466474929612,0,0,0,0.0578866477999672,0.00628780300465162,0,0,0,0,0,0
X600435.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333543129652775,0.145410331079028,0,0,0,0,0,0,0.15319447923338,0,-0.013586705097622,4.33680868994202e-19,0,0,0,0,0,0,0.0681396460512554,0,0,0,0,0,0,0,0,0.229489632942445,0.170757502567408,0,0,0,0,0.125389113035981,0,0,0,0,0.0047955971592911,0.0260027257353093,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,-0.21852561785706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0946025601884423,0,0,0,0,0,0,0,0.0761716426699456,0,-0.00836259325656194,0,0,0,0,0,0,0,0,0,0,0.079074019831364,0.010935331554856,0,0,0,0.28138226541665,0.229039783157584,0,0,0,0,-5.93059360229115e-06,0,0,0,0,0,0
X002038.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347303400800594,0,0,0.0224141496735704,0,0,0,0,0,0,0,0.0227424040912171,0,0,0,0.192513260366809,0,0,0,0.0244797857869432,0,0,0,0,0.00567028375115154,0.0990177262130509,0,0.0923236129873927,0,0,0,-0.00083023669594982,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0.0129171680190246,0,0,0,0,0,0,0,0,0,0,0,0.0835444039604661,0,0,0,0,0,0,0,0.0128195163456131,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0714348217661495,-0.0105235264404471,-0.00258659221966873,0,0,0,0,0,0,-0.000240118722910683,0,-0.0497027012179776,0,0,0,0
Slope,0,0,0,0,0,0,0,-0.0961654156537021,0,0,0,0,0,0,-0.297152306834004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874574352445509,0,0,0,0,0,0,0,0,0,0,0,0.252636864496957,-0.298950994823019,0,0,0.0269585306990933,0.432306258325758,0,0,0,0,-0.164459548131186,0,0,0,0,0,0
TED,0,0,-0.35930186992725,0,0,0,0,0.622265213997926,0,0,0,0,0,0,0,0,0,0,-1.17935892204495,0.541353126214686,0,0,0,0,0,0,0,6.93889390390723e-18,0.658467129044573,0,0,0,0,0,0,0,-1.37877354222391,0,6.93889390390723e-18,0,0,0,0,0,0,0,-0.435489923976358,0,0.513765330040933,0,0,-0.881509740708931,0,-0.890631793298854,0,0,0,0,0
RealEstate_excess,0,0,-0.437802218424405,0,0,0,0,0,0,0,0,0,0,-0.00635371860511179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00913054021871596,0,0,0.149652522944471,0,0,0,0,0.0405002637962824,0.200069523469851,0,0,0,0,0,0,0,0,0,0,-0.0944612849512496,0,0,0,-0.00782323783320603,0,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105442487211685,0,0,0,-0.12016747067305,0,0,-0.10624062368718,-0.00497753904085616,0,0,0,0,0,0,0,-0.028801467359517,0,0,0,0,0,-0.0445457998181842,0,0,0,0,0,0,0,0,0.0398573022670339,-0.000833269191317753,-0.108077370754791,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103505914206552,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,-0.0359976075340632,0,0.0118444587242355,0,0,0,0,0,0,0,0.0316983169845737,0,0,-0.0161465087789323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0404869791297102,-0.0160489376930315,0,-0.0427752167279588,0,0.082766863947642,0,0.107535164614411,0.0278733084571333,0,0,0,0,0,0
CarbonVol_Guangdong,-0.000239862778153541,-0.0132850524764955,0,0.00480218638493748,0,0,0,0,0,-0.000417673547388402,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0.00595335123114902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000263543189606859,0,0,0,0,0.00515587177828741,-0.0127898990416474,0.000946030729203187,0,0,0,0,0,0,0.0105507592139603,0.000781218972975117,0.00613413603437231,0,0,0,-0.0154904818509307,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177200140300473,0,0,0,0,0,0
