,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X600031.SH,X000100.SZ,X600271.SH,X600372.SH,X000157.SZ,X600066.SH,X002292.SZ,X000559.SZ,X002236.SZ,X000338.SZ,X002241.SZ,X600089.SH,X600741.SH,X002475.SZ,X601877.SH,X002129.SZ,X600177.SH,X000016.SZ,X000547.SZ,X600839.SH,X300124.SZ,X000568.SZ,X600435.SH,X002465.SZ,X300003.SZ,X600582.SH,X002294.SZ,X002074.SZ,X002276.SZ,X000066.SZ,X600252.SH,X002456.SZ,X000581.SZ,X000550.SZ,X000977.SZ,X002008.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600177.SH,0,0,0,0.0721121112598006,0,0,0,0.278523598759102,0,0.0427267130265069,0,0.0780317606766258,0,0,0.0654633697720878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110511648902148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457428366418978,0,0,0,0,0,-0.00236425874751483,0,0,0,0,0,0
X000016.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166527060197074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207190892277784,-0.0269494388264955,0,0,0,0.106944499206853,0,0
X000547.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292412722827676,0,0,0,0.0898513744046503,0,0,0,0,0,0,0,0,0,0,0,0.076377056324644,0,0,0,0,0,0.0257727204653101,0,0,0,0,0,0,0,0,0.0234613511222501,0,0,0,-0.03697028961822,0,0,0,0,0,0,0
X600839.SH,0,0,0,0,0,0,0,0,0,0,0,0.253139302580048,0,0,0,0,0,0,0,0,0.152928398944308,0,0,0,0,0,0,0,0,0,0,0.0206626596599418,0,0,0,0,0,0,0,0,0,0,0,0.00690564266461211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0.113121743978514,0,7.05016685434627e-05,0,0,0.114305171402643,0,0,0,0.0932913399830838,0,0,0,0,0,0.0999963387382647,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111977340915252,0,0,0,0.13142015342209,0,0,0.0790203037137948,0,0,0,-0.0164748404732571,0.0111028542789078,0,0,0,0,0,0
X000568.SZ,0,0,0.0526290101829579,0,0.0139396458206708,0.475448298668958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120004922797281,0,0,0,0,0,0,0,0,0,0,0,0.0535427433745672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157409370790113,0,0,0,0,0,-0.0230197792620194,0,0,0,0,0,0
X600435.SH,0,0,0,0,0,0,0,0,0.0742512820952954,0,0,0.498309441164025,0,0,0,0,0.149336991011616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05480834570243,0,0,0,0,0.0300203417254813,0,0,0,0.0441159450055824,0,0,0,0,0,0,0,0,0,0,0.0182346302774997,-0.00914924571944436,0,0,0,0,0,0
X002465.SZ,0,0,0,0,0,0,0,0,0.20678888124348,0,0,0.339170497293248,-0.0722189235892731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407779938303713,0.0335720500606513,0,0,0,0,0,0,0.00725488389034649,0,0,0.0727904624330602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306990927075937,0,0,0,0,0,0,0.020664499531156,0,0,0,0,0,0.0280431199501774,0,0,0,0,0,0,0,0,0,0,0,0,0.0651116341514508,0,0,0,-8.67361737988404e-19,0,0,0,0.132265648280738,0,0.086675939012487,0,-0.0146511951898268,0,0,0,0,0,0,0
X600582.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155100503596075,0,0,0,0.0699831381573578,0,0,0,0,0,0,0,0,0,0,0.276403742615624,0.0120050743463822,0,0,0,0,0.0459762108473482,0,0,0,0,0,0,0,0,0,0.251819841605178,0,0,0,0,0,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0.108176410379096,0.0582748038743043,0,0.129527853022581,0,0,0,0,0,0,0,0.130908891149222,0,0,0,0,0,0,0,0,0.0182409599005437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210485781464432,0,0,0.183442068001912,0,0,0,0,-0.00368323659938152,0,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0345448392273785,0,0,0,0,0,0,0,0,0.0409634664041838,0,0,0,0,0,0,0,0,0,0,0.384199535810849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0287692639125006,0,0,0,0,0,0,0
X002276.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229392169305197,0,0,0,0,0,0,0,0.147911850750987,0,0,0,0,0,0,0,0,0,0,0.253462132344439,0,0,0,0,0.0266165455890614,0.165658823495708,0,0,-8.67361737988404e-19,0,-0.0403902349437967,0.0209050524109546,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0.235493547991246,0,0,0,0,0,0,0,0,0,0,0,0,-0.0566286968576283,0,0,0,0,0,0,0,0,0,0,0,-0.142148129183358,0,0,0,0.0289248672564304,0,0,0,0,-0.0301648601796062,0,0,0,0,0,0.138663408617033,0,0,0,-0.0270464779298776,-0.0151666340685814,0,0,0,0,0,0
X600252.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.017827517315616,0,0,0,0,0,0,0,0,0.316712509911164,0,0,0,0,0,0,0.0450612410088091,0,0,0.064742107226534,0.283494362241913,0,0,0,0.00931318140049654,0.0451383915896736,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.000253715083581408,0,0,0,0.0241006552045561,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177309564517254,-0.0480912984744439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512593493197441,0,0,0,0,0,0,0,0,0,0,0,0,-0.102951723342276,0,0,0.29129702687151,0,-0.0164304443350625,0.014173041536928,0,0,0,0,0,0
X000581.SZ,0,0.173931329209841,0,0,0,0,0,0,0,0,0,0,0.0490319866430865,0,0,0,0,0,0,0,0.139539465696177,0,0,0.160897131384594,0,0,0,0,0,0,0,0.0823878190515947,0,0,0,0,0.0118938723015099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0401742954322405,-0.00844213784581733,0,0,0,0,0,0
