,X600519.SH,X600104.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X000063.SZ,X600276.SH,X000625.SZ,X600690.SH,X600703.SH,X600118.SH,X000100.SZ,X600271.SH,X600031.SH,X600372.SH,X000157.SZ,X000338.SZ,X002241.SZ,X600089.SH,X600741.SH,X002292.SZ,X002475.SZ,X002236.SZ,X000559.SZ,X002129.SZ,X600839.SH,X600066.SH,X000547.SZ,X300124.SZ,X600177.SH,X601877.SH,X600582.SH,X002465.SZ,X600435.SH,X300003.SZ,X000016.SZ,X002456.SZ,X000568.SZ,X002294.SZ,X002498.SZ,X002179.SZ,X002049.SZ,X600198.SH,X002008.SZ,X000977.SZ,X000800.SZ,X600060.SH,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600066.SH,0,0.282787797570225,0,0,0,0.150561285819482,0,0,0.0922031443606722,0,0,0,0.0365760723886813,0.235153500493089,0,0,0,0,0,0,0.133547500472384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223581648408383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00319238239948508,0.0132487331036149,0,0,0,0,0,0
X000547.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0242668513290418,0,0,0,0.217751094303006,0,0,0,0,0,0,0,0,0.0664802358115809,0,0.0987772785055766,0,0,0,0,0,0,0,0.08757760632845,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,-0.0253821393773097,-0.0101793525082063,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0.0162923183457474,0,0,0,0,0.0232439538078001,0.278741819259339,0,0,0,0,0,0,0,0,0.0437333023983649,0,0.0498841086246832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340572544087623,0,0,0,0,0.0894154907277575,0,0,0,0,0,0,0,-0.0229454976770673,0,0,0,0,0,0,0
X600177.SH,0,0,0,0.121268162789223,0.204011751703892,0,0,0,0.0493614955865611,0.117031084516041,0,0,0.0463016156012942,0.0914466630966614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145575811118147,0,0,0,0,0,0,0,0,0,0,0,0,0.0154518209546904,0,0,0,0,0,0,0,0,0,0,-0.00571147347536845,0,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049229306148644,0,0.0165657289267679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00722702047585065,0,0,0,0,0,0,0,0,0,0,0,0,0.00550938587583421,-0.0122128680240751,0,0.0020252368229642,0,0,0,0.0207515737112992,-0.0200855291214723,0,0,0,0.0793200754559452,0,0
X600582.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0749276937739721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0966363589804469,0,0.165893921460412,0,0,0,0,0,0,0.219259422744786,0,0,0,0,0,0,0,0,0,0.10116737985266,0.00914476914318007,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0
X002465.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207754564538439,0,0,0,0,0,0,0,0.166916189074646,0,0,0,0,0,0.0500674252344048,0.0820697073268118,0,0,0,0,0.0121976868404886,0,0,0,-0.0406857714292079,-0.0387083357031676,0,0,0,0,0,0
X600435.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.254565473767882,0,0,0,0.301236745143888,0,0,0,0,0,0,0,0,0,0,0,0,0.0356863172149453,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0977371849511269,0,0,0,0,0.0905905085284973,0,0,0.00702687120344548,-0.0139560052984531,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.170565647506331,0,0,0,0,0,0,0,0,0,0,0.156485249327328,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.0837513996134825,0,0.0227785754629651,0,0,0,0,0,0,0.00736955231182952,0,0.0485826801060513,0,0.0879769171036567,0,0.121141526126654,0,0,-0.0219253419613943,0,0,0,0,0,0,0
X000016.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0162187245123251,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0215651287497,0,0,0,0,0,0,0,0,0,0,0,0,0.0205925880344769,-0.0308623234975696,0,0,0,0.0792504662607492,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0948831905886382,0,0,0,0,0,0.00188387795051349,0,0,0,0,0,0,0.210243033425581,0,0,0,0,-0.165029941143935,0.052381530449701,0.0397782043647226,0,0,0,0,0,0,0,0,0,0.262337989371862,0,0,0,0,0,0,0.263790310114631,0,0,0,0,0,0,0,0,0,0
