,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X600690.SH,X002475.SZ,X000651.SZ,X002304.SZ,X300124.SZ,X600104.SH,X003816.SZ,X000063.SZ,X000725.SZ,X000596.SZ,X600031.SH,X000625.SZ,X002371.SZ,X000338.SZ,X002129.SZ,X300014.SZ,X002179.SZ,X600703.SH,X000100.SZ,X600089.SH,X002049.SZ,X002236.SZ,X600372.SH,X000157.SZ,X600741.SH,X000661.SZ,X000977.SZ,X600584.SH,X002241.SZ,X600522.SH,X601877.SH,X601799.SH,X002463.SZ,X000733.SZ,X600702.SH,X002074.SZ,X002007.SZ,X000800.SZ,X002028.SZ,X300142.SZ,X002180.SZ,X600183.SH,X600487.SH,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002129.SZ,0,0,0,0,0,0.0361970986670484,0,0,0.0372341308337862,0,0,0,0,0,0,0,0.0372325204113381,0,0,0,0,0.300629717674252,0,0,0,0.217453192362927,0.0378196845110131,0,0,0,0,0,2.16840434497101e-19,0.0383907101290911,0.164320409127618,0,0,0,0,0,0,0.0964478712092997,0,0,0,0,0,0,0,0,0.0473835146791231,0,-0.0233046315367938,0,0,0,0,0,0
X300014.SZ,0,0,0,0.0496617693497681,0,0,0,0,0,0,0.0258388571927998,0,0,0,0,0,0,0,0,0,0.233346748056912,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.153029948630668,0,0,0,0,0,0.0064746649929665,0.240598229912624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,-0.0332341873844036,0,0,0,0,-0.0759360373654824,0,0,0,0,0,0,-0.07736912089248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0701101185662236,0,0,0,0,-0.079963840591156,-0.00810036610130953,0.341852957766778,0,0,0,0,0,0,0,0,0,0,0,0.00629783693251531,-0.0311004079906527,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158785091462419,0,0,0.108004969579064,0,0,0,0,0,0.0503515665349873,0,0,0,0,0.0215088867003415,0.1018277186593,0,0,0,0,0.105378002249405,0,0.0302011197909254,0,0,0,0,0,0.0577209564173462,0,0,0,0,0.0435364601212478,-0.0823718473616101,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418239626505854,0,0,0,0,0,0,0,0,0,0,0,0,0.0201626369936009,0,0,0,0,0.077884930235612,0,0,0,0,0,0.0731911083919198,0,0.0461331129415933,0,0,0,0,0,0,0,0,0,0,-0.0163484939945256,-0.0165203156246586,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044992444919022,0,-0.0794560086904485,0,0.171797987966415,0,0,0.229988752708274,0,0,0,0,0,0,0,0,0.0530365853761404,0,0,0,0,0,0,0,0,0,-0.0694213378331413,0,0,0,0,0,0,0.0239219016407088,0,0,0,0,-0.021346977718725,0,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114303815003326,0,0.0979231262867875,0.00178633555365792,0,0,0,0,0,0.0246910112531802,0,0,0,0,0.0449427475242228,0,0.234067850088808,0,0,0,0,0,0.0668061012292159,0,0,0,0,0,0,0,0,0,0,-0.00728567208717227,0,0,0,0,0,0,0
X002236.SZ,0,0,0,0.491785761605347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15655187072868,-0.119642639086218,0,0.0237078971189287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335468627994274,0,0,0,0,0,0,0,0,0,-0.204003875168769,0,0,0.033405948232904,0,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710822840598227,0,0,0,0,0,0,0.0728413946732636,0,0,0.0391323893095948,0,0,0,0,0,0,0.0783752594350765,0,0,0,0.0370812373274256,0,0,0,0,0,0,0,0,0,0,0,0,-0.00841933249440923,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,-1.73472347597681e-18,0.0816770220474073,0,0,0,0.0705631394729195,0,0,0,0,0,0.249355355596076,0,0,0.196418773565094,-0.0292412234682767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012605466504143,0,0,0,0,0,-0.0220677333071738,0,0,0,0,0,-0.0226551847333823,0,0,0,0,0,0,0
X600741.SH,0,0,0.0362752536391332,0,0,0.0756908149706838,0,0,0,0,0,0,0,0,0,0,0,0.281487473740636,0.0430535368479983,0,0,0,0,0,0,0,0,0.0105061216593349,0,0,0,0.100105528285776,0,0,0,0,0,0,0.0130697270835507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00251440989739461,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0.12199651781456,0,0,0,0,0,0,0,0.0157838307154924,0,0,0,0,0,0,0,0,0,0.0478623945330604,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.189098722775711,0,0,0,0,0.276822800120534,-0.0535578301190199,0,0,0,0,-0.0269261468825943,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598688317953197,0,0,0,0,0,0,0,0,0,0.0908403977285279,0,0,0,0,0,0,0,0,0,0,0,0.0634633842712199,0,0,0.420867865287054,0,0,0,0,0,0,0,0.41415732490144,0,0,0,0,-0.00848532583031157,0,0,0,0,0,0,0
