,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X600104.SH,X002415.SZ,X003816.SZ,X002304.SZ,X000568.SZ,X002475.SZ,X000725.SZ,X000063.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000596.SZ,X000661.SZ,X600183.SH,X002236.SZ,X300003.SZ,X601877.SH,X002007.SZ,X002241.SZ,X600703.SH,X000100.SZ,X002179.SZ,X300142.SZ,X000157.SZ,X600271.SH,X000625.SZ,X300124.SZ,X002463.SZ,X600867.SH,X300014.SZ,X002008.SZ,X600066.SH,X000977.SZ,X600498.SH,X000066.SZ,X300136.SZ,X002506.SZ,X600177.SH,X002129.SZ,X002049.SZ,X300146.SZ,X002371.SZ,X000050.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.189212208659964,0,0,0,0,0,0,0,0.0063235233948025,0,0,0,0,0,0.238699138939632,0,0,0,0,0,0,0,0,0,0.0942957378735833,0,0,0,0,0,0,0,0,0,0,0,0.239080151970379,0.170751606297619,0,0.0337083742147496,0.0216384007604239,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0.05499074980775,0,0,0,0,0,0,0,0,0.0720417775558877,0,0,0,0,0,0,0,0,0,0,0.173224975221368,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.0574652176539885,0,0,-0.0161045093656246,0.0158137300476381,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.149187160163437,0.102554832828937,0,0.0225196596762606,0,0,0,0,0.108502218234635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154635847333254,0.13447953283363,0,0.0634841239363652,0,0,0,0.056605682477206,-0.0312535269965843,0.0370284331342898,0.177895234688993,0,0,0,0,0.000526640442957879,0,0,0,0,0,0
X300142.SZ,0,0,0.166470270748258,0,0,0,0,0,0,0,0,-0.247443238013094,0,0,0.132176246217669,0,0,0,0,-0.0148253662869717,0,0,0,0,0,0,0.0696379644455836,0,0,0.123281268976989,0,0.0533892407498658,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231511840039853,0,0,0,0,0,-0.0123544479714463,-0.00260187817735985,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0626760697185327,0.490772370211992,0,0,0,0,0,0,-0.0979992646337087,0,0,0.056240970174002,0,0,0,0,0,0,0,0,-0.0823923640640926,0,-0.0106477501924182,0.0694690099391125,0.0196004795839325,0,0,0,0,0,0,0,0,0,0,0.0423495844854112,0,0,0,0.12101213063737,-0.0450745878320092,0.0683232031605777,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331616034191961,0.182220469233022,0,0,0,0,0,0,0,0,0,0,0.0442753571278049,0,0.10804327603066,0,0.138440595860327,0,0,0,0,0,0,0,0.120021886508286,0,0,0,0.0105377826388128,0,0,0,0.00240431022388937,0,0
X000625.SZ,0,0,0,0,0,0.100275622677109,0,0,0,0,0,0,-0.015207851625543,0,0,0,0,0,0,0,0,0,0,0,0.111692351659508,0.0352529348647665,0,0,0.202031140711656,0,0,0,0,0.0260924674066303,0.131065450727237,0,0,0.151288113084441,0,0,0,0,-0.0424285499828925,0,0,0,0,0,0,0,0,0.025236479164099,-0.0330668279814219,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0.0053036291392453,0,0,0,0,0.077140201863029,0,0,0,0,0,0.0208552180910033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11362955993718,0,0,0.0418672115771098,0,0,0.0516299788662085,0.0362161629530816,0.0270729404020341,0,0,0,0,0,0,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496391022682776,0,0,0,0,0.0969156533702088,0.129018099008105,0,0,0,0,0,0,0,0,-0.0742876794808387,0,0,0,0,0,0,0.12227359264691,0,0,0,0,0,0,0,0,0,-0.0277206452226297,0.0271902384450671,0,0,0,0,0,0
X600867.SH,0.123998348778367,0,0.30687798842144,0,0,0.0460352635821775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277391179633505,0,0,0,0,0,0.237731614295565,0,-0.0949675305262919,0,-6.93889390390723e-18,0,0,0,0,0,0,-0.0409426392305,0,-0.0213107215020579,0.0142727220265164,0.222466778024786,0,0,0,0,0,-0.00202346515801492,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,-0.084734202567773,0.0215765543991324,0,0,0,0,0,0,0,0.0697002216262876,0,0.292176611532921,0,0,0,0,0,0,0,0,0,0.182078237345385,0,0.0811365490882305,0,0,0.203353117941217,0.0928834825918936,0,0,0.048220284171126,0,0,0,0,0,0,0,0,0,0,0.00399817223642092,0,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0.124826530580156,0.28210007158816,0,0,0,0,0,0,0,0,0,0,0.022901024392872,0,0,0,0,0,0,0,0,0,-0.235996909710874,0,0,0,0,0,0.279102275084406,0,0,0.406169192207164,0,0,0.477667590903852,0,0,-0.316692293926504,-0.040418278117055,0.0107476078630318,0,0,0,0,-0.0520151745876219,0.0740162910834411,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,0,0.0371236005889597,0,0,0,0,0,0,0.24790830532663,0,0.0607105647740915,0,0,0,0,0,0,0,0,0,0,0.0491928869596475,0,0,0,0.166665458215447,0,0.0365073518815806,0,0.0412550492899526,0.0453472655995688,0,0,0,0,-0.0862807206419299,0,0,0,-0.0511235235883613,0,0.0668941533237966,0,0,0,-0.00141475180158693,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0.0240084887512758,0,0,0,0,0,0,0,0,0.0946512997459247,0,0,0,0,0,0,0,0,0,0,0.13146951788044,0,0.13291358112752,0,0,0.0831881210273139,0,0,0,0,-0.0242303170395245,0.14648026680782,0,0,0,0,0,0,0,0,0,0,0,0.206364031263189,0.0389403624328592,0,-0.020881883722653,0,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0,0,0,0,0,0.171376150916125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254867065394937,0,0,0,0.0739429437333619,0,0,0,0,0,0,0,0,0,0,0.100652036182326,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969271399983912,0,0,0.233234883556835,0,0,0.048272120085119,0,0,0,0,0,0,0.140117173650693,0,0,0,0,0,0,0,0.0424765787266187,0,0,0,0,0,0.0882548526100209,0.0417926971215792,0,0,0.161765663210673,0,0,-0.00563554636420159,0,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130940278900704,0,0,0,0,0,0.217188804779479,0,0,0,0,0,0,0,0.0941806767092951,0,0,0.0870095826895368,0,0,0.0655369852163681,0,0,0,0,0.0145022466823012,0.0718350557327787,0,0,0.02944857501692,0,0,0,0,0,0,0,0,0,0
X002506.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746247605558546,0,0,0,0.0871765201573064,0,0,0.0951097936583607,0,-0.0593478337203018,0,0,0,0,0,0,0.0480832091636086,0,0,0,0,0,0,0.0822558307806606,0,0,0,-0.00660063456061945,0.00894628231252947,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0,0,0,0.0115738767292308,0,0,0.0434020425889329,0.0324455073677608,0,0.0484577072955288,0,0,0,0,0,0,0,0.0481557620837082,0,0,0,0,0,0,0,0,0,0,0,0.0389093496739218,0,0,0.0973494638960238,0,0,0,-0.0992525249244752,0,0,0.0145977364844835,-3.46944695195361e-18,0,0,0.0276832461652473,-0.0098254570247202,0,0,0,0,0,0
X002129.SZ,0,0.259037430011776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171573891554571,0,0,0,0,0.0851273654372202,0,0,0.0213729606668945,0,0,0,0,0,-0.0316167326016953,0,0,-0.240597400692314,0,0,0,0.0397455337483959,0.0993354801129963,0,0,0,0,0,0.0532160740660691,0.351937741992381,0,0,0.0289966269612219,0.011642996750159,0,0,0,0,0,0
