,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X000625.SZ,X000651.SZ,X002304.SZ,X300124.SZ,X600104.SH,X003816.SZ,X000725.SZ,X000596.SZ,X000063.SZ,X000338.SZ,X002371.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600703.SH,X600089.SH,X002241.SZ,X002236.SZ,X600372.SH,X002129.SZ,X000661.SZ,X002049.SZ,X000157.SZ,X600584.SH,X600741.SH,X000977.SZ,X601877.SH,X600183.SH,X000800.SZ,X600522.SH,X002463.SZ,X002007.SZ,X601799.SH,X002028.SZ,X600418.SH,X002074.SZ,X600460.SH,X002294.SZ,X000066.SZ,X300142.SZ,X002156.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1018038112261,0,0,0,0,0,0,0,0.0383015190565942,0,0,0,0,0,0,0,0,0.0251347547375723,0,0.229677416989617,0,0.136608131295135,0,0.0154157005647644,0,-0.00790611338420762,0,0,0,0,0,0,0
X600741.SH,0.104590944863409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111781045580476,0,0,0,0,0,0,0.134636384222091,0,0,0,0.0445358445347216,0.16016269259727,0,0.0134125425762196,0,0,0,0.153169814198355,0,-0.16858187666486,-0.0156344330738384,0.0569728196684756,0,0,0,0.0595944134242406,0,0
X000977.SZ,0,0,0,0,0,0,0,0,-0.0909849128398329,0,0,0,0,0,0,0,0.700597909453709,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0.180995689029821,0,0,0,0,0,0,0,0,0,0,0.384596900998785,0,0,0,0,0,0,0,0.162170583965128,0.0236115932432304,0,0,-0.00979146957642833,0,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656916818798811,0,0,0,0,0,0,0,0,0,0.103397859524631,0,0,0,0,0.0331261984140244,0,0,0,0.105353751234511,0.175557328060287,0,0,0,0,0,0,0.00333800214162931,-0.00282674447745476,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0.0978634038422734,0,0,-0.0605559226341234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549364048223817,-0.0911208112603029,0,0,0.0242833762818813,0,0,0,0,0,0,0,0,0,0.0897364618927545,0,0,0,-0.0116481991086621,0,0.161511732600647,0,0,0,0,0,0.00632358954964727,0,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0829811543960842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0186974889311046,0,0,0,0,0,-0.154870520080567,0,0,0.211389665799616,0,0,0,0,0,0,0,0.00434970466023814,0.0476107441560829,0,0,0,0.0826367588631852,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294574377646704,0,0,0.421428842630542,0,-0.147512018376368,0.0253876059490816,0,0,0,0,0,0.0806008771598605,0,0,0,0,0,0.0301176669682545,0,0,0,0,0.0101670712157932,0,3.46944695195361e-18,0,0.0544148215456254,0,0,0,0,0,0,0,0.00685747872442999,0.0225990444598764,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,0.0371743212225588,0,0,0,0,0,0,0,0,0,0,-0.127699770138992,0,0,0,-0.00464904351549864,0,0,0,0,0.338833307149615,0,0,0,0,0,-1.0842021724855e-19,0,0.204672634531917,0,0.167089982781727,0,0,0,0,0,0,-0.015686850218292,0,0,0,0.136713502960519,0,0,0,-0.0275226655296927,0.0254459082619009,0,0,0,0,0,0
X002007.SZ,0,0,0,0.196096916881079,0,0,0,0,0,0,0,-0.0120378512176073,0,0,0,0,0,0,0.0329068050856855,0,0.0463230544544428,0,0,0,0,0,0,0,0,0.034729481715612,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0449704377184047,0,0,0.188323331762137,-0.0503447440027337,0,0,0,0.0154808878352704,-0.0460169433203297,-0.0829149022446119,0,0,-0.044997187804479,0,0
X601799.SH,0,0,0,0,0,-0.0905454475829341,0,0,0.00967888317448387,0,0,0,0,0,0,0,-0.134745821704781,-0.0135750007492124,0.0763788430262811,0,0,0.0603183094595709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303829385620514,0,0.284346186881041,0,0,0,0.000607019624540736,0,0,0,0,0,0.0118629297914149,0,0,0,0,0,0
X002028.SZ,0.186641163960776,0,0,0,0,0,0,0,0.0458959161156431,0,0,0,0,0,0,0,0,0,0,0,0,0.144441227090431,0,0,0,-0.239613439113616,0,0,0,0,0,0.0409069097192553,0,0,0,0,0,0.00974572777596895,0,0.167971918944057,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,-0.0047032526013769,0,0,0,0,0,0
X600418.SH,0,0,0,0,0,0,0,0,0.377818041291222,0,0,0,0,0,0,0,0,0,0.00767138503597278,0.572202263452924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632214043313325,0.24374525990515,-0.102943995797419,0,-0.00215292343185095,0,0,0,-0.210896870395588,0,-0.0872262704469987,0,0.168665530403462,0,0.00317255409143923,0,0,0,0,-0.050889249255424,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0.0686047822733011,0,0,0,0,0,0,0,0,0,0,0,0.355388869474017,0,0.0121902295680639,0,0.0844527659909526,0,0,0,0.108136354681491,0,0,0,0,0.127004118530696,0,0,0,0.0141371934557453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00799188436128362,0,0
X600460.SH,0,0,0,0,0,0,0,0,0.0596247966644518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207369396746026,0,0.0703195403705432,0,0,0,0,0,0,0.0998296895356622,0,0.0600912546260644,0,0,0,0.0607238085275497,0,0,0,0,0,0.0665442764467194,0,0,0,0,0.00403823529020456,0,0.00150398733802585,0,0,0,0,0,0,0
X002294.SZ,-0.0770663959444858,0,0,0.407495701874817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273553817904069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114455302857215,0.00775769211319463,0,0,0,0,0,0,0,0,0,0.110121656957991,0,-0.0177847509199966,0.136372513180295,-0.015658776709795,-0.00394296613896679,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0.068275092811091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112387714632352,0,0,0.15199605394945,0,0,0,0,0,0,0,0.102950930237904,0,0,0,0,0.122234038337187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258631901396913,0,0
X300142.SZ,0,0,0,0,0,0,0,0,-0.111274995717759,0,0,0.104019238587251,0,0,0,0,0,0,0,0,-0.149390857019858,0,0,0,0,0.0371610186481049,0,0,0.47318670487216,0.0284637588568115,0,0,0,0.43472465843298,0,0,0,0,0,0.0270739850239415,0,-0.0921656130085919,0,0,0,0,0.0503226965362835,0,0,-0.131026450734933,-0.149133057872762,0.0153335521349838,-0.00611613166317953,0,0,0,0,0,0
X002156.SZ,0,0,0,0,0.0868253817388716,0,-0.116110245700805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493655007569821,0,0,0,0,0,0,0.231715829705434,0,0.308903812526587,0,0.0335266136819134,0,0,0,0,0,0,0,0,-0.0687278143494018,0,0,0,0.0871347945222066,0,0,0,0,0.0134925829681642,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0.010116655835422,0,0,0,0,0,0,0,0,0,0,0,0.0493153747574909,0.0205594987544723,0,0,0,-0.148446155377267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.215727836445422,0,0,0.0156641909279823,-0.00982235646678433,0,0,0,-0.0178602598257152,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.427812411241564,0,0,0,0,0,0,0,0.041069123832432,0,0,0,0.103167164638209,0,0,0,1.10415641559029,0,0,0,-2.12306224515594,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.187035726712056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54173415183369,0,0,0,0,0.354422876242483,0,0
RealEstate_excess,0.0421778847566875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0724901800630066,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0695871793175661,0,0,-0.0399994760342205,0,0,0,0,0,0,0,-0.00333343550444855,0,0,0,0,0.00779544785324601,0,0
MKreturn,0,0,0,0,0,0,0,0.139879863895572,0,0,0,0,0,0,0,0,0.10360459824164,0,0,0,-0.158949464522354,0,0,0,0,0,0.0223623455238727,0,0,0,0.00458012793516663,0,0,0,0.00128965999260202,0,0,0,0,-0.0355562101718903,0,0,0,0.00739740785299924,-0.0514937845025296,0,0,0.0075457814701864,0.0234648863923899,0,-0.0209942221812302,-0.00486272256253374,0,0,0,0,0,0,0
MKvol,0.000365946340173286,0,0,0,0.000403125187301962,0.00138474684822628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024342338888297,-0.0027627889450112,0,0,0,-0.00712299077788634,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00553840110900138,0,0,0,0,0,0,0
CarbonVol_Guangdong,0.00695586643224844,0,0,0,0,0,0,0,0,0,0,0.000365657364165027,0,0,0,0,0,0,0,0,0,0,0,0,0.00956528136759905,-0.00118075376850272,0,0,0,0,0,0,0,0,0.00448107880211188,0,0,0,0,0.000792936120879328,0,0,0,0,0,0,0,0,0,0.00338213101360316,-0.00202994824554828,0,0.00229735206964471,0,0,0,0.0203365904468144,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000269055154182139,0,0,0,0,0,0,0,-0.00984848334057751,0,0,0,0,0.0465567113521222,0,0
