,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X600690.SH,X600031.SH,X002475.SZ,X000568.SZ,X000063.SZ,X600703.SH,X600741.SH,X000338.SZ,X300003.SZ,X600271.SH,X002008.SZ,X601877.SH,X300124.SZ,X600487.SH,X002456.SZ,X002236.SZ,X600809.SH,X600867.SH,X000596.SZ,X000100.SZ,X000661.SZ,X600498.SH,X300136.SZ,X000977.SZ,X000625.SZ,X600066.SH,X600566.SH,X000157.SZ,X300142.SZ,X002179.SZ,X002294.SZ,X002180.SZ,X002007.SZ,X600522.SH,X300146.SZ,X002049.SZ,X002241.SZ,X000869.SZ,X000981.SZ,X600177.SH,X002371.SZ,X600089.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002475.SZ,0,0,0,0,0,0.0110093215307826,0,0,0,0,0,0,0.0293373652355608,0,0,0,0,0,0,0,0,0,0.52709829938191,0,0,0.00435020567457218,0,0,0.162484733627643,0,0,0,0,0,0,0,0,0,0,0,0.079466749369486,0,0,0,0,0,0,0,0,0,0,0.00890275386472862,0.00725747162518175,0,0,0,0,0,0
X000568.SZ,0,0,0,0.41329635118901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268235909606178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00564019271379635,0.00258413228577672,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140894972676021,0,0,0,0,0,0,0,0,0,0,0,0.170136332444048,0.00563833320806783,0,0,0,0.115031503336144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702332082118363,-0.0405089460503461,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.132782073323851,0,0,0,0,0,0,0,0,0,0,0.139070637431465,0,0,0,0,0,0.22954474702359,0,0,0,0,0,0,0.019763591274143,0,0,0,0,0,0,0,0,0,0.0438763616270249,0,0,0,0,-0.0044529877739102,0.0183820578514412,0,0,0,0,0,0
X600741.SH,0,0.179021859596618,0,0,0,0,0,0,0.0793061499040066,0.13226381406522,0,0,0,0,0,0,0.131881862155579,0,0.0468536232996148,0,0,0,0,0.050494057497777,0,0,0.0509478113549179,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0828755300977595,0.0734743398923891,0,0,0,0,0,0,0,0.0125665810730016,0.00209552887123705,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0.257624458691973,0,0,0,0,0,0,0,0,0,0,0,0.0175552635683824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03249035515767,0,0,0.178349664186923,0,0,0,0,0,0,0.014089678844935,0,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0.0671977568586597,0,0,0.234125195366937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00935431090510355,0,0,0,0.323346400093904,0,0,0.0418103985897213,0,0,0,0,0.0266698656921051,0,0,0,0,0,0,0.0263608708904355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600271.SH,-0.0670868702062465,0,0,0,0,0,0,0,0,0.0152767897272342,0,0,0,0,0,0,0,0,0,0,0,0.153182488770246,0,0.0632433842205071,0,0,0,0,0,0.156421877022232,-0.000329621337034553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0999290091385165,0.703250718624394,0,0,-0.00111011351468107,0,0,0,0,0,0
X002008.SZ,0,0,0.306896917505505,0,0,0,0,0,0,0,0.0789922032770773,0,0.0914316415410113,0,0.00342606343928456,0,0.0799314824121268,0,0,0,0,0,0,0.0629551943950296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00390901138178815,0.0062156736988124,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0.247719510574354,0,0,0,0,0,0,0,0,0,0.0780075902438902,0.0228384691759159,0,0,0,0,0,0,0,0,0,0,0,0,0.0117779914684441,0,0,0,0,0,0,0,0,0,0,0,0,0.0940026325353191,0,0,0,0,0,0.235491030683344,0,0.00115800724766614,-0.0329673828401441,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0.0518132886834626,0,0.0954339727919691,0,0,0,0,0,0.0134163968647239,0,0,0,0.0159533443479687,0,0,0,0,0,0,-0.0558058314910393,0,0,0,0,0,0,0,0,0,0.0303913589014463,0,0,0,0,0,-0.115274961847387,0,0,-0.04455315484582,0.000969227762444723,0.27248201918098,0,0,0,0,0,0.127017597079201,0.010309238524559,0.0291733154963662,0,0,0,0,0,0
X600487.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227676460786055,0,0,0,0,0.17167242837245,0.187597937798708,0,0,-0.0115713672428915,0,0,0.168101411978611,0,0,0,0,0,0,0,0,0,0,0,0.216522150378544,0,0,0,0,0,0,0.039460843202833,0,0,0,-0.0132629619579403,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0.447994408515566,0,0,0.165610433645764,0,0,0,0,0,0.080176628917591,0,0.1316373166313,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.1899305813083,0,0,0,0,0,0,0,0.00806199201763765,-0.001415364133953,0,0,0,0,0,0
