,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X600690.SH,X002304.SZ,X000651.SZ,X002475.SZ,X000063.SZ,X002371.SZ,X600104.SH,X003816.SZ,X300124.SZ,X000725.SZ,X600031.SH,X000596.SZ,X300014.SZ,X002129.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X002049.SZ,X000100.SZ,X002236.SZ,X000977.SZ,X600372.SH,X002241.SZ,X000661.SZ,X000157.SZ,X600584.SH,X601877.SH,X600741.SH,X002180.SZ,X600522.SH,X002074.SZ,X000066.SZ,X600702.SH,X000733.SZ,X300003.SZ,X300142.SZ,X600460.SH,X002007.SZ,X300146.SZ,X002463.SZ,X002294.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0,0,0,0.0615642531811942,0,0,0,0,0,0,0,0.0542428372786632,0,0,-0.0536087716094017,0.309562319440028,0,0,0,0,0,0.103558206544728,0,0,0,0,-0.0107288207548342,0,0,0,0,0,0,-0.0212590373895361,0,0,-0.0257114404589852,0,0,0,0,0,-0.0224106739728627,0,0,0,-0.011246556260968,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,-0.0540756855028514,0,0,0,-0.0129182162199609,0.128385155401898,0,0,0,0,0,0,0,0,0,0,0.0724429276473041,0,0.0132860084540918,0.0465254445935771,0,0,0.00529450472659776,0.0571629299823264,0,0.033326570959057,-0.0463165825674057,0.148581261220107,0,0,0,0,0,0,0,0.00354016164023152,0,0,0,0,0,0,-0.0109276609121584,0,0,0.136006038737889,-0.0269796297260925,0.0204524501448929,0.0931955181804177,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0.0731509763852172,0.0480042418411721,0.034426949019134,0,0,0,0,0,0,0,0,0.0627411996180435,0.0402623875648036,0,-0.0657377611131385,-0.00448169884665024,0,0,0,0,0,0,0,0.210055364033035,0.0390686082789103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0.196759106863353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414661122857549,0.246565464026507,0.0868299293133122,0,0,0,0,0,0,0,0,0,0,0,0.0694531541589598,0,0,0,0,0,0,0,0.0573944171478464,0,0,0,0,0,0,0,0,0,0,0
X600031.SH,0,0.104947402850202,0.13577392323666,0.0440429782592233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304486955321082,0,0,0,0,-4.33680868994202e-19,0,0,0.0075812005102865,0,0,0,0,0.404462144574282,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275618035644973,0,0,0,0,0,-0.0120643607636868,0,0,0,0,0,0
X000596.SZ,0,0.0402936355870754,0,0,0,0,0,0.127966641425721,0,0,-0.0596996780291648,0,0,0,0,0,0,0,0,0,0,0,-0.0355294602451395,0,0,0,0,0,0,0,0,0.0975748832853394,0,0,0,0,0,0,0,0,0.209795758025669,0.0250935100321279,0,0,0,0,0,-0.0546083452771516,0,0,0,0,0,0,0,0,0,0,0
X300014.SZ,0,0,0.0594380437276147,0,0,0,0,0,0,0,-0.0528561511968752,0,0,0,0,0,0,0,0,0,0.0351261369934108,0,0,0,0,0,0,0,0,0,0,0.0750204719754561,0,0,0,0,0,0.0164867835082202,0.432697729122649,0,0.104460635836641,0.0924677027715222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0.0921786907357897,0,0.0443849766665602,0.0303700102747102,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0432605620019152,0,0,0,0.110484688245128,0,0,0,0,0,0,0.225557821328343,0,0,0.16668348884401,0.0335359489788084,-0.043755836627861,0,0.00657023058172189,0,0,0,0,-0.117067780296875,0.0291066419697414,0,0,-0.235015650267109,-0.00727491202426095,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.222335939591105,0,0,0,0,0,0.0688706566496657,0.0266842782691278,0,0.105346136429036,-0.0379400932584684,0,0,0.0478256258835541,0,0,0,0,0,0.0242276654934905,0,0,0,0.330606449697091,0,0,0,0,0,0,0,0,0.00772746501546772,0,0,0.0443744370356902,0,0.266798658457466,0,0.0142547736662267,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,-0.0157967199270394,0.0596600838098922,0,0,0,0,0,0.271889928776572,0,0,0,0.183435445628155,0,0.103831013966601,0,0.0127908033141538,0,0,0.0339790664744026,-0.0178158870326552,0.106161335232341,-0.0614781581828411,0,0,0,0,0,0,0.0974941627580066,0,0,0,0,0,0,0,0,0,-0.0180512780033605,0,0,0,0.00602033834935865,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0.194366789906423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100498785174093,0,0,0,0,0,0,0.0821053353858687,0,0,0,0,0,0,0,0,0,0.0846996238517417,0,0,0,-0.0894198082050944,0,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,-0.0264361199470017,0,0,0,0,0,0,0,0,0,0,0.148773832933098,0,0,-0.110042257172389,0,0,0,0,0,0.038003370122597,0.0178317556005679,0,0,0,0,0,0,0,0,0.0149407233215201,0,0,0.125813151544432,0,0,0,0,0,0,0,0,0,0.0323999844935723,0.000215824225393494,0,0,0,0,0,0
X600089.SH,0,0,0,0,0.0372683802075632,0,0,0,0,0.112010879641566,0.0421565110019599,0.0454794392595334,0,0,0,0,0,0,0.259009205156363,0,0.0287355287487063,0.0636145250334069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177928252593815,-0.000317092997450768,0,0.217766149636373,0,0,0,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0.0122223444996207,0,0,0,0,0.196740182731023,0,0.12727402868876,0,0,0,0.127418638860408,0,0,0,0,0,0,0,0,0.102882618146634,0,0,-3.46944695195361e-18,0.0985446376356564,0,0,0,0,0,0,0,0,0,0,0.0264610019736117,0.336645467504205,0,0,0,0.442335838808977,0,0,0,0,0,0,0.0802019034173539,0,-0.196206557818707,0,0,0,0,0
X000100.SZ,0,0,0.0411118377742218,0,0,0,0,0,0.0507494999331456,0,0,0.049756802930589,0,0,0,0.412854106831527,0.0579117047099612,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0175426693155432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0175357769165949,0,0,0,0,0,0,0
X002236.SZ,0,0,0.751889872075156,0,0,0,0,0,0,0,0.112466936290478,0,0,0,0,0,0.0324914668597969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142670515531494,0,0,0,1.73472347597681e-18,0,0,0,-0.127784740750543,0,0,0,0,0.119481257183844,0.209733194242355,0,0,0,-0.0162890053200253,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0.0747540484821658,0,0,0,0.306352628212157,0,0,0,0,0.357905591773815,0,0,0,0,0,0,0,0,0,0.00785746416178848,0,0,0,0,0,0,0,0,0,0.21381657364098,0,0.192356951437921,0,0,0,0,0,0,0,0,0,0.379852991561086,-0.0157267877712735,0,0,0.113478198066467,-0.117206227439942,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0.00433063951024147,0,0,0,0,0,0,0,0,0,0,0,0,0.0254557297413351,0,0.0561818656152357,0.0922120266061543,0,0,0.0243787542425513,0,0.0605860505570347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462541799502443,0,0,0.13638633579824,0,0,0.0056026256643774,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0.53642845876638,-0.0367380369978456,0,0,0,0,0,0,0,0,0,0,0,0.089556250819831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823876261440327,0,0,0,0,0,0,0,0.0309562072103428,0,0,0,0,0,0
X000661.SZ,0,0,-0.171780573020376,0,0.121799373140342,0,0.0336096931956207,0,0,0,-0.079260765810008,0,0,0,0,-0.437704511803103,0,0.183656561159864,0,0,0.0610224618709121,0,0,0.150595496446926,0,0,0,0,0.185765638074921,0,0,0,0,-0.0429451741366799,0,0,0,0,0,0,0,0.186339229812726,0,0,0,0,0.239910380611636,0,0.222790169793794,0,0,-0.0190331881569109,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,-0.104132202858119,0,0,0,0,0,0.360693699806846,0,0,0,0,0.0316578590522825,0,0,0.163529394393767,0,0.118186986755631,0.0883584669037569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272717999843887,0.0181497278624633,0,0,0,0,0,0
X600584.SH,0,0,0,0,0.158255198923269,0,0,0,0.0178005193686899,0,0,0.0615765561248366,0,0,0,0,0,0,-0.144819369352629,0,0,0,0,0,0,0,0,0.0226358014716888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351708461349002,0,-0.172862424530446,0.221606659929057,0,0,0,0,0,0,0,0,0,0,0
X601877.SH,0,0,0.0389744523387504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171304057664847,0.0996634363535994,0.0585962768659543,0,0,0,0,0,0,0,0,0,0,0.0341861117168456,0,0,0,0,0,0,0.139071462640125,0,0,0.00611147804746217,0,0,0,0,0,-0.0146852729742541,0,0,0,0.0177100813213533,0,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,-0.0696256723127352,0,0,0,0,-0.0197911245350009,0,0,0,0,0,0,-0.0259103275683195,0.150034112452442,0,0,0,0.041633166180099,0,0,0,0,-0.0237791342763364,0.0448200243290066,0,-0.0534708130363279,0,0,0,0,0,0,0.0141795846587946,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.211157029822168,0,0,-0.00618394049820871,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0685557424781765,0,0,0.123390152526384,0,0,0,0,0,-0.0143647652321417,0,0.036013643327461,0,0,0,0.0326620500637237,0,0.0126350640667657,0,0.156628173959219,0,0,0,0,0,0.0189227244820536,0,0,0,0,-0.0607838172332192,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008841153330742,0,0,0.356201721496637,0,0.0553580269727737,0.0763682798911896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002074.SZ,0,0.0448121074892357,0.0157366697469957,0,0,0,0,0,0,0.023160380997876,0,0,0,0,0,0,0.00485279451940697,0,0.385541793841808,0,0,0,0,0,0.0401472761532391,0.00814829821450569,0,0,0,0,0,0,0,-0.0743850462508622,0.235462279413733,0,0,0,0,0,0,0,0,0,0,0,-0.0141014950386696,0,0,0.147003509182077,0,0.00963728374608543,0,0,0,0,0,0,0
