,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600031.SH,X600690.SH,X600276.SH,X000100.SZ,X000338.SZ,X600372.SH,X000157.SZ,X600741.SH,X002241.SZ,X600703.SH,X600066.SH,X600089.SH,X600271.SH,X600118.SH,X000550.SZ,X601877.SH,X002236.SZ,X002475.SZ,X000581.SZ,X000800.SZ,X000623.SZ,X600582.SH,X000568.SZ,X600177.SH,X000559.SZ,X300124.SZ,X002129.SZ,X600060.SH,X000050.SZ,X002294.SZ,X000400.SZ,X300146.SZ,X000977.SZ,X000869.SZ,X600839.SH,X002456.SZ,X002292.SZ,X002465.SZ,X300003.SZ,X600312.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600118.SH,0,0,0,0,0.00514835370183087,0,0,0,0.153120209699357,0,0,0,0,0,0.480917204015379,0.317859566074365,0,0,0,0,0,0,0,0,0.021953859167709,0,0,0,0,0,0.140712142407783,0.030292439035481,0.0485626710183127,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200416962368613,0,0,0,0,0.0174935205838568,0,0,0,0,0,0,0
X000550.SZ,0.14172741825826,0,0,0,0,0,0,0,0,0.0169633988921199,0.0118054972272249,0,0.113443431706459,0,0,0,0,0,0,0.0798719169167969,0,0.0211716837117745,1.73472347597681e-18,0,0,0,0,0.0506762808599241,0.0963758708071872,0,0.0264329712957431,0,0,0,0,0,0.0223271244647559,0,0,0,0,0,0,0,0,0,0,0,0.0428662116305153,0,0,0,0,0,0,0,0,0,0
X601877.SH,0,0.127617947605729,0,0,0,0,0,0,0,0,0,0,0,0,-0.0341889190949726,0,0,0,0,0,0,0,0,0.0441160938432627,0,0,0,0,0.139170850318832,0,0.0777351116320421,0.172703455695557,0,0.0799954842994268,0.0832378902711809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00351101980693624,-0.000487365537468184,0.232990245976513,0,0,0,0,0
X002236.SZ,0,0,0,0.138942889963674,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.251141049021127,0,0,0,0,0.23854948470238,0.100292890525407,0,0,0,0,0,0.10146993283227,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.171141359922732,0,0,0,0,0.034366747068103,0,-0.00992144945097628,0.000618838942353122,0,0,0,0,0,0
X002475.SZ,0,0,0,0.183437688842139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0636054680795227,0.0711715518144287,0,0.0383736255881533,0,0,0,0,0.001172484397526,0,0,0.100338286973237,0.0968210421559923,0.0901416385428019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0266416257608849,0.00463438701021394,0,0,0,0,0,0
X000581.SZ,0,0,0,0.0332699308153893,0,0,0.102449155953804,0,0,0.149937496502183,0,0,0,0.118302400271007,0,0,0,0,0.0541122054840465,0.0122013093345688,0,0.169165283053168,0,0.0196991378591901,0,0.0804371498948079,0,0,0,0,0,0,0,0.0711045508282035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0613015430052971,-0.0175059623909408,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220476865733109,0,0.143811599098268,0,0.1156768480968,0,0,0,0,0,0.161319143257322,0,0,0,0.131147826856608,0,0,0,0.0726196103800333,0,0,0,0,0,0,0,0,0.0503352676970288,0.00675322064044422,0,0,0,0,-0.00541622142046929,0,0,0,0,0,0
X000623.SZ,0,0,0,0,0.0897844051687611,0.306494867774577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167200520242705,0,0,-0.0106408002123898,0,-0.101214193940901,0,0,0,0,0.510990866024443,0,0,0,0,-0.0623938409392179,0,0,0,0,0,0,0,0,0.195148886582486,0,-0.0933484650254705,0,0,-0.00548905824458704,-0.00683965976666129,0,0,0,0,0,0
X600582.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088133644003635,0.274040327719548,0.12952422434752,0,0,0,0,0,0,0.0758919454756804,0,0.238001115224604,0,0.0866575450741335,0,0,0,0,0,0,0.0470663899111772,0,0,0,0,0.0166590954238268,0,0,0,0,0,0.0252862263805213,0.00532683253508971,0,0,0,0,0,0
X000568.SZ,0,0,0.0196173038397365,0,0.217170084879857,0,0,0.116790784289051,0,0,0,0,0,0,0,0.0490949140176608,0,0,-0.0297089157569228,0,0,0,0.0325654449014026,0,0.0844678242513527,0,0,0,0,0.0254139726545151,0.15237309827485,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000989771977175486,0,0,0,0,0,0
X600177.SH,0.0248763730499346,0,0,0,0,0,0,0,0.209266376974432,0,0,0,0,0,0.109461917768399,0,0,0,0,0,0,0.102239778190822,0.0825893795149284,0,0,0,0,0,0,0.438914142300339,0,0,0,0.0875520503620502,0.0291902310735232,0,0,0,0,0,0,0,0,-0.0791554086612831,0,0,0,0,0,0,0,0,-0.0128720871871039,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279527796551512,0,0.0774217892122648,0,0,0,0,0,0,0,0,0,0.225941758943954,0.0451427538574002,0,0,0.111614100095178,0,0,0,0,0,0,0,0.278810164328758,0,0,0,0,0,0,0,0,0.0484316625579075,0,0,0,0,0.00321943078669685,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0811193848211376,0,0.0498826995183204,0,0.358711736168204,0,0,0,0,0,0,0,0,0,0,0.121425813562399,0.057112638612086,0,0,0.0318813486682719,0,0,0.0229217380955701,0.147389712614401,0,0,0,0,0.0285216325752058,0,-0.0277969127504086,-0.0178977421778165,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,-0.074291820849472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106671352716982,0,0,0.0686077394281149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169703662311499,0,0,0,0,0.0435091226750663,0,0.0260206104964951,0.0387653673383367,0,0,0,0,0,0
X600060.SH,0,0,0,0,0,0,0.067960926200674,0.217949280794863,0.162164629739412,0,0,0,0.0820985147054418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0524528551405589,0,0,0,0,0.0448155747896188,0,0,0.191904550001949,0,0,0,0,0,0.13117580250725,0,0,0,0,0,0,0,0,-0.00867779293187927,0,0,0,0,0,0
X000050.SZ,0,0,0,-0.0444027243959788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068132056447557,0.0802591812354428,0,0,0,0.219628125496932,0,0.298084932436455,0.0264965554988816,0,0,0,0,0,0,0.307474964188277,0,0,0,0.0415397650751201,0,0,0,0.107571245832882,0.028563429086827,0,0,0,0,0,0
X002294.SZ,0,0,0,0.152719071203122,0,0,0.0987584897266229,0,0,0,0,0,0,0,0.127899870349205,-0.00414541083799744,0,0,0.0335163271068237,0,0,0,0.0386221140626855,0,0,0,0.0537070627761759,0,0,0,0,0,0,0,0.126800688393133,0,0.0970693614844988,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.00448652452288645,0,0,0,0,0,0
