,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X002475.SZ,X600104.SH,X600276.SH,X000651.SZ,X300124.SZ,X300014.SZ,X000725.SZ,X600031.SH,X002371.SZ,X003816.SZ,X002129.SZ,X002241.SZ,X000596.SZ,X000063.SZ,X002049.SZ,X000625.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X601877.SH,X300142.SZ,X600741.SH,X000661.SZ,X600460.SH,X000100.SZ,X600522.SH,X002180.SZ,X000733.SZ,X002074.SZ,X600702.SH,X000157.SZ,X000799.SZ,X600884.SH,X002236.SZ,X601799.SH,X600584.SH,X000800.SZ,X600372.SH,X600563.SH,X002414.SZ,X600183.SH,X002176.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000063.SZ,0,0,0,0,0,0,0.104055328390822,0.0388728790802078,0,0,0,0,0,0,0,0,0,0,0,0.0834369701202243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1118849718566,0.170767165540007,0,0,0,0,0,0,0.0571864496147587,0,0,0,0,0,0.0415486817718213,0,0,0,0,0,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288310676863247,0,0,0,0,0,0,0,0,0.192118003544703,0,0.0380028948343235,0,0,0,0,0,0,0,0,0,0.0874486439876825,0,0,0,0.0928384027151113,0,0,0.00113413637413037,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0.0228350012238697,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490551106698478,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0410450868583883,0,0,0,0,0,0.149231723417752,0.004451504100217,0,0.0443201381448228,0,-0.0804734545717977,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0.104576168601544,0,0,0,0.223806354731913,0,0,0,0,0.359778491072995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0755995095558118,0,0,0,0,0,0,0,0,0.0162289415811561,0,0,0,0,0,0.000796452591080313,0,0.0695498195491106,0,0,-0.0313907688584712,0,0,0,0,0,0
X002179.SZ,0,0,0,-0.0803984376325728,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067839188935297,0,0,0,0,0.0887531370794811,0,0,-0.0497844578411989,0,0.0590689159314277,-0.00868393297643021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110486713434358,0,0,0.24302767450694,0.156788079156189,0,0,0.0481466260920269,0,0.0528870512198079,0.058792480386501,0,0,0,0,0,0
X600703.SH,0,0,-0.055343902472247,-0.00863704608864289,0.111036482383381,0,0,0,0,0.214156287718776,0,0,0,0,0,0.0950431837985532,0,0,0,0,0.0621638633522848,0,0,0,0,0,0,0.16975107166805,0,0,0,0,0,0.111081236179532,0,0,0.276745521106197,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0970736798145646,0,0,0,0,0
X600089.SH,0,0,0,0,0.0174867896869957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06603242918991,0,0,0,0,0,0,0,0,0,0,0.0174613143982502,0.0606618735690349,0,0,0.144826258449926,0,0,0,0.136517975589372,0,0,0,0.0268302472001406,0,0.065687372304969,0,0,0,0,0.0181955461859956,0,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.139597137898238,0,0,0,0,0,0.11741727936009,0,0,0,0.0442321695976263,0,0,0,0,0,0,0,0.0398297190772083,0,0,0,0,0,0,0,0,0,0.0503602807556182,0,0,0,0,0,0.0909614351342209,0,0,0,0,0.019652120880638,0,0,0,0,0,0,0
X300142.SZ,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,-0.0872391405177134,0,0,0,0,0,0,0,0,0,0,0.223996619312617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571609422629059,0,0.0872458219749853,0,0,0,0,0,0,0,0,0,0,0,0.0314096685341533,0,0,0,0,0,0,0
X600741.SH,0,0,0.00660923889387869,0,0,0.199688959652757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186864792367598,0,0,0,0,0,0,0,0,0,0,0.0630449797606493,0.0355643371924588,0,0,0,0,0,0,0,0.187682939564627,0,0,0,5.42101086242752e-20,0,0,0,0,-0.00622066439793637,-0.00974548752519724,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0.21345867059222,0,0,0,0.240951888201928,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612981542203156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325390498876695,0,0.013035175104073,0,0,0,0,0,0.00952937546668603,0,0.176713582458116,0,0,0,0.0103169917692731,0,0,0,0,0,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305591200071725,0,0,0.0655225925209879,0,0,0,0,0,0,6.93889390390723e-18,0,0,-0.0293595914276996,0.0124855601626469,0,0,0,0,0.104789418435448,0,0,0,0,0,0,0,0,0,0,0,0.287823055284283,0,0,0.0775042089618841,0,0.0281721717157049,0.0397533889522773,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0715179286227992,0,0,0,0,0,0,0,0.102688999892272,0.259328121198556,0,0.0631044249008976,0,0,0,0,0,0,0,0,0,0,0.0370825599890125,0,0,0,0.0834169519108345,0.0168631492043022,0,0,0,0,0,0,0,0,0,-0.0230534190503593,0,0,0,0,0,0,0
X600522.SH,0,0,0,0.0759247088707127,0,0,0,0.182778794011355,0,0,0,0,0.101122118074765,0,0,0,0,0.0442668662980052,0,0,0.0723744127313985,0.00131917371169222,0,0,0,0,0,0,0,0,0,0.233185479439457,0,0,0.0939215504475538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0859934713545532,0.0122408378830691,0,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0594420134677176,0,0,0,0,0.20326111144908,0,0,0,0,0,0,0,0.0729244534657813,0,0,0.0330586852770489,0.00708822047580598,0,0.0816800849782116,0,0,0,0,0,0,0.160819320929502,0,0,0.018849792497121,0,0.0266616555024405,-0.0411635400982749,0,0,0,0,0,0
X000733.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262120440032181,0.00661708045722273,0,0,0,0,0.217523955396376,0.074144028521902,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256354436978429,0,0,0,0,0.131870883979357,0,0,0,0.00975207810531075,-0.108996454106574,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0.0421875248127751,0,0,0.373313773945042,0,0,0,0,0,0,0,0,0,0,0,0,0.052199951612301,0,0,0,0,0,0,0.0485146339761404,0,-2.16840434497101e-19,0,0,0,0,0,0.148781292571094,0,0,0,0,0.143085989666883,0.0609493480088805,0,0,0.0378945641301976,0,0,-0.0382664982727024,0,0,0,0,0,0
X600702.SH,0,0,0,0.156498136900894,0,0.110442071034012,0,0,0,0.0274060554879699,0,0,0,0,0,0,0,0,0,0.0118981053591117,0,0,0,0.0755913769433151,0,0.0111853360038644,0,0,0.0368127379158053,0,0,0,0,0,0,0,0,0,0,0.640770788705892,0,0,0,0,0,0,0,0,0,0,0,0.0294584402811954,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284460116252155,0,0,0,-0.0197948463934976,0,0,0,0,0.104796004416521,0,0,0,0,0,0,0,0,0.279807034082384,0,0,0,0,0.00128114413199741,0,0,0,0,-0.0219574678495986,0,0,0,0,0.0579326629125059,0,0,0,0,0,0,0,0,0,0,0
X000799.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.00175072078791294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79123734524575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00861717123008635,0.0235519356766103,0,0,0,0,0,0
X600884.SH,0,0,0,0,0,0,0,0,0,0.170633344958428,0,0,0.200360486770305,0,0.0197123840403786,0.0385112015026831,0,0.0685796684004846,0,0,0,0,0.0799100291882295,0,0,0,0.199668821230655,0,0,0,0,0,0,0,0,0,0.143596110348572,0,0,0,0,0.0159597016322367,0,0,0,0.0983901249609445,0,0,0,0,0,0,0,0,0,0,0,0,0
X002236.SZ,0,0,0,-0.0260038106244933,0.569694646635413,0,0,0,0,0,0,0,0,0.111485009593614,0,0,0,0,0,0,0,-0.0471507796081839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256946021340538,0.0889247636837804,0,0,0,0.0159953493689645,0,0,0,0,0,0,0
X601799.SH,0,0,0,0,0,0,0,0,0,0.104205026378966,0,0,0.0134771947181411,0,-0.0471357469933097,0,0,0,0,0,0,0,0,0,0.193688728463458,0,0,0,0,0.533541282937913,0,0,0,0,0,0,0,0,-0.0795660781165342,0,0,0,0,0,0,0.102831550000692,0,0,0,0,0,0.0436095342840374,0,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0.0333680063386946,0,0,0.0484167392738507,0,0,0,0.000948185643992441,0,0,0,0,0.036942004346215,0,0.221105247837018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170578407621547,0,0,0,0,0.066128698935349,0,0.15921935040487,0,0,0,0,0,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0.0342364882978132,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0322038292049209,0,0,0,0,0,0,0,0.0710266846172018,0.306342259399034,0,0,0,0,0,0.048145335635902,0,0,0,0,0,0,0,0,0,0,0.0576261594907771,0,0.0216751950779993,0,0,0.0619203262019752,0,0,0,0,0,-0.0116068310220482,0,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0.065907022922485,0,0,0,0,0.0864109637834296,0,0,0,0,0,0,0,0,0,0.0641390054115455,0,0,0,0,0,0,0.306989775757194,0,0,0,0,0,0,0,0,0.205856676252072,0,0.19423469580897,0,0,0,0,0,0,0,0,0.00892990647865008,0,0,0,0,0,0,0
X600563.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0777662444633942,0,0,0,0,0.0566617077056252,0,0,0,0.442906964184534,0,0,0.0360806914357956,0,0,0,0,0,0.0996517139428193,0,0.0915004274169831,0,0,0,0,0,0,0,0,0,-0.0922196836513546,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0,0,0,0.0397988375883981,0,0,0.0445802550102615,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0.14750481961225,0,0,0,0,0.00294104350907104,0,0,0,0,0,-4.33680868994202e-19,0,0.218330830282906,0,0,0,0,0,0,0.315696666170084,0,0.0710327298150276,0,0,0,0,0,0,-0.0260242683598789,0,0,0,0,0,0
