,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X003816.SZ,X002415.SZ,X000651.SZ,X600690.SH,X600809.SH,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X600031.SH,X002304.SZ,X000625.SZ,X000063.SZ,X000338.SZ,X300124.SZ,X000596.SZ,X002179.SZ,X000100.SZ,X002241.SZ,X300014.SZ,X600089.SH,X002463.SZ,X600372.SH,X000157.SZ,X600584.SH,X600703.SH,X002028.SZ,X600066.SH,X000977.SZ,X600741.SH,X600418.SH,X002236.SZ,X600183.SH,X600522.SH,X002049.SZ,X601877.SH,X000800.SZ,X600177.SH,X002180.SZ,X000921.SZ,X002294.SZ,X000661.SZ,X601799.SH,X002074.SZ,X002223.SZ,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000661.SZ,0,0,0,-0.0194893602903795,0,0,0,0,0,0.253531193461473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157883129904953,0,0,0,0,0,0,0.138132222267676,0,0,0,0,0,0,0,0,0,0,4.82287403894642e-05,0.271409325454033,0,-0.0958615235297419,0.0623162269293044,0,0.118812918262044,0,0,0.144904662322211,-0.100599662246756,0,0,0.0451895432189454,0,0
X601799.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14336192880761,0.199443353622353,0,0,0,0,0,0,0,-0.0611853191624416,0,0,0,0,0,0.0861895869985857,0,0,0,0,0,0.055615556833518,0,0,0.014704899965684,0,0,0,0,0,0.147162215933104,0,0,0,0,0,0,0.0726024849395861,0,0
X002074.SZ,0,0,0.0958025779373753,0,0,0,0,-0.0649162096978921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337236954052135,0,0,0.159374880428644,0,0,0,0,0,0,0,0,0,0.0354751582109303,0,0,0,0,0,0,0,-1.73472347597681e-18,0.048027659940264,4.33680868994202e-19,0,0,0,0,0.0933565273982,0,-0.0685271591248136,0,0,0.0406286985363362,0,0
X002223.SZ,0,0.0783277513790905,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.192241596268182,0,0.408316300444922,0,0,0,0,0,0,0,0,-0.17306932282112,0,0,0,0.0173086601673475,0,0.00753419904919838,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0619565366937116,0,0.0194596842485078,0.0535571760719444,-0.310058516189056,0,0,0,0,0
X002129.SZ,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.348454193934705,0,0.10222883205919,0,0,0,0,0,0,0,0,0.2184448760856,0,0.10111779099388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00385351365655412,0,0,0,0.0420837717295096,0,0
Change_TY3M,0,0,0,0.0685512101542009,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504845079079698,0,0.0939284545179844,0,-0.0796680775920687,0,0,0,0,0,0,0,0,0,0.036820705796855,0,0,0,0,0,0,0,0,0,0,0.0774280619234121,-0.0548652493243643,0,0,0,0,0.0931336806445473,-0.0369307640848955,0,0,-0.0477153868276766,0,0,0,0.0617096435114445,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136581713561615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751385009739106,0,0,0,-0.0734384060406418,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0997748929873564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312868530363409,0,0,0,0,0,0,-0.209265578520126,0.791263513584033,0,0,0,0,-0.165156915622864,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10319064328523,-0.106923170102039,0.113778905584867,0,0,0,0.0477283394093724,0,0,0,0,0,0,0,-0.0391207258602851,0,0,0,0,0.0285018772240084,0,0,0,0,0,0,0.0840340371897084,0,0,-0.020424094040278,0,-0.15928913058955,-0.00583067216846658,0,-0.0430783885833441,0,0,0,0,-0.00766221291537083,0,0
MKreturn,0,0,0,-0.0370099450353705,-0.00617524779394115,0,0,0,0,0,0.0436371758911202,0,0,0,0,0,0,-0.0388980699798891,0,0,0,0,0,0,0,0,-0.023500519128713,0,0,0,0,0,-0.0143727134908034,0,0.0525913112995422,0,0,0,0,0,0,0,0.0150182075262015,0,0,0,0,0,0,0,0,0,-0.00941607798592773,0.0864245567562214,0,0,-0.0153533442392072,0,0
MKvol,0,0,0,0,0.00265842320146632,0,0,0,0.0027017628880236,0,0,0,0.000469580693179684,0,0,0,0,0,-0.00182320365415656,0,0,0,0.0022090494002279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00155520111177642,0,0,0,0,0.00133695256642251,0,0.00188762124843623,0.000153063222077716,0,0,0,0,-0.00273071714259721,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0.0137070874856072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00835811788124031,0,0,-0.00657153238267304,0,0,0,0,0,0,0,-0.00217926990469954,0,0,-0.0029498188558652,0,-0.00658476567059741,0,-0.00775291379283945,0,0,0,-0.0101737142651686,0,0,0,0,0,0,0,0,-0.0321237098504053,0,0,0,0,0.0166374721384553,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0105902514797366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00878741943122595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0146970885673911,0,0,0,0,0.009274560684764,0,0
