,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002304.SZ,X600690.SH,X000651.SZ,X002475.SZ,X300124.SZ,X600104.SH,X000725.SZ,X000063.SZ,X600031.SH,X003816.SZ,X000596.SZ,X002371.SZ,X002129.SZ,X300014.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X002049.SZ,X600089.SH,X000661.SZ,X000100.SZ,X002241.SZ,X002180.SZ,X300142.SZ,X600702.SH,X601877.SH,X000157.SZ,X600584.SH,X600741.SH,X002236.SZ,X600522.SH,X000733.SZ,X600460.SH,X002074.SZ,X000977.SZ,X000066.SZ,X000799.SZ,X300003.SZ,X002294.SZ,X600183.SH,X002007.SZ,X002414.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000625.SZ,0,0.0188639217165873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14256481947956,0,0,0,0,0,0,0,0,0,-0.124129001698807,0,0,0,0,0,0.69953747147606,0,0,0,0,0,0,0,0,-0.0985766317908373,0,0,0,0,1.73472347597681e-18,0,0.0321871139154536,0.00849287896688816,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0.0678841005044379,0,0,0,0,-0.00727185354024268,0,0,0,0,-0.0136919879390536,0,0,0,0,0,0,0,0,0,0.0295099260650313,0,0,0,0,0.230285209014345,0,0,-0.00854118446202655,0,0,0,0,0.0577084460728169,0,0,0,0,0,0,0,0.0180659710083727,-0.244165651644922,0.026026613450526,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0.0990133559923564,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539329759025651,0,0,0,0,0,0,0,0,0,0,0.386883627934447,0,0,0.101119236411528,0,0,0.0293986700881328,0,0.0150253789074376,0,0.0416148563849226,0,0.0106139798566469,0.00930251468141223,0,0,0,0,0,0
X002179.SZ,0,0,0.0153948439542315,0,0,0,0,0,0,0,0.20373865923482,0,0,0.000671921258480007,0,0,0,0,0.0956826506862843,0.0646456607489282,0,0,0,0,0.0588674077760884,0.1517718627949,0,0,0,0.020973995166147,0,0,-0.0829428180373304,0,0,0,0,0,0.394482717707461,0,0,0,0.00970746049901525,0,0,0,0,0,0,0,0,0.0154182885562924,-0.0207045376677702,0,0,0,0,0,0
X002049.SZ,0,0,0.140474041331365,0,0,0,0,0,0,0.0544372775353665,0,0,0,0,-0.148338816631417,0,0,0.0593848718405379,0,0,0,0,0,0,0,0,0,0,0.214738431987663,0,0,0,0,0,0,0,0,0,0.192290514584645,0,0,0,0.036259000930812,0,0.202501274946922,0,0,0,0,0,0,-0.0243075461520083,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110419737840848,0,0,0,0,0,0.0431178435783705,0,0,0,0,0,0.0375850860613558,0,0.0566174090079578,0.0598174588909007,0,0,0,0.142490492466592,0,0,0,0.00802676005209234,-8.67361737988404e-19,-0.00465065493163712,0,0,0,0,8.67361737988404e-19,0.115544625765748,0,0.0335609714940095,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0.0823067668956711,0,0.16960814951026,0,0,0,0,0,0,0,0,0,0,0.0109393383356612,0.0102772816467701,0,-0.0294900563091702,0,0,0,0,0,0,0,0,0,0,0,0.113618186796913,0,0,0.00929743262061145,0,0,0,0.18207545717099,0,0,0,0,0.0788449554059658,0,0,0,0.185010949901501,0,0,0,0,0.0145993847423289,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1282894248013,0,0,0,0,0.0234314620314767,0,0,0,0,0,0,0,0,0,0.0154400853759112,0,0,0,0,0,0,0,0,0.0138986577889745,0,0.00638325033547353,0,0.0489631869226506,0,0,0,0,0.0281881501588707,0,0,0,0,0,0.0391588730773575,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00162838402844393,0,0.0847402469227685,0,0,0.122932068678453,0,0,0,0,0,0,0,0,0.126613473525835,0,0.28323832442566,0,0,0.0428849972540294,0.161091913109328,0,0,0,0.0853974388755958,0,0,0,0,0,0,0,0,-0.0186328359179731,0,0,0,0,0,0,0
X002180.SZ,0,0,0.117221337244353,0,0,0,0,0,0,0,0,0,0,0.0186616686785119,0,0,0,0.030825500498091,0.0797258828325031,0,0,0,0,0,0,0.00425789986391337,0,0,0,0,0,0,0,0,0.262543826985427,0,0,0,0,0,0,0,0,0,0.0876672418852962,0.0590278833364925,0,0,0,0,0,-0.0226365307223428,-0.0463229686776051,0,0,0,0,0,0
X300142.SZ,0,0.0533039176488876,0,0,0,0.163946893854062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00791355599900441,0,0,0,-0.0548008907709772,0,0,0,0,0,0,0,0,0,0,0,-0.0620706838859489,0,0,0,0,0,0,0.201793749842642,0,0,0,0,0.0230136075056091,0,0,0,0,0,0
X600702.SH,0,0,0,0,0,0.0696139419168347,0.228263664935605,0,0,0,0,0,0,0,0,0,0,0,0,0.0261066835701127,0.033989830031917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0479807615868073,0,0,0,0,0,0,0.427388367720357,0,0.0687330477702861,0,0,0,0,-0.00237362007176317,0.0174370512369371,0,0,0,0,0,0,0
