,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600271.SH,X600703.SH,X600690.SH,X600741.SH,X002292.SZ,X600066.SH,X002241.SZ,X000100.SZ,X600031.SH,X600118.SH,X002236.SZ,X600177.SH,X002506.SZ,X000559.SZ,X002475.SZ,X600372.SH,X000157.SZ,X000568.SZ,X000338.SZ,X300003.SZ,X002085.SZ,X002074.SZ,X300124.SZ,X002294.SZ,X600867.SH,X600089.SH,X002456.SZ,X002426.SZ,X002465.SZ,X002007.SZ,X600498.SH,X000869.SZ,X002180.SZ,X601877.SH,X002508.SZ,X000050.SZ,X000977.SZ,X002008.SZ,X002049.SZ,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600271.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0179440965486998,0,0.0245565359146328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178976139530474,0.0108996772224053,0.0106063287810342,0,0,0,0,0,-0.161245633640538,0,0,0,0,0,0,-0.00760075433844811,0.0881224803633389,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02147614338496,0,0,0,0,0.0861179391054415,0.0652194232025557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118784852544073,0,0,0,0,0.0589511275897994,0.0138556841365026,0.070683165024692,0,0,0,0.0236471196272163,0.00648528107328534,0,0,0,0,0,0
X600690.SH,0,0,0.143815094799786,0,0,0,0,0,0,0,0,0.0787537588652513,0,0,0,0.109309043323328,0,0,0.233201275823013,0,0,0,0,0,0,0.0721506450855524,0.0874704344448636,0,0,0.0127669166213942,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.0607749653469725,0,0.0538225397923126,-0.107157009834797,0,0,0,0,0,0
X600741.SH,0,0.203910115376629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0903888442056002,0,0,0,0,0.0876406213747559,0,0,0,0,0,0,0.0160205103029735,0,0,0,0,0,0.168587555034875,0,0,0.0859347531456924,0,0,0,0,0,0.0258040660021669,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328279464142729,0,0,0.196272373792465,0,0,0.236567396461546,0,0,0,0,0,0.156909873545699,0,0,0.105316559759616,0,0,0,0,0.0841304906971376,0,0,0,0,0,0,0,0,0.212678971412479,0,0,0,0,0,0,0,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,0,0,0,0,0,0.111114165318644,0,0,0,0,0,0,0,0,0,0.150097194288196,0,0,0,0.0755203032514706,0,0,0,0,0,0.088244078813525,0,0,0,0,0,0,0,0,0.0583429380046815,0,0,0,0,0,0,0,0,0,0,0.00195221071026738,-0.030903799688317,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172372166945644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247393651899821,0,0,0,0.0308087855587476,0,0.422835922782277,0,0,0,0,0,0,0.0372310583291111,0,0,0,0,0,-0.0176487639046599,0,0,0,0,0,0,0
X000100.SZ,0,0,0.0858975575975009,0,0,0,0,0,0.0106770758918635,0,0,0,0,0,0,0,0,0,0,0.0545981541106398,0,0,0.162617407907901,0.0362888309643278,0.0181978349441508,0.0381666240121683,0,0,0,0,0,0,0,0,0,0.00861436249257233,0.180855096763713,0,0,0,0.0429645451846035,0,0,0,0,0,0,0,0,0,0,0,-0.0352607014577237,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0.0788522087160856,0,0,0.0249749021999348,0,0,0,0,0,0,0,0,0.132353337825424,0.0711326505848139,0.0304392285151422,0,0.040027329667646,1.73472347597681e-18,0,0.0351004949465518,0,0,0,0,0,0,0.254767093423442,0,0,0,0,0.0160294919606531,0,0,0,0,0.118042618745543,0,0,0,0,0,0,0,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224572810013273,0,0,0,0.193857563802339,0.207328266625907,0,0.147648678035276,0,0,0,0,0,0,0,0,0,0,0.246999135912972,0,0,0,0,0,0,0,0,0.060096165604812,0,0,0,0,0,0.0225282262251194,0,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13528491312088,0,0,0,0,0,0.11007038747119,0.115553847133505,0,0,0,0.0991591689699071,0,0,0,0,0,0,0,0,0.148958204274083,0.306511514582616,0,0,0,0,0.0409149783674162,0,0,0,0,0.060457473129196,0,0,0,0.0107824064306109,-0.00188543903245179,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194236003295437,0,0,0,0,0,0,0,0,0,0,0,0.120497068173577,0.0823229791919322,0,0,0.0395848509115158,0,0,0,0,0,0.101816844502548,0,0,0,0,0,0,0,0,0,0,0,0,0
X002506.SZ,0,0,0,0,0,0,0,0.158656551122794,0,0,0,0,0,0,0.0904665815112348,0,0,0,0.228537431930156,0.00636596421074276,0,0,0,0.102570233958273,0,0,0,0,0,0,0,0.0890221727543851,0,0,0,0,0,0,0.0922968235105927,0,0,0,0,0,0,0.0419874022050611,0.149527092969258,0,0,0,0,0,0,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383485861255797,0,0.0422636692938519,0,0.0520299683957876,0.0876965460123094,0.0564100328834458,0,0.0981273497144581,0,0,0,0,0,0,0,0,0.0688481774833214,0,0.190243998268047,0,0,0.163127793439268,0,0,0,0,0,0,0.223960170891471,0,0,0,0,0,0,0,-0.0227508380726032,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361151220106131,0,0.025086127013752,0,0,0.0636322095261282,0,0,0,0.189280465291838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317761166026372,0,0,0,0,0,0,0,0,0,0,0,0,0.00966055053154476,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137659982786161,0.452866981511962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168692818234388,0,0,0,0,0,0,0,0,0,0,0.108333956705074,0,0,0,-0.0330727934404331,0.113940873221509,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396163943284537,0,0,0,0.151207716520221,0.0252850313581476,0,0,0,0,0,0,0,0.00395066314207827,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0929639672930058,0,0,0,0,0,0.0110431265978001,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123832265052329,0,0.145227905236267,0,0.0183744989346259,0,0,0,0,0,0,0,0,0,0,0.191734950783915,0,0.0722579825160614,0.0182064274382032,0,0,0,0,0,0.0538586603703679,0,0,0,0,0,-0.00182323306101199,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325837681193449,0,0,0,0,0,0,0,0.243194181204649,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242675827430417,0,0,0,0.0661395725687977,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371055437048607,0,0.203890128068476,0,0,0,0,0,0,0.127224108730273,0,-0.0666316390602317,0,0,0,0,0,0,0,0,0,0,0,0.132708293064154,0.138870937879424,0,0,0,0,0.14335445189894,0,0,0,0,0,0,0,0.0212555452189224,0,0,0,0,0,0,0
X002085.SZ,0,0,0,0,0,0,0,0.0408437200812177,0,0,0,0,0,0,0,0,0,0,0,0,0.0512775863269013,0,0,0.430128833892646,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0579075681586471,0,0,0,0,-0.427972250601327,0.0401793426027604,0,0,0.107607448739974,0,0.0771279120231243,0,0,0,-0.037323490680132,-0.153171483982041,0,0,0,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127529842004864,0,0.194179700107501,0,0,0,0,0,0,0.0819762056942645,0,0,0,0,0,0,0,0,0.245739230222113,0,0,0,0.121093282292377,0,0,0,0,0,0,0,0,0.043943516642411,0,0,0,0,0,0.0243822648037167,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0881184984430955,0,0,0,0,0,0.135258510259961,0.0772561054656312,0,0,0,0,0,0,0,0.0935439473420802,0,0,0,0,0.0419249750977991,0,0,0.169345280195745,0,0,0,0.00665825693251265,0,0.183400485863388,0,0.138016838207872,0,0,0,0.00645267004383977,0,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19176854234435,0,0,0,0,0,0,0.0553871362261745,0,0.129081022256443,0,0,0,0.0989127624329484,0,0,0,0,0,0,0.127917398479062,0.0443352485173443,0,0,0,0,0,0,-0.00285024434507371,0,0,0,0,0,0,0
X600867.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0811392153921334,0,0,0.00948149568160273,0,0,0.0281878443333937,0.0463960356271897,0,0.0455915281143361,0,0,0.0957398101761772,0,0,-3.46944695195361e-18,0,0,0,0,0.115889511798797,0,0,0,0,0,0,0,0,0,0,0,0.0168709984386442,0,0,0.01063667810718,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11994970999952,0,0,0.172756705635372,0.112872564311501,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172954278384595,0,0,0,0,0,0,0,0,0.0127779277698493,0,0.098861631294462,0,0,0,0,0,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16360695834023,0,0.0373828330041699,0,0,0.0777419958402322,0,0,0.112875361965037,0.15815227201387,0,0.0809957416319589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143434377069411,0,0,0.108592049219292,0,0.133159503839888,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0
X002426.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397200704253044,0,0.0522055761322477,0,0,0.088375730117693,0,0,0,0,0,0,0,0.0647732976390452,0,0,0,0,0,0,0,0,0,0,0,0.207739715919335,0,0,0,0,0,0,0.0472812458043176,0.0179291368418902,0,0,0.158916949417389,0,0,0,0
X002465.SZ,0,0,0,0,0,0,0,0,0.0224472642750826,0,0,0,0,0,0.150781351517331,0,0.255864974012086,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0184220000736122,0,0.203588340232575,0,0,0,0,0,0,0.0799439672845141,0,0,0,0.0206289710846559,0,0.104723462135721,0,0,0,0,0,0.0511096782511525,-0.0978792876657633,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106672758632531,0.0496696294624319,0.110254652963394,0,0,0,0,0,0,0,0,0.324153054830471,0,0,0,0.0606462053469236,0,0,0,0,0,0,0.0288771582706276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0,0.0874213360168152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596295075579761,0,0,0,0,0,0.056019821584846,0,0,0.130810812489987,0,0,0,0,0.134496478275786,0,0,0,0,0,0,0,0,0,0,0.311493401723919,0,0,0,0,0,0,0,0,0,0,0
X000869.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072878108490508,0,0,0,0,0,0.03268751158438,0,0,0.141271853639114,0,0,0,0,0,0,0,0,0,0,0,0,0.131405478517531,0,0,0,0,0,0,0.0933671719328015,0,0,0.0448783805069085,0,0,0,0,0.00995855974619259,0,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130196333886269,0,1.73472347597681e-18,0,0.038832271208987,0.00232406134995882,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.0173794051373631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634600821379722,-0.0480282500392124,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275975288505972,0,0,0,0,0,0.247942680309166,0,0.100092943660277,0.0213147576033169,0,0,0,0,0,0,0,0,0,0,0,0,0.262853008931471,0,0,0,0,0,0,0,0,0.0596466349909526,0.0642871948128656,0,0,0,0,0,0,0,0,0,0,0,0
X002508.SZ,0.0269915610615505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016024370577983,0,0.0309930842123608,0,0,0,0,0,0.0743319660493944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2575211256922,0.0136527170774248,0,0,-0.00412432147888963,0.133321351098747,-0.0753205362032892,-0.125431674483441,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0760953437810584,0,0,0,0,0,0,0,0.108697708545192,0.0412529752921766,0,0,0,0,0,0,0,0,0.208295985680239,0,0,0,0.0927353482140122,0,0,0.102244911440753,0,0,0,0,0,0,0,0.147844367914707,0,0,0,0.024187326600316,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112276551640809,0,0,0,0,0,0,0.156710762700184,0.138893806785871,0.129309943547913,0,0,0,0,0,0,0.024959178653801,0,-3.46944695195361e-18,0,0,0,0.0234942140453343,0,0,0,0,0,0,0.0732005709745108,0,0.141507063013494,0,0.0354072420298152,0,0,0,0.00555832369650824,0,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0919485040160908,0,0,0.20021381393015,0,0.128705266051653,0,0,0,0,0,0,0,0,0,0,0.0632567547123126,0,0,0,0,0,0,0.0739953127868742,0,0.198776701681709,0.126313404470029,0,0,0,0,0,0.0186811123834887,0,0,0,0,0,0
