,X600519.SH,X000858.SZ,X000568.SZ,X600809.SH,X002415.SZ,X002304.SZ,X600276.SH,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X300014.SZ,X600104.SH,X000725.SZ,X000596.SZ,X600031.SH,X000625.SZ,X003816.SZ,X002129.SZ,X002371.SZ,X000063.SZ,X002049.SZ,X000338.SZ,X600703.SH,X002179.SZ,X000661.SZ,X600089.SH,X002180.SZ,X000100.SZ,X601877.SH,X002241.SZ,X300142.SZ,X600702.SH,X000733.SZ,X600741.SH,X002074.SZ,X600522.SH,X000157.SZ,X600460.SH,X600584.SH,X000799.SZ,X600884.SH,X300003.SZ,X002294.SZ,X002007.SZ,X600779.SH,X300146.SZ,X600563.SH,X601799.SH,X002236.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000063.SZ,0,0,0,0,0.0778473462254662,0,0,0,0,0,0,0,0,0,0,0,0.0193727159235758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0947790749628792,0,-0.014491782684192,0,0,0,-0.0146395570769192,0,0,0,0,0,0,0,0.053349130674172,0,0.0943967432546268,0,0,0.184397975004125,0,-0.000531712015002508,-0.00908818092921023,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0.020953395723948,0,0,0,0,0,-0.0233098257612772,0,0,0,0,0.220931447398744,0,0,0,0,0,0,0,0,0,0,0,-0.0813061400702036,0,0.227208187387775,0,0,0,0,0,0,0,0,0.0360037254295198,0,0,-0.00899917479100773,0,0.175944451875806,0,0,0,-0.0191781452129853,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352021032534909,0,0,0,0,0.122773389078249,0,0,0,0,0,0.0770055179026712,0,0,0.0135178624608816,0.110751563697508,0,0,0,0,0,0,0,0,0,0,0,-0.0235474810267165,0.0118678367875101,0,0,0,0,0,0,0,0,0.00758694289516746,0,0,0,0,0,0
X600703.SH,0.119855062513369,0,0,0,0,0,0,0,0,0,0,0.117060289054404,0,0,0,0,0,0,0.108723003389417,0,0,0,0,0,0,0,0,0.116977356246647,0,0,0.0901379144589616,0,0,0,0,0,-0.0566285258022006,0,0.263901448650443,0,-3.46944695195361e-18,0,0,0,0,0.0326414428271304,0,0,0,0.0245034840769836,0,0.0308019069090889,0.0161465512345467,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0455982884160971,0,0,0,0,0,0,-1.0842021724855e-19,0.0615861820307443,0,0.0102251791167227,0,0,0,0.0341202144874013,0,0,0,0,0,0,0,0.112656623340294,0,0,0,0,0,0,0,0,0,0,0.0577384182647628,-0.0115175343937178,0,0,0,0,0,-0.0241197975774358,0.00837614363885322,0,0,0,0,0,0
X000661.SZ,0,0,0.303127129802399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142178024211705,0,0,0,0,0,0,0,0,0,0,0.0259928716392284,0,0,0.131024208448339,0,0,0,0,0,0,0,0.0544634623837366,0,0,0,0.207505245245935,0,0,0,0,0,0,0,0.0285838010531844,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179947504101864,0,0,0,0,0,0,0,0,0,0.123058869595,0.143605495628692,0,0,0,0,0,0.130867575952428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000573531584405057,0,0,0,0,0,0
X002180.SZ,0,0,0.186895134182703,0,0,0,0,0,0.0547422912213013,0,0,0,0,0,0,-0.187498920614991,0,0,0,0.0100518727257385,0,0,0,0,0,0,0,0,0,0.0122324895122735,-0.0754713263243844,-0.092172300209905,-0.105545268784249,-3.46944695195361e-18,0,0,0,0,0.323186701035419,0,0,0,0,0,0,0,0,0.0312805737260786,0,0,0.131157280900655,-0.0142649558690367,-0.0202693530361073,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187612514628273,0,0.0484327497325294,0,0,0.0535242767276547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236950764686194,0,0,0,0,0,0,0,0.113535351097375,0,0,0,0,0,0,0.00934016411427561,0.0325069369269625,0,0,0,0,0,0
X601877.SH,0,0,0.219987914039729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302734217331412,0,0,0,0,0.0544902241323749,0,0,0,0,0.253552756852902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,-0.0185419213477795,0,0,0,0,0,0
