,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002475.SZ,X002304.SZ,X300014.SZ,X600104.SH,X600690.SH,X002371.SZ,X000651.SZ,X000725.SZ,X600031.SH,X300124.SZ,X600703.SH,X002241.SZ,X000625.SZ,X002129.SZ,X000063.SZ,X003816.SZ,X002049.SZ,X000338.SZ,X000596.SZ,X601877.SH,X000661.SZ,X002179.SZ,X600460.SH,X600089.SH,X000100.SZ,X300142.SZ,X600741.SH,X002074.SZ,X002236.SZ,X000799.SZ,X600884.SH,X600779.SH,X601799.SH,X600702.SH,X000157.SZ,X000733.SZ,X600584.SH,X002414.SZ,X600183.SH,X002007.SZ,X600563.SH,X600522.SH,X000800.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0344837102959767,0,0.376651243212226,0,0,0,0,0.00291416489799486,0.0644106175764029,0,0,0,0,0.030858699763978,0,0,0,0,0.0773331743551167,0,0,0,0,0,0,0,0,0,0,0.0544044764105322,0,0,0,0,0,0,0,0.0424632905492698,0,0,-8.67361737988404e-19,0.00772734006883567,0,0,0,-0.0350341882693611,0,0
X300142.SZ,0,0,0,0,-0.244774716040086,0.239514544036765,0,0,0,0,0,0.193684669985533,0,0,0,0.226433908442958,-0.0194539959795407,0.088519020260283,0,0,0.0964380980048828,0,0.0677795367854729,0,0,0,0,0,0,-0.116706319745444,0,0,0,0,0,0,-0.0249918314227465,0,0,0,0,-0.048084863246339,-0.301316926013455,0,0,0,0,0,0,0.15160161821479,0,0.308123636801853,-0.244044579789235,0,0,0,0.0694185965095874,0,0
X600741.SH,0,0.0708410636936971,0,0,0,0,0,0,0.0212345634023041,0,0,-0.127490879701704,0,0,0,0,0,0,-0.0311259270827936,0,0.00038492182288324,0,0,0,0,0,0.000890663069294051,0,0.176739628663488,0,0,0,0,0,0.022055469811949,0,0,0,0,0,0.240325704559962,0.129309019899428,0,0,0,0,0.0652838695564568,0,0,0,0,0,0.0270063088155117,0,0,0,0,0,0
X002074.SZ,0,0,0,-0.0742570169915122,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.240671640106967,0,0.0417296548964209,0,0,0,0,0,0.0878738303090339,0,0.0624425963197508,0.154386855840354,0,0,0.0596121180677722,0,0,0,0,0.272787570356964,0,0,0,0,0,0,0,0,0,0.0264600165617604,0,0,0,0,0.0122101352390611,0.0254946445767093,0,0,0,0.149095540435967,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110764969742391,0,0,0,0,0.0538391708429228,0,0,0,0,0,0.0295272058335971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00466612564573054,0.00081155623506729,0,0,0,-0.0330030640326755,0,0
X000799.SZ,0,0,0,0.61956077277646,0.0362800813890227,0.0891430269771902,0,0,0,0,0,0,0,0,0,0,0,0.0788613029976361,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0837434034102507,0,0,0,0,0,0,0,0.110417518229058,0,0,0,0.0521091270429648,0,0,0,0,0,0,0,0,-0.0358316938295866,0,0,0,-0.0213585524722624,0,0
X600884.SH,-0.156158865699373,0,0,0,0,0,0,0,0.039177943766557,0,0,0,0,0,0,0,0,0,0,0.042923317505203,0,0,0,0,0,0.195495682695802,0,0.139071316903104,0,0,-0.407674836425437,0,0,0.177182883228102,0,0,0,0,0,0,0.0318665987041939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600779.SH,0,0.53241818396303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403192530240484,0,0,0,0,0,-0.00661949239526233,0,0,0.0483183979789645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199017683559567,0,0,0,0,0,0,0,0,0,0,0,-0.00559258797012675,0,0,0,0,-0.0787385965140099,0,0
X601799.SH,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0.0332456260297729,0,0,0.055402471537732,0.0396511703114837,0,0,-0.0525421488535075,0,-0.0180202175170786,0,0,0.0476227342918166,0,0,0,0,0,0,8.67361737988404e-19,0.0425643734303321,0,0,0,0,0,0.18057705289523,0,0,0,0,0,0,0,0,0.00495477308947801,0,0,0,0,0.0548465727640237,0,0
X600702.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144598577278293,0.0474595837218918,0.12138496926152,0,0.177746773276257,0,0,0,0,0,0,0.357976555482476,0,0.236690780218112,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0415817862107517,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0.0409336804959078,-0.0243457454377596,0,0,0.609321018445343,0,0,0,-0.0408465774990095,0,0,0,0,0.0587947642480921,0,-0.0298487096914046,0,0,0,0,0,0,0.222215083799715,0,0,0,0,0,0,0,0,-0.0366934993722468,0,0,0,0,0,0.0336171298814097,0,0,0,0,0,0,0,0,0,0,0
