,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600276.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X300124.SZ,X000651.SZ,X600104.SH,X300014.SZ,X002371.SZ,X002049.SZ,X002129.SZ,X003816.SZ,X000725.SZ,X600031.SH,X000625.SZ,X000596.SZ,X000063.SZ,X002179.SZ,X000338.SZ,X600089.SH,X600703.SH,X002180.SZ,X002241.SZ,X600522.SH,X000661.SZ,X000733.SZ,X300142.SZ,X601877.SH,X002074.SZ,X000100.SZ,X600741.SH,X000157.SZ,X300003.SZ,X600460.SH,X600487.SH,X600702.SH,X600584.SH,X600884.SH,X600563.SH,X002414.SZ,X601799.SH,X002236.SZ,X000799.SZ,X000066.SZ,X600372.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0,0,0.0887219368154832,0,0,0.0668329713714032,0,0,-0.0259460627864356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00386228191507564,0,0,0,0.0699585801935854,0.213559184902326,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0084012640172615,0,0,5.42101086242752e-20,0,0,0,0,0,0,0
X300014.SZ,0,0,-0.0574818027485609,0,0,0,0.0444745573407642,0,0,0,0,0,0,0,-0.131128204709015,0,0,0,0,0.205452906546371,0,0,0,0,0,0,0,0,0.0433686955772983,0.0988748383058042,0,0,0,0.374681149742898,0,0,0,0.0262961824824798,0,0,0,0,0,0.179676622290871,0.10693961564091,0.00996344277215283,0,0,0,0,0,0,-0.00214957887568305,0,0,0,0,0,0
X002371.SZ,0,0,0.104261058969871,0,0,0,0.0419435567204564,0,0,0,0,0,0,0,0.0678565001997841,0,0,0,0,0,0,0,0,0,0,0.0984685838749645,0,0.0319496517843528,0.0566806569721116,0,0,0,-0.305441193865096,0,0,0,0,0,0.564816862091834,0,0,0,0,0.0306366020641509,0,0,0.386630103856828,0,0,0,0,-0.0465421207943088,0.0841708093659826,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.183980937707381,0.221668396963951,0,0,0,0,0.123233977204995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125132481365445,0.0214048332820998,-0.144444211357575,0,0,0.00309000307109222,0,0,0.0120609624013072,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.140339326626758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019463436852596,0.125523916912818,0,0,0,0,0,0,0,0,0,0.227177019630903,0,0,0,0,0.0616405873062363,0.00452706216942533,0,0,0,0,0,0.0192240080635047,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0479263843878377,0,0,0,0,0,0,0,-0.0532766780130361,0,0,0.0901332896611774,0.0146207232149387,0,-0.0395514976244447,0,0,0.097676119957761,0,0.0532458733737084,0,0,0.0290553318093614,0,0.0672567096286439,0,0,0,0,0,0,0,0.0269998561636105,-0.0787912939951743,0,0,0,0,0,-0.000168861179122393,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.102730319019454,0,0,0,0,0,0,0.165611734189276,0,-0.0230022279231084,0,0,0.0348197457637571,0.0673437376358752,0,-0.0832149517144694,0,0,0,0,0,0,0,0.384703550115051,0,0,0,0,-0.0304881960386556,0.0346056049321614,0,0,-0.0617462921027192,0,0,0,0,0,0,0,0.00689724877161079,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,-0.051634802273439,0,0,0,0,0,0,0,0.0537757993214653,0,0,0.0650411581256667,0,0,0,0,0.0303481239692423,0,0,0.105106339033305,0,0,0,0.00341067631939206,0,0,0,0,0.440792072144913,0,0,0.00417708188098675,0,0,0.112481821285268,0,0,0,0,0,0,0,0,0,0,0.0131107503818619,-0.0286471328480378,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0.310008407236194,0,0,0,0,0,0.197911610101718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00961131632316779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149159993876836,0,0.0618313524756878,0,0,0,0,0,0,-0.0473534960021408,0,0,0,0,0,0
X000596.SZ,0,0,0.452939174198079,0,0,0,-0.0886430313734103,0.249546627922713,0,0,0,0,0,0,0.0315717904451441,0.0185598325053949,0,0,0,0,0,0,0,0,0,0,0,0,-0.00740040047574746,-0.0951894508793762,0,0,0,0.040083020377436,0,0,0,0,0,0,0,0,0,0.0658486320713632,0.0309390195322832,0,0,-3.46944695195361e-18,0,0,0,0.039261134763009,-0.0420029727131924,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.0880607630230378,0,0,0,0,0,0,0,-0.0555118444839069,0,0,0,0,0,0.0391601911858844,0,-0.0246980873594734,0,0,0,0,0.113734123532879,0.0618628277819716,0,0,0,0,0,-3.46944695195361e-18,0,0.158305958723339,0,0,0,0,-0.0500556442169641,0,0.0415370991668772,0,0,0.072025036424193,0,0.155188104129707,0,0,0,0,0.00569096229259112,0,0,0,0,0,0,0
X002179.SZ,0,0,0,0,-0.100811980341035,0,0,0,0,0,0,0,0,0.0231501140133121,0.220122523569063,0.10017596735458,0,0,0.0379691775960385,0,0,0,0,0,0,0,-0.0379549324206322,0.0623798028710117,0.0706593534391496,0,0.318998294775349,0,0,0,0,0,0,0,0,0,0,-0.070247680520897,0,0,0,0,0,0,0,0.164519746522993,0,0.00651810495158848,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0.117759915641977,0,0,0,0,0,0,0,0,0,0,0,0.132088336168263,0,0,0,0,0,0.0700405703696656,0,0,0,0,0,0,0,0,0,0.205757011767112,0,0,0,0,0,0,0.0911523355118336,0.112696643727952,0,0,0,-1.0842021724855e-19,0.122954673807255,0,0,0,-0.00342902392067228,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0317068240717008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129568153609545,0.016376036907136,0,0,0,0.489781347279633,0,0,0,0,0,0,0,0,0.0229325001173538,0,0,0.00206066035495907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0728601354791712,0,0,0,0,0,0.197913237952878,0,0,0,0,0,0.13415168532174,0.0198154996502473,0,0,0,0.0642874247656873,0,0.189488665996545,0,0,0,0,0,0,0,0,0,0.163073901872845,0,0,0,0.0488278454308095,0,0,-0.0634357284834183,0,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,-0.0369114772897187,0,0,-0.106975502414521,0,0,0,0,0.0140054165027007,0,0,0,0,0,0,0,0.112507941997812,0,0,0,0,0,0,0.0529906153553823,0,0,0,0,0,0,0,0,0,0.0603271579415578,0,0,0,0,0.203611420359308,0,0,0,0,0.112633451336035,0,0,0,0.0623714271203945,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0.402963342002915,0,0,0,0,0,0.121750303537989,0,0,0,0,0,0,0,0,0,0,0,0,0.119489170888018,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.193328370961126,0,0,0,0,0.158353519641068,0.209637621611339,0,0,0.0486797648767242,0,0,0.060696494025033,0,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035129707130836,0,0,0,0,0,0.0117268668753687,0,0,0,0,0,0,0.16626303269709,0,0,0,0,0,0.0432334034035414,0,0,0,0,0,0,0.668430242594582,0,0,0,0.0902979149726713,0,0,0,0,0,0,0,0.097015884056223,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0,-0.168688584519212,0,0,0.0117526930519529,0,0,0.114266465862153,0.0433161015919549,0,0,0,0,0,0,0,0,0,0,0,-0.503340435217347,0.256548025602963,0.177209064400597,0,0,0,0,0,0,0.403477605282802,0,0,0.595411840644919,0,0,0.400508144519566,0,0,-0.151805707821743,-0.0044183569909844,-0.0399565295480249,0,0,0,0,0,0,0,0,0,0,0,0,0
X000733.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126443288748993,0.0201174737722925,0,0,0,0,0,0,0,0.145551080580827,0,0,0.0193288782088812,0,-0.0550393365994948,0.0616885373783198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177423145188385,0,0,0,0,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0.311765574210138,0,0,0,0,0,0.0565721535395673,0,0,0,0,0,0,0,0.0471832971398713,0,0,0,0,0,0,0,-0.120833948227091,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0843305952617001,0,-0.0866091277368479,0,0,0,0,0,0,0,0.0293743434622994,0.329209166019468,0,0,0.0296132653410678,0,0,0,0,0,0,0
X601877.SH,0,0,0,0.0467192986758655,0,0.0582588924575267,0,0,0,0,-0.239625359037689,0,0,0,0,0,0,0,0,0.0666815811236528,0,0,0,0,-6.93889390390723e-18,0.053835346452737,0,0,0.190500670105611,0,0,0,0,0.0481659678654806,0.0737539447055901,0,0,0,0,0,0,0,0,0.123184775837058,0.0937901720692723,0,0,-6.93889390390723e-18,0.0752548875703009,0,0,0.133705254020936,-0.118699725469689,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0.159704266156612,0,0,0,0,0.458662389515289,0,0,0,0,0,0,0.114731341361058,0,0,0,0,0,0,0.0864099238475335,0,0,0,0,0,0.0194515248017767,0,0,0,0,0,0,0,0,0,0.220941052036763,0.0554943270914206,0,0,0,0,0,0,0,0,-0.028376422964477,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151248473548456,0.307121586878232,0,0,0,0,0,0,0,0,0,0,0.0750964631047755,0,0,0,0.00480009695366778,0,0,0,0,0,0,0,0,0.175705931176777,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0230074565842157,0,0,0,0,0,0
X600741.SH,0,0,0.0474159123924505,0,0,0.0640894248112103,0,0,0,0,0,0,0.021043803121323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0470825444229623,0,0.00486354409785746,0.194448878902726,0,0,0,0,0,0,0.00996404462271999,0,0,0,0.0982098073137387,0.0478730163699459,0,0,0,0,0,0,-0.0510664725855846,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0.016638122444339,0,0,0,0,0,0,0,0,0,0,0,0.255574730646348,0.105549797790866,0,0,0,0,0.00548791929144597,0,-0.0616540551897748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040228452418771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X300003.SZ,0,0,0.143957476251659,0,0.243948059803458,0,0,0,0,0,0,0,0,0.0382816944597191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102523002041171,0,0.0304132041292815,0,0,0,0,0,0,0,0.124330586185528,0,0.113565264555875,0,0,0,0,0,0,0,0,0,0.0741725115136712,-0.0725023775994179,0,0,0,0,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0977294057673423,0,0,0,0,0,0,0.0779654468127008,0,0,0,0,0.27632012871354,0,0.0559657210985632,0,0.148386857329834,0,0,0,0,0,0,0,0,0,0,0,0.144012040194886,0,0.0513643028832451,0,0,0,0,0.170830121736289,0,0,0,-0.0224684499026345,0,0,0,0,0,0
X600487.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0212616376883559,0.713250787359656,0,0,0,0,0.275878666633702,-0.0234632594153456,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,-0.391825192038122,0,0,0,0,-0.0290266618585865,-0.00148749101211155,0,0,0,0,0,0
X600702.SH,0,0,0,0,0,0.374801388336785,-0.0656136917832119,0,0,0,0,0,0,0,0,0,0,0,0.0958346548209358,0,0,0,0,0,0,0,0,0,0,0.190346375199467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434482086492399,0,0,0,0.00703705165731397,0,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141276781471409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491847360662951,0.337874159771379,0,0,0,0.0406445145237474,0,0,0,-8.67361737988404e-19,0,0.294041684605555,0,0,0,-0.00882151588517562,0,0,0,0,0,0
X600884.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0965129441831934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10409525122885,0.00133419679011478,0,0.0527776768563695,0,0.235394892811834,0.142952923127108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138222381464574,0.0354452883729732,0,0,0,0,0,0
