,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X000100.SZ,X002241.SZ,X600066.SH,X600741.SH,X002292.SZ,X600118.SH,X002506.SZ,X002049.SZ,X600031.SH,X002236.SZ,X002475.SZ,X600372.SH,X000157.SZ,X000559.SZ,X002465.SZ,X000568.SZ,X300124.SZ,X000338.SZ,X600867.SH,X600089.SH,X002294.SZ,X300003.SZ,X002007.SZ,X600177.SH,X002074.SZ,X002456.SZ,X601877.SH,X002085.SZ,X600498.SH,X002008.SZ,X000050.SZ,X300146.SZ,X600584.SH,X000869.SZ,X600582.SH,X000547.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300146.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393830797186091,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.0194386340586375,0,0,0,0,0,0.143279896446297,0.292252932445693,0,0.0837095750324595,4.33680868994202e-19,0,0.0629208202942761,8.67361737988404e-19,0,0,0,0,0,0.100911842251895,0,0,0,0,0,0,0,0,0
X600584.SH,0,0,0,0.0377383902230763,0,0,0,0,0,0,0,0,0,0.0287248079185395,0,0,0,0,0,0,0,0,0,-0.0519772177539539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0849615718658749,0,0,0.0586074480869532,0,0,0,0,0,0,0,-0.0450983045792015,0.0812619474868791,0,0,0,0,0,0
X000869.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215925895324062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143354492902291,0,0,0.036947981427277,0.0913024339514131,0,0,0.0346804692537732,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600582.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234303045382957,0.0982792374506797,0.0312591914313383,0,0,0,0,0.311749284589216,0,0,0,0,0,0,0,-0.0304165681388368,0,0,0,0,0,0
X000547.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275654356069532,0.0544108567455744,0,0,0,0,0.27872855030994,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0806818490571673,0.0175461818076896,0,0.132029385828282,0,0,0.0628647427916668,0,0,0,0,0,0.0328785467608313,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0.00841919605777642,0.111339687349222,0,0,0,0,-0.0993492429933678,0.0220750309807851,0,0,0,0,0.112880872402748,0,0.0397083469825588,0,0,0,0,0,-0.0543043519131353,0,0,0,0,0,0.0522814440973441,0,-0.0762611595499987,0,0.109983730464693,0,-0.018858642041111,0,0.00649443888831917,0,0,-0.1664058070405,0,0,0,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271923684744274,0,0,0,0,0,0.709157055675207,0,0,0,0,0,-0.234380189244061,0,0,0,0,0,0,0,0,-0.12894717001392,0,0,0.105891735782141,0,0.350864134263561,0.358586339709063,0,0,-0.840922983958478,0,0,0,0,-0.275215689134112,0,0.0151440508389988,0,0.0861194874062836,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12675385556811,0,0.0388069073823245,-0.102708045824425,0,0,0,0,-0.0508454507801657,0,0,0,0,0,0,0,0,0.160745184171454,0,0,0,0,0,0,0,0.0167289726533219,0,0,0,-0.911719528438736,0,0,-0.233500749336395,0.103286132629261,0,0,-0.244852461128675,0,0,2.61175045963759,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0285353737079931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00260710246569727,-0.0553511106047092,0,0,0,0,0,0,0,0.0114950341542492,-0.0184440131845807,0,0.241277826898335,0,0,0,0
MKreturn,0,0,0,-0.161834521897609,0,0,0,0,-0.0211974636518563,0,0,-0.0793982752615888,-0.123664704490748,0,0,0,0.128997663336027,0,0.016532112356761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464356983166323,-0.050672513153734,0,0,0,0,0,0,0,0,0,0,0,0.743166569895164,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00730044496719855,-0.0114931457522799,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00802222288933871,-0.0168831436489149,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00260023281403494,0,0,0,0,0,0,0,0.00217065789200919,0,0,0,0,0.00469385302513865,0,0,0,0,0,0,0,0,0.00364551244793103,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0.0108259012355437,-0.0109845074258192,0,0,0,0,-0.017638868648793,0
