,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600276.SH,X600690.SH,X000651.SZ,X600104.SH,X000725.SZ,X600031.SH,X300124.SZ,X300014.SZ,X002241.SZ,X003816.SZ,X002371.SZ,X002129.SZ,X000063.SZ,X000338.SZ,X600703.SH,X000596.SZ,X002049.SZ,X000625.SZ,X601877.SH,X002179.SZ,X600741.SH,X300142.SZ,X000100.SZ,X600089.SH,X600460.SH,X000661.SZ,X002074.SZ,X002180.SZ,X600702.SH,X000157.SZ,X600522.SH,X600884.SH,X000799.SZ,X002236.SZ,X000733.SZ,X002008.SZ,X002414.SZ,X600584.SH,X600779.SH,X002007.SZ,X601799.SH,X000977.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146503738390465,0.0273911346487239,0,0,0.0916662857050658,0,0,0,0,0.0405051231979615,0,0,0.0016366235578869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132850437017603,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0.0705611350263085,0,0.0190981848769446,0.0408696188117701,0,0,0,0,0,0,0,0,0,0,0,0.0652713840575158,0,0,0,0.0157181510177837,0,0,0,0,0.108650566289071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00429854436723744,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0.0573757999420242,0,0,0,0.096690437859689,0,0,0,0,0,0,0.288869147069021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186639955412947,0,0,0.140789944816995,0,0,0,0,0,0,0,0,0,0.0557057834695269,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.22790059183481,0,0,0,0,0,0,0,0,0,0,0,0.0396529048310369,0,0,0,0,0,0,0.127453748777277,-0.0441611495315726,-0.0712725695301962,0,0.139584086251603,0,-0.0618153092717969,0,0,0,0.058078679903044,0,0.164309086720021,0.177957365396559,0,0,0,0,0,0,0.00317955074411533,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00384599115757954,0,0,0,0,0,0,0,0,0.063485171980622,0.0691135622136642,0,0,0,0,0,0,0,0.183106262183957,0,0.123766280811852,0,0.114800083733854,0.210927696128907,0,0,0,0,0,0,0,0,0.236859563121235,0,0,0,0,-0.0245428893603811,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0.544648653670711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256004175052848,0,0,0,0,0,0,0.0530137757155253,0,0,0,0,0,0.0996535369210063,0,0,0.223195903373457,0.0577674278448701,0,0,0.0217845495808869,0,0,0,0,0,0,0.0674346258136104,0,0,0.00695494358573819,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127546328223122,0,0.0765160619801523,0,0,0,0,0.0973454279294157,0.0887306277921085,0,0,0,-0.0723290487467054,0,0,0.0540143807443222,0,0,0,-0.0520908620893628,0,0,0,0,0,-0.0700888615892159,0.0410739469162356,0,0,0,0,0,0,0,0,0,0,0,0,-0.00810394475075536,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0511007674273677,0,0,0,0,0,0,0,0.116547930101063,0.209370656431067,0,0.107427193663937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241653932133984,0.20785305946597,0,0,0,0,0,0,0,0.237236109340805,0,-0.00650255077632584,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958551469181956,0,0,0,0,0,0,0,0,0,0,0.0163345192066908,0,0.0948939778188022,0,0,0.232664890505581,0.224871119154505,0,-0.353226338464107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237349773500094,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0947088821016174,0,0,0,0,0,0,0,0,0,0,0,0,-0.0588560438167274,0.0660795235955979,0,0.24572710574795,0,0,0.116787582314039,-0.028425477128856,0,0,0,0.0959910011880412,0,0,0,0,0,0.0303187599700196,0,-0.0863857393411173,0,0,0.0811447722642971,0,0,0,-0.0065948712346058,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.262794868949883,0,0,0.121263018649279,0,0,-0.0321098927392664,0,0,0.0992320787866102,0,0,0,0,0,0,0,0,0,0,0,0,0.0472289874999035,0,0.0676197848966872,0,0,0,0,0,0,0,0,0,0,0,0.128647246599015,0,0.0324584366492705,0.0157186925960623,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0.0737808219580825,0,0,0,0,0,0.179843547813398,0,0,0,0,0,0,0,0.132909929403948,0,0,0,0.108774247840635,0,0.0645006567315797,0,0,0,0,0,0,0.0788075896824523,0.254156509117916,0.0403320059141598,0,0,0,0,0,0,0,0.0232151215655595,0,0,0,0,-0.00618754111021745,0,0
X000596.SZ,0,0.150059816154347,0,0,0.0716701595568134,0,0,0,0,0,0,0,0,0,0,0,0,0.156467652132534,0.0208222961191578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129030807185748,0,0,0,0.0375448369303932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401140060075069,0,0
