,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X600118.SH,X000559.SZ,X600271.SH,X000100.SZ,X600066.SH,X600372.SH,X002292.SZ,X000157.SZ,X002241.SZ,X600741.SH,X002475.SZ,X600089.SH,X002236.SZ,X000338.SZ,X300124.SZ,X002465.SZ,X300003.SZ,X002506.SZ,X600177.SH,X000568.SZ,X600839.SH,X002129.SZ,X002074.SZ,X002294.SZ,X600867.SH,X000977.SZ,X000547.SZ,X002276.SZ,X000869.SZ,X600498.SH,X002008.SZ,X000800.SZ,X300146.SZ,X600582.SH,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600741.SH,0,0,0,0,0,0,0,0.0377542074013198,0.240731808391123,0.253644192506244,0.0215489198727968,0.161513536725872,0,0,0.02891608470633,0,0,0,0.0646228050314583,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00582108867075546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0121850534134884,0,0,0,0,0,0,0
X002475.SZ,0,0.0557247076999109,0,0,0,0,0,0.201254630525084,0,0,0,0,0,0,0,0,0,0,0,0.0800460158160915,0,0,0,0,0,0,0,0.445066157486501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390733150264388,0.222815634038079,0,0,0,-0.00502902548829184,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0.361142621880345,0,0,0,0.0193273849797506,0.0124594323788694,0,0,0,0,0,0,0,0,0,0,0,0.117642118075503,0,0,0.00838744717586448,0,0,0,0,8.67361737988404e-19,0,0,0,0.020050548482432,0.0513894137727602,0,0,0,0.104193844620029,0.12617480946962,0,0,0,0,-0.00567135375897415,0,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571730563766703,0,0,0,0,0,0.0244765212509327,0,0.107243103135088,0,0,0,0.155734343070663,0,0.0359823770222938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270861188667135,0,0,0,-0.0224858061991773,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0.0987822914895081,0.158946093207839,0,0,0,0,0.0378268195804128,0.0884586559610368,0,0,0.0716554334397654,0,0,0,0,0.0283678747773243,0,0,0,0.0119058984079001,0,0,0,0,0,0,0.109322805970911,0,0,0,0.0136946177254836,0,0,0,0,0.173804303075681,0,0,0,0,0,-0.0175707727285386,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208975583715584,0,0,0,0.0281446918834143,0,0,0,0,0,0,0,0,0,0,0.0466093815156531,0,0,0,0,0.0544080774291314,0,0,0,0.0607799609134134,0,0,0,0,0.3634111122375,0,0,0,0,0,-0.0263826314155935,0,0,0,0,0,0,0
X002465.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403940566340976,0,0.0448702957985649,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119516896599937,0.131568714839136,0,0,0,0,0,0,0,0,0.158171528755765,0,0,0,0.09025444032905,0,-0.00576145330913944,0,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0,0.206178049421932,0,0,0,0,0,0,-0.0284434648791184,0,0,0.491307142190178,0,0,0,0,0,0,0.0426617045416735,0,0,0,0,0,0,0,0,0,-0.0253246051520988,0,0,0,0,0,0.0894571728718604,0.00481498871765432,0,0,0,0,0,0,0,0,0,0,0
X002506.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104802343620216,0.140342495306247,0.0212147271854546,0,0,0.0298235656284152,0.160343814419791,0.0678364755276949,0,0,0,0.102251668257586,0,0,0,0,-0.0387737366757948,0.084145242413425,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0.0663954002595709,0,0,0,0.199276603687255,0.00140662634236468,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.0943898927526599,0,0,0,0.158400494519433,0,0,0.183781397435214,0,-0.0289234144432004,0,0,0,0,0,0,0
