,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X600276.SH,X600690.SH,X002304.SZ,X002475.SZ,X300014.SZ,X000651.SZ,X600104.SH,X300124.SZ,X002371.SZ,X000725.SZ,X003816.SZ,X002129.SZ,X002049.SZ,X600031.SH,X000625.SZ,X000596.SZ,X000063.SZ,X002179.SZ,X002241.SZ,X000338.SZ,X600089.SH,X600703.SH,X000661.SZ,X600522.SH,X002180.SZ,X000733.SZ,X300142.SZ,X000100.SZ,X601877.SH,X002074.SZ,X600741.SH,X000157.SZ,X300003.SZ,X600460.SH,X600884.SH,X600487.SH,X600702.SH,X601799.SH,X600584.SH,X000799.SZ,X002414.SZ,X002236.SZ,X600372.SH,X600563.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600884.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142414362109188,0,0,0.00186419630964073,0,0,0.147834882418343,0,0,0.269127103577385,0,0,0,0.13296107849069,0,0.040193279734876,0,0,0,0,0,0,-0.0553605523168844,0,0,0,0.00151876634340203,0,0,0,0,0,0.0379341337443309,0.0154725976180048,0,0,0,0,0,0
X600487.SH,0,0,0,0,0,0,0,0,-0.0695394461082102,0.0246472299414641,0,0,0,0,0,0,0.0530764760684264,0,0,0,0,0,0,0,0,0,0,0,0.634115649938843,0,0,0,-0.0314313240895311,0,0.224923389515823,0,0,0,0,0,0,0,0.0550708351484947,0,0,0,-0.287998356553395,0,0,0,0,0,0.00363196402067733,0,0,0,0,0,0
X600702.SH,0,0,0,0.411694297818731,0,0,0,0,-0.0164897164129602,0,0,0,0,0,0,0,0,0,0,-0.0424046811310099,0,0,0,-0.0519608542790636,0,0,0,0.179108383877465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0331681622012115,0,0.493232994989262,0,0,0,0,0,0,0.0246286976809107,0,0,0,0,0,0,0
X601799.SH,0,0,0,0,0,0,0,0,0,0.141155220732594,0,0,0,0,0,0,0.131033980346853,0,0,0.0454515113422677,-0.122339306019365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220129609347595,0,0,-0.0871477200273927,0,0,-0.133878332788242,0,0,0.0425925421931887,0,0,0,-0.142565709231291,0,0,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0.0446909093510516,0,0,0,0,0,0,0,0,0,0.341150808833232,0,0,0,0,0.0152072740840215,0,0,0,0,0,0,0,0,0,0,0.0337986459911592,0,0,0,0.18845577901895,0,0,0,0,0,0,0,0.100856506475521,0,0,0,0,0,0,0,0,0,0,0,0
X000799.SZ,0,0.140894341905533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130972108787784,0,0,0,0,0,0.0995826723080527,0.0466086254762838,0,0.0367675211935771,0,0,0,0,0.0286150900295869,0.0607778636079116,0,0,0,0,0,0,0,0,0.374186049345996,0,0,0,0.0510724115522451,0,0,0,0,0,0,0.0171378200700828,0,0,0,0,0,0
X002414.SZ,0,0,-0.0499498684908155,0,0,0,0,0,0,0.0501912110750697,0,0,0,-0.0480892491750223,0,0,0.331762066534452,0.0504951538020133,0,0,0,0,0,0,0,0,0,0.0826963234995918,0,0,0,0.132369749313812,0.0315814251750973,0.0986121547721472,0,0,0,0.0755449728615816,0,0,0,0,0,0.0486980669979824,0,0,0,0,0,0,0,0,0.0878757008361348,0,0,0,0,0,0
X002236.SZ,0,0,0.0148554944723805,0,0.240162192143702,0,0,0,0.114710139258839,0,0,0,0,0,0,0,0,0.0166040688375329,0,0,0,0.259903024263466,0,0,0.0936516483006505,0,0,0,0,0,0.124558684464427,0,0,0,0,0,0,0,0,0,0,0,0,0.0436853461660934,0,0,0,0,0,0,0,-0.0237373758822189,0.0329714765269319,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0.0755685541787359,0,0,0,0.0328719444402067,0,0,0,-0.00573173429990102,0,0,0,-0.0808822225992795,0,0.178739012135383,0,0,0,0,0,0,0,0,0.101451983586019,0.0124851600994497,0,0,0,0,0,0,0,0,0,-0.00688832085939283,0,0,0,0,0,1.73472347597681e-18,0,0,0.0200339589235959,0,0,0,0,0,0,0
X600563.SH,0,0,0,0,0,0,0,0,0,0.193155278838412,0,0,-3.46944695195361e-18,0.0273616731405634,0,0,0,0.219570185909168,0,-1.38777878078145e-17,0,0,0,0,0,0,0,-0.0534811264052884,0,0,0,0,0,0,0.0880357162437283,0,0,0,0,0,0.240150279555118,0,0.239528953738896,0,0,0,0,0,0,0,0,-0.0811932804793684,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0.119460038050371,0,0.101190801959324,0,0,0,0,0,-0.000263965823327567,0,0,0,0,0.18728300334552,0,0,0,0,0,0,0,0,0.0322882711117519,0,0,0,0.120898736011588,0,0,0,0,0,0,0,0.160089935030962,0,0,0,0.0773637548382891,0,-0.0622005913541186,0,0,0,0,0,0.0225801410715929,-0.0128481397268793,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0.0680835904840524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0303250190745084,0,0,0,0,0,-0.0031715296754552,0,0,0.152140411188191,0,0,-0.048892057822263,0,0,0,0,-0.136384438703022,0,0,0.0272400672177422,0,0,0,0,0,0,0,0,-0.0615558425073298,-0.0488404756086882,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0.103780089088285,0,0,0,0,-0.150204057991324,0,0,0,0,0,0,0,0,0,0,0,0,-0.00659419108995136,0,0.02325705350312,0,0,0,0,0,0.165467614205835,0,0,0,0,0,0,0,0.224235097547168,0,0,-0.181266051413607,0,0,0,0,0,0,0.130529123649178,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0.0670764025951983,0,0,0,0,0,0,0,-0.272407611688861,0.454120257059856,0,0,0,0,0,0,0,0,0,-0.12236901795613,0,0,0.0581965751192328,0,0,0,0,0,0,0,0,0.00741958718727463,0,0,0,0,0,0,0.136979547227597,0,0,0,-0.599579096528881,0.437637904521809,0,0,0,0,0.926981869199663,0,0
RealEstate_excess,0,0,0,0,0,-0.0370930172410565,0,0,0.0719557001183837,0,0,0,0,-0.0535432553364488,0,0,0,0,-0.114896638208529,0,0,0,-0.0879536509349972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0170545041130614,-0.0183362859345576,0,0,0,0,0.059082325182178,0,0,0,0,0,0.0167590648724443,0.0162104108577418,0,0.266284705639268,0,0,0,0
MKreturn,0,0,0,0,0,-0.126037532107091,0,0,0.0243061679054348,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143993455664936,0,0,0,0,0,0,0,0,0,0.0342728742210874,0,0,0,0,0.0716766375938832,0,0.0168062893334703,-1.73472347597681e-18,-0.0815196381356816,0,0,0,0,0.00811721609025996,0,0,0.0185774354032337,0,0,0,0.134509389463834,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000679694734463791,0,-0.000832023685267897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00423471042933958,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,-6.93889390390723e-18,0,0,0,-0.084566239907302,0.115383818188722,0,0,0.0211578902246574,0,0,0.00354445646129606,0,0,0,0.0435567339018711,0,-0.00240741595898485,0,0,0,0,-0.105257100319823,-0.0202959140844244,-0.0475453667609249,0,0,0,0,0,0,0,0,0,0,0,0,0.0800371627844115,0,0,0,0,0,0,0,0,-0.0532371729774089,0.124653392495054,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0.00139572853601275,0,0,0,0,0,0,0,0,0,0,0.00513752910607835,0,0,0,0,0,0,0,0,0,0,0,0,0.00301594566715193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0118710955500681,-0.0217277888775927,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00426809663082635,0,0,0,0.00214400871421286,0,0.00114762625651185,0,0,0,-0.00128054157661436,0,0,0,0,-0.00557039271392265,0,0,0,0,0,0,2.71050543121376e-20,0,0.0011974901771133,0,0.00151355430226263,0,0,0,0.000325266450346472,0,0,0,0,-0.000602059715054916,-0.00753052903496068,0,0,0,0,0,0
