,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X600031.SH,X003816.SZ,X000725.SZ,X002304.SZ,X000661.SZ,X000568.SZ,X000338.SZ,X600690.SH,X600703.SH,X600809.SH,X300003.SZ,X600741.SH,X002007.SZ,X600183.SH,X002371.SZ,X000100.SZ,X000596.SZ,X000977.SZ,X002241.SZ,X300014.SZ,X000625.SZ,X601877.SH,X002236.SZ,X000157.SZ,X300142.SZ,X300124.SZ,X002463.SZ,X002129.SZ,X600498.SH,X002223.SZ,X002179.SZ,X002456.SZ,X600271.SH,X000066.SZ,X600118.SH,X300136.SZ,X600487.SH,X600584.SH,X600177.SH,X002414.SZ,X600522.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508532123575752,0,0,0,0.0490952068842033,0,0,0.00534605279953636,0,0.11040433084265,0,0,0,0,0,0,0,0,0,0,0.0696873780499884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0.22055186434139,0.0945154023817536,0,0,0,0,0,0,0,0.00357850560390541,0,0,0,0,0,0.0454997866668807,0,0,0,0,0,0,0,0.00373841904821873,-0.00382217410924542,0,0,0.0415086275502847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139708097209029,0,0,0,0,0,0,0,0,0,0.189391484805988,0,0,0.0122637461317943,0.123321069276427,0,0,0,0.0324975166567848,0,0,0,0,0,0,0,0,0,0.152871689817275,0,0,0,0,0,0,0,0,0.0188203418770237,-0.00575714897562809,0,0,0,0,0,0
X000568.SZ,0,0.349279061853317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401858290101108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0836520735865189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000338.SZ,0,0.0335609860288177,0,0,0,0,0,0,0.0665963587673541,0,0,0,0,0.348372368978856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143629938511716,0,0,0,0.0609347388919031,0,0,0,0,0,0,0,0,0,0,0.00967778493207497,0,0,0,0,0.0889722134358516,0.0230280512613257,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0635881342166198,0,0,0,0,0,0,0,0,0,0.14343408827361,0,0,0.0742918240708654,0,0,0.0028348635901327,0,0,0,0,0,0,0,0,0,0,0.0514086201990619,0,0,0.00711208255831581,0,0,0,0,0.045497372159311,0,0,0.00475332760931939,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107907742421618,0,0.00849019473228526,0,0,0,0,0,0,0,0,0,0,0,0.122415079011105,0,0,0,0.0861249387852282,0,0,0,0,0,0.491401193396894,0,0,0,0,0,0,0.0356048437217294,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.0242219283323934,0,0,0,0,0,0,0,0.630853087877426,0,0,0,0,0,0,0.0096956020306087,0,0.0372697995224737,0,0.0980576329634467,0,0,0,0,0,0,0,0,0,0,0.0302549048941127,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0500037594514264,-0.0102923885307492,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0.0575035572582899,0,0,0.144665322699844,0,0,0,0.0318440144076281,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.155109323494535,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278476322812924,0,0,0,0,0,0,0,0,0.0218773666463273,0.0166802261278795,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0.215459968378386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115952837186406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425176254855964,0,0,0,0.0303421427387429,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0.0039645046296144,0,0,0,0,0,0,0,0,0.296283911741103,0,0,0,0.13455395631704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0151086083828222,0.157614437424077,0,0,0,0,0,0,-0.0949799117624476,0,0,0,0,0,0.122377524441231,-0.00597926170454732,-0.0417143944426191,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,2.16840434497101e-19,0.00745689928478369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00271524402845712,0.226731728186615,0,0,0,0.00461145953353511,0,0,0,0,0,0,0.587807894134705,0,0,0,0,0,0,0,0,0,0,0.0287668416314907,0,0,0,0,0,0,0.0139927751696196,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211101313055211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300313705965621,0,0,0,0,0,0,0,0.224383621255931,0,0.0128734376324313,0,0.0459107582097029,0,0,0,0.0201633743166281,0.0207775996431897,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0.344533128433864,0,0,0,0,0,0,0,0,0,0,0,0.262719617615886,0,0,0,0,0.0624758215848439,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.0917612175341129,0,0,0.0467510435224275,0,0,0,0,0,0,0.0236376273330726,0,0,0,0,0,0
X000596.SZ,0,0.158342733321939,0,0.121777046738117,0,0.344401087911398,0,0.0509706668772146,0.0355083339378379,0,0,0,0,0.108575416386245,0,0,0,-1.38777878078145e-17,0,0,0,0,-0.0718930462128303,0,0,0,0,0.102969594751341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0515162156697091,0,0,0,0,0.00175184106999489,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326907586702153,0.090982360824449,0,0,0,0.035591858594606,0,0,0,0.0690635019779652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0673405283528435,0.175562588230341,0.204897358824907,0,0,0,0.0783241156023211,0,0,0,0,0,-0.0478818622641107,0.0230532050865817,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0.10208949365889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158146213258051,0.0644680825456978,0,0,0,0.194937428695316,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033576346064376,0.289765320631089,0,0.117981429790535,0,0,0,0,0,-0.013295935704836,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139788337277608,0,0,-1.38777878078145e-17,0,0,0.240785899713211,0,0.26221376212247,0,0,0,0,0,0,0.211930945892449,0,0,0,0,0,0,0.0996674536785065,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.206120556640781,0,0
X000625.SZ,0,0,0,0,0,0.221860026401667,0.0443294112660093,0.128444857196755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747545934775595,0,0,0,0.277749324574717,0,0,0,0,0,0.00262740609845971,0,0,0,0,0,0,0.00519892009151084,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0.0485723784271377,0,0,0,0,0,0.0309281402407264,0.172066354384653,0,0,0,0.138406095095022,0,0,0,0,0,0,0,0,0,0.00904249423307955,0.0399894762987321,0,0,0.0981391353415305,0,0,0,0,0,-0.0442698294017084,0,0,0,0,0.0919634537872673,0,0,0,0,0,0,0,0,0,0.0241751352429811,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0.0812682811569673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148998366534808,0,0.0887556846198731,0,0,0,0,0.0357156188895093,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.10478431016591,0.112401642799393,0,0,0,0,0.191135100692142,0,0.000911389666530359,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0.351553330894683,0,0,0,0,0.075421513128201,0.0472174285104842,0,0,0.073679228789151,0,0,0,0,0.0381196132820925,0,0,0,0,0.0414257118260994,0,0,0,0,0,0,0,0,0,0,0,0,0.14186917996117,0,0,0,0,0,0,0,0,0,0,0.0184251657096894,0,0,0,0,0,0,0
X300142.SZ,0,0.156754096808739,0,0,0,0,0,0,0,0,0,0,0,0.112420883051067,0.0549277963112811,0,0,0,0,0,0.11431054629223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0964573964840401,0,0,0,0.169099589456894,0.117212607739788,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,-0.0389441718902782,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0.0617521634085942,0,0,0,0,0.055263456372791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135018035594781,0,0,0,0,0,0,0,0,0.0879222646356775,0,0,0,0,0,0.0586238899907515,0,0,0.0246410737625165,0,0,0.0382882114610855,0,0,0.017408102746467,0,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,0,0.0140522371268873,0,0,0,0,0,0.00917299787266027,0,0,0,0,0,0,0,0.327633789853697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0797858775978416,0,0,0.152489490616072,0,0.137470740916823,0,0,0,0.169544274641151,0,0.0109810648839204,0,0,0.0164321211472406,0,0.00519189567875994,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283923859350821,0,0,0,0,0,0.132900137446034,0.160165088479574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192108705428227,0,-0.015388837436847,0,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0,0.302339316568311,0,0,0,0,0,0.0563473002005078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143623116997229,0,0,0,0,0,0,0,0,0,0.0355886795167838,0,0,0,0.357755463180417,0,0.221337628625175,-0.0079242360138914,0.0554899931423453,0,0,0,0,0,0
X002223.SZ,0,0,0,0,0,-0.0550949805403032,0.0647224273218419,0,0,0,0,0,0,0,0,0,0,-0.000601664208960782,0,0,0.190006159374686,0,0,0,0,0,0,0,-0.101983201664573,0,0,0,0,0,0,0,0,0,0,0,0,-0.188750495690126,0,0,0,0,0,0.253861411255172,0,-0.0610087066757541,0,0.0308858224917108,0,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236215177731337,0,0,0,0.036429267715064,0,0,0,0,0,0,0.0681342873529335,0,0,0,0,0,0,0,0.191150039726042,0.0599455895368131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625810398286195,0,0,0,0,0.0512127723953657,0,0,0,0,0,0.0673803294936581,0.16286677051234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349909018547047,0,0.256631847586052,0,0,0,0,0,0.0288837203815726,0,0,0,0,0,0,0
X600271.SH,0,0,0,0,0.0184787875813,0,0,0,0,0,0,0,0,0,0.241063622206775,0,0,0.0333209066623494,0,0,0,0,0.120124677620893,0.0239493480639516,0,0,0,0,0,0,0,0.0418779225971205,0,0,0,0,0,0,0,0,0,0.249990473856498,0,0,0.0937449614814113,0,0,0,0,0,0,0,-0.0126111383275045,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0.0458614759697939,0,0,0,0,0,0,0,0.0631981919810351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0.308440731161557,0.139474642391728,0,0,0,0.159171052744733,0,0.0202975055761903,0,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.223576146321573,0,0,0,0,0,0,0,0.139283009361721,0,0,0.165045231067993,0,0,0,0.344496205752767,0,0.0911325472792457,0,0,0,0,0,0,0,0.0633964203865711,0,0,0,0,0,0,0,0,0,0.136260592205482,0,0,-0.107997048913984,-0.120126709689328,0,0,0,0,0.00117295708822868,0,0
X300136.SZ,0,0,0,0,0,0,0.0478676825031774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130803820294591,0.0456752030500323,0.0188409253229749,0,0,0.0791247735924328,0,0.180582369021007,0,0,0,0,0,0,0.0238809879382503,0,0,0,0.15189170508912,0,0,0,0,0,0,0,0,0,0,0,0,0.0184864356245648,0,0,0,0,0,0
X600487.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509454688843333,0,0,0,0.0798271753344468,0,0,0.0186423063994126,0,0,0,0,0,0.0584448233725266,0,0,0,0,0,0,0.113274685524368,0,0,0,0,0,0,0.614586306273243,0,0,0,0.026037564036659,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449408458089727,0,0,0,0,0,0.0916482095128234,0,0,0.0204306172541093,0.11505954137988,0,0,0,0,0,0,0,0.0827060162985597,0.0126084768006131,0,0,0,0.111440482647062,0,0,0,0,0,0,0,0,0,0.092743476689727,0,-0.0298557623791121,0.0157777203575433,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429169934343262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142351386125096,0.0636536454790733,0,0,0,0,0,0,0,0,0,0,0,0,0.0492189527222246,0,0,0,0,0,0,0.00154523706862497,0,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.162659008611554,0,0,0,0,0,-0.0772476453692617,0,0.0170579854081999,0.478366587647,0,0,0,-0.0430883151475616,0,0,0,0,0,0,0.109028107635576,0.0642704773078456,0,0.161746188994758,0,0,0,0.0391986291118772,-0.0843591582436695,0,0,0,0,0,0,0,0,-0.0135444196952117,-0.0198480478285958,0,0,0,0.127620571272074,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0911980420705432,0,0,0,0,0,0.0447910651987069,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189929051350259,0,0,0.0849712376364501,0,0,0,0.0110220389138912,0.337993529934427,0,0,0,0,0,0,-0.0402893585397338,0.0174209103575357,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0.0462064543059022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231802808357027,0.0524926598377522,0.0964614077708962,0,0.0572383047577667,0,0,0.120955276805858,0,0.0340018931272427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186695625611009,0,0,0,0,0,0,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0.281091229669434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.411451560335088,-0.170432906890129,0,0.0224111949810205,0,0,0,0.0438423986081522,0,0,0,0,0,0.0350896897007495,0,0,0,0,0,-0.00944895214465927,-0.0160658757489063,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0.611248949199164,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.0365280305507459,0,0,0,0,0,0,0,0,0,0,0,0,-0.0611795353948612,0,0,0,0,0,0,-0.190771291165654,0,0,0,0,0,0,0,0,0,0.330089876402929,0,0,0,-0.837318018590466,0,0
TED,0,0,0,0,0,0,0,0.275379392507983,0,0,0,0,0,0,0,0,0,0,-0.321324438426058,0,-6.93889390390723e-18,0.143424694556242,0,0,0.222262513941932,0.204013920891146,0,0,-0.239964559104849,0,0,0,0,0,0,0,0,0,0,-0.32884896909506,0,0,0.187642438475509,0,0,0,0,0.396455679208873,-0.19244015086333,0,0,0,0,0,0,0,1.2648521525393,0,0
RealEstate_excess,0,0,0,0,0,0,-0.0174439112592279,0,0,0,0,0,0,0,0,0,0,0.0640745536387028,0,-0.0166544171226577,0,0,0,0,0,0.00646912502143224,0,-0.0133209492672263,-0.00886544040149412,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0533818629057956,0,0.0037755593325451,0,0,-0.0857974242533289,0.074107555325936,0,0.0612801934294759,0.00111107252204105,0.0193998288785491,0,0,0,-0.0127682189113415,0,0
MKreturn,0,0,0,0,0,0,0,0,-0.139721632232178,0,0,0,0,0,0,0,0,0,0,0,-0.0940235926669596,0,0.025302931352157,0,0.113911476652072,-0.0201007142301138,0,0,0,0,0,0,-0.032306077247166,0,0,0,0,0,0,0,0,0,0,0.0155986406605678,0,0,0,-0.177637390191314,0,0,0.316423343424072,0.0434454465451172,0.0205143070019988,0,0,0,0.122542077392863,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00593138156373675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000976589931583954,0,0,-0.00600657633804853,0,0,0,0,-0.00242333607712014,0,0,0,0.0154398609561491,-0.0272897414801818,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125928421742696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0207140721468632,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00064161919025605,0,0,0,0,0.00647130623931289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00280549368291965,0,0,0,0,-0.00518483224183924,0,0.00283714386891646,0,0,0,0,0,0,0.00349748959962573,-0.00607384183430367,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0.000121409304179949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00850783344001296,0,0,0,-0.040674857972689,0,0
