,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600690.SH,X600031.SH,X002475.SZ,X000338.SZ,X600741.SH,X000596.SZ,X000661.SZ,X600809.SH,X601877.SH,X000100.SZ,X300003.SZ,X600703.SH,X600271.SH,X002236.SZ,X002007.SZ,X000157.SZ,X300124.SZ,X000625.SZ,X002008.SZ,X300142.SZ,X002179.SZ,X600177.SH,X000977.SZ,X600498.SH,X002371.SZ,X600487.SH,X300146.SZ,X002506.SZ,X600066.SH,X600867.SH,X000050.SZ,X002241.SZ,X600776.SH,X600566.SH,X600522.SH,X002129.SZ,X600118.SH,X600183.SH,X600089.SH,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600177.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184848730983482,0,0,0,0,0,0.10739046562319,0,0,0.0554593942630671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2126083854173,0,0,0,0,0,0,0.100542385962125,0,0,0,0,0.00618097480727586,-0.00962531244448928,0,0,0,0.010302606702097,0,0
X000977.SZ,0,0.0785351999329377,0,0,0,0,0,0,0.0175918367540599,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.115920462456442,0,0,0.203731727590182,0,0,0,0,0,0,0,0,0,0,0,0.0336492138938067,0,0,0,0.129737412122342,0,0,0,0.307135327851684,0,0,0,0,0,0,0.0897068461105523,0,-0.00857004157242634,-0.104369494507355,0,0,0,0.0354267748416816,0,0
X600498.SH,0,0,0,0,0,0,0,0.110794864584564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958420223702495,0,0,0,0,0,0,0,0,0,0.0853655831865682,0,0.0782623700144445,0,0.140606062719821,0,-0.0211542061516634,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0.176788109119081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421573278230633,0,0,0,0,0,0,0.0393734505510841,0.00264601190932649,0,0,0,0,0.0731695978293015,0,0,0,0,0,-0.0358665870710935,-0.0329454240289148,0,0,0,0,0,0
X600487.SH,0,0,0,0,0,0,0,0.00999760212158355,0,0,0,0,-1.73472347597681e-18,0,0.0550606539952119,0,0,0,0,0.032613065111515,0,0,0,0.0281287828974586,0,0,0,0,0,0,0,0,0.0172397434005101,0,-8.67361737988404e-19,0,0,0,0,0,0,0.259744100173189,0,0,0.291041121729675,0,0,0.00653687784105812,0,0,0,0,0,0,0,0,-0.0939791970584854,0,0
X300146.SZ,0,0,0,0,0,0.0155923583663137,0.0253949667427808,0.0152314452310543,0,0,0,0,0,0.0358867205673774,0,0.0143782369627698,0,0,0,0,0,0.0456143338256016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238959729830834,0,0,0,0,0,0.0248801034102407,0,0,0,0,0,0,0,0,0,-0.0293627952658446,-1.0842021724855e-19,0,0,0,-0.0250336981450453,0,0
X002506.SZ,0,0,0.307312210207493,0,0,0,0,0.0584066613018375,0,0,0,0,0,0,0,0,0.0475413633451078,0,0,0.0257339851103596,0,0,0,0,0,0,0,0,0,0,0,0,0.118834895636251,0,0.137376778716274,0,0,0,0,0.0411593067881398,0,0,-0.0349072338229389,0,0,0,0,-0.132792791837456,0,0,0,-0.0643862171463931,0.0752977883249626,0,0,0,-0.0278983728375926,0,0
X600066.SH,0,0,0,0,0,0,0,0,0.122631670722151,0,0,0,0,0.0606370273966882,0.132890557734045,0,0,0,0.191077791935342,0,0,0,0.098773207684745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0996510638149742,0,0.043256607559895,0,0,0,0,0,0,0,0,-0.0432200420577278,-0.00544935116019521,0,0,0,0,0,0
X600867.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149725341357233,0,0,0,0,0,0,0,0.151188568415635,0,0,0,0.315739015378005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142011394295263,0.316190451002162,0,0,0,0,0,0,0,0,0,0,0
X000050.SZ,0,0,0,0.21190298878783,0,0,0,-0.189799206988427,0.11581245353358,0,0,0,0,0.187656651338434,0,0,0,0,0.114267919905224,0,0,0,0,-0.0882684669616432,0,0,0,0,0,0,0,0,0,0,0,0,-0.180305048570042,0,0,0,0,0,0.472388764015439,0,0,0.211433723095076,0,0,0,0,0,-0.0503423023254706,0,0,0,0,0.0457132033603868,0,0
X002241.SZ,0,0,0,0,0,0,0,0.185767520607473,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0760927565183739,0,0,0,0,0,0,0.300269062901736,0,0,0,0,0,0,0,0,0.143814808575622,0,0,0,0,0,0,0,0.0191610825561,0,0.0269189309612111,0,0,0,0,0,0,0.0484175754643274,0,0,-0.0117158085311416,0,0,0,-0.0363822508978162,0,0
