,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X600690.SH,X000568.SZ,X000651.SZ,X003816.SZ,X002475.SZ,X600104.SH,X000625.SZ,X300124.SZ,X002371.SZ,X000338.SZ,X000725.SZ,X002304.SZ,X000063.SZ,X600031.SH,X000596.SZ,X000100.SZ,X000157.SZ,X300014.SZ,X600089.SH,X002179.SZ,X002236.SZ,X002463.SZ,X600703.SH,X600741.SH,X000977.SZ,X600372.SH,X600066.SH,X002049.SZ,X002028.SZ,X002241.SZ,X000661.SZ,X000921.SZ,X600584.SH,X600522.SH,X002129.SZ,X601877.SH,X000800.SZ,X600566.SH,X601799.SH,X600183.SH,X002223.SZ,X600060.SH,X002007.SZ,X600177.SH,X600418.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382481110970098,0,0.0976306490698208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00646307595054851,0,0.0488621814708963,0,0,0.130273724593361,0.0929637322981597,0,0.0331874581640795,0,0,0,0,0.00208201594255402,0,0,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297356748913131,0,0,0,0.0566969814189856,0,0,0,0,0,0,0,-0.0113927470767474,0,0,0.0995218406812892,0,0.0225397815283775,0,0,0,0,0.145541419835589,0,0,0,0,0,0,0,-0.0147626033534347,0,0.0313103419543592,0,0,0,0,-0.0297807976293851,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0.350980444791461,0,0.198130181289142,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0326691765871527,0,-0.0144478305122789,0,0,0,0,0,0,-0.0496466664761282,0.0450791381428382,0,0,-0.0585821692690972,0,0.333231804257914,0,0,0,0,0,0,0,0,0,0.148536905892267,0,-0.00311428358163722,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0.159281684163098,-3.46944695195361e-18,0.19243143270091,0,0,0,0,0,0,0,0,0.13648206819211,0,0,-8.67361737988404e-19,0,0,0,0,-0.00758114548756639,0,0,0,0.0161236898671472,0,0.0515088078139514,0,0,0,0,0,0,0,0.00702510604201262,0,0,0,0,0,0,0,0,0,0,0,-0.00751229499646013,0,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0.0144318635059852,0,0,0,0,0.0721338554311628,0,0,0,0,0,0,0,0.0512654683076804,0,0,0,0,0.129636582038889,0,0,0,0,0,0,0,0.1428173275196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00591089904740918,0.169564066509538,0,0,0,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0.156333353852688,0,0,0,0,0,0,0,0,0,0,0,0,0.08228452234996,0,0,0,0,0,0,0,0.373235774568204,0,0,0,0,0.186342814668171,0,0,0,0,0,0,0,0,0,0,0,0.0478507521330935,0,-0.055025062189809,0,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,-0.729007102850324,0,0,0.184402892554631,0,0,0,0,0,0,0,0.167893473383294,0,0,0,0,0,0,0.116186399247033,0,0,0,0,0.158309217756863,0,0,0,0.365051077252731,0.275443041600911,0,0,0.227271273283326,0,0.218374851358963,0,0,0,0,0.193634983456894,0,0,0,0,0,0.219584581255815,0,-0.0113941514859234,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0.0708243937807266,0,0,0,0,0,0,0,0,0,0,0.0914227815919649,0,0,0,0,0,0,0,0,0,0,0,0.094404738446556,0,0,0.18510435035105,0,0,0,0,0,0,0,0,0,0,0,0.329091050928942,0,0,0,0,0.0294535510339261,0,0,0,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0,0,0,0,0.0978829884968829,0,0,0,0,0,0.0813759167999568,0,0,0,0.0721102386414381,0,0,0.0280314321201552,0,0,0,0,0,0,0.107959630431215,0,0,0.0500138519371039,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.010608643877562,0.0169950098076114,0.0850041897551674,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124962301109367,0,0,0,0.119946862685664,0,0,0,0.102402601946152,0,0.0204737103379434,0,0,0.50930789432614,0,0,0,0,-0.0175333361819784,0.176331920342711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155585419344399,0,0,-0.0825115338208514,0,0,0,0,0,0
