,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X600690.SH,X000063.SZ,X600703.SH,X000625.SZ,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X002241.SZ,X600031.SH,X600066.SH,X000338.SZ,X002456.SZ,X002508.SZ,X000100.SZ,X601877.SH,X300124.SZ,X300136.SZ,X600271.SH,X600522.SH,X300003.SZ,X002008.SZ,X600177.SH,X000157.SZ,X002294.SZ,X002007.SZ,X002085.SZ,X600118.SH,X600089.SH,X600487.SH,X600566.SH,X600699.SH,X600867.SH,X600809.SH,X600372.SH,X000559.SZ,X300115.SZ,X000623.SZ,X002180.SZ,X000980.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476810265381238,0,0,0,0,0,0,0,0,0,0,0,0,0.132134199134469,0,0,0,0,0,0,0.0170812450876677,0.226213699254625,0,0,0,0,0,0,0,0,0,0,0,0,0.00827805383883616,0,0,0,0,0,0
X002508.SZ,0,0,0.192465006890038,0.333053390290268,0,0,-0.119463707488799,0,0,0,0,0,0.0719890562113335,0,0.0548973358987547,0,0,0,0.144425564366901,0,0,0,0,0,0,0,0,0.0556065135941059,0,0.298668995691413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0110313844922335,0,0,0,0,0.111527396538719,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0.0941744855534383,0,0,0,0,0,0,0,0,0,0,0,0,-0.0487245943834936,0,0,0,0,0,0.0780675176950541,0,0.0445157664691708,0,0,0,0,0,0,0,0,0.00606996892136434,0,0,0,0,0.0583376471471151,0,0.0212242147190179,0,0,0,0.0320093950750958,-0.0356985004386802,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0719352784054565,0,0,0.200931555009811,0,0.355466601732337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363183923665877,0,0.105328615575263,0.140654450067693,0,0,0,0,0,0,0,0,0.0565493873892887,0,-0.0227275526644784,0.00738764541104411,0,0,0,0,0,0
X300124.SZ,0,0,0,0.442513735466921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103315305880339,0,-0.024871373549704,0,0,0,0,0.120105970380753,0,0,0,0,0,0.0939467165391877,0,0,0,0,0.00591214272453078,0,0,0,0,0.087808529084295,0,0,0,0,0,0,-0.0180341979883227,0.0254564298731312,0,0,0,0,0,0
X300136.SZ,0,0,0,0,6.93889390390723e-18,0,0.0142557248335498,0,0.118293751623331,-0.085023596738132,0,0,0.14706627463928,0,0.157482223246213,0.0110988727886918,0,0,0,0,0.0728253535737146,0,0,0,0,0,0,0,0,0.133457100615624,0,0,0,0,0,0,0,0.11702162558165,0.0845229200753587,0,0,0,0,0,0.214723765554988,0,0,0,0,-0.0154385793070366,0,0,0,0,0,0,0
X600271.SH,0,0,0.0912293504161683,0,0,-0.0667009259987619,0.233712036560831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289927517804498,0.129068488409776,0,0,0,0,0,0,0,0,0,0,0,0.2886618336056,0,0,0,0,0,0.173752196031179,0.0463650111768499,-0.125696838225706,0,0,0,0,-0.0158198367027905,0.0112581850189484,0,0,0,0,0,0
X600522.SH,0,0,0,0.016403809137833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0.255328270220294,0,0.236364172281823,0,0.0612319739201759,0,0,0,0,0.0880386938765881,-0.0618164001882972,0,-0.00609106065229979,0,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0.199183682021312,0,0,-2.16840434497101e-19,0,0.0960475781311975,0,0,0,0.0647430092832078,0,0,0,0,0,0,0,0,0,0,0.0626192067943165,-0.114798838436434,0,0,0,0,0,0,0,0,-0.0414053306835309,0,0,0,0,-0.0564895647645141,0,2.16840434497101e-19,0,0,0.040321269434429,0,0,0,0,0.0239025476139851,0.00515302268731777,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0,-0.0206095025496085,0,0,0,0,0,0,0.178059579806604,0.0833757921000945,0,0,0,0.283056685109307,0,0,0,0.243809145233721,0.378374058142516,0,-0.156762975376715,0.184595525672866,0,0,0,-0.366280124226176,0,0,0,0.0437334809758324,-0.0516999704844322,0,0,0,0,0,0,0.173480849363635,0,0,0,0,0.0114088043241271,-0.0557588000454123,0,0,0,0,0,0
