,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X600031.SH,X600741.SH,X002475.SZ,X002241.SZ,X002236.SZ,X600066.SH,X000338.SZ,X000100.SZ,X601877.SH,X002085.SZ,X002456.SZ,X600271.SH,X600118.SH,X000157.SZ,X600089.SH,X300124.SZ,X600522.SH,X600177.SH,X002508.SZ,X002007.SZ,X600372.SH,X300136.SZ,X000066.SZ,X600699.SH,X000981.SZ,X300003.SZ,X600487.SH,X600867.SH,X002294.SZ,X002074.SZ,X000559.SZ,X002008.SZ,X002180.SZ,X600566.SH,X002292.SZ,X000623.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600177.SH,0,0,0,0,0,0,0,0,0,0,0,0.0719769288148234,0,0,0,0,0,0,0,0.0542013637872866,0,0,0,0,0,0,0,0.0484998732584707,0.0368386616046837,0,0,0,0,0,0,0,0.0456415301915986,0,0,0.0335204926303348,0,0,0.00129352081934781,0,8.67361737988404e-19,0,0,0,0.00665295254992963,0,0,0.0027970052156219,0.00156461491210072,0,0,0,0,0,0
X002508.SZ,0,0,0,0,0,0,0,0,0,0,0.0767308259715823,0,0,0.0923950248189585,0,0,0.0796705331559543,0,0,0,0,0,0,0,0,0,0,0,0.101313514601882,0,0,0,0,0,0.0190110168163147,0.0397844770937974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380378105966325,-0.015941671383444,0,0,0,0,0,0
X002007.SZ,0,0,0,0.108949926009311,0,0,0,0.0039902434509076,0,0,0.0753775462710897,0,0.0809202525669676,0,0,0,0,0.118461465014441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0761619145367361,0,0,0,0,0,0,0.0386335255594387,0,0.0349765309573734,0,0.0125276559307821,0.0826614976175958,0,0,0,0.0120661858966549,-0.00471950102307023,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380100141665197,0,0,0.0619982555148784,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138762656125898,0,0,0,0,0,0,0,0,0.00896278418609883,-0.000220364429238352,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0,0,0,0,0,-0.0377281200011686,0,0.0459140622585418,0,0,0.222123429651242,0,0,0,0,0,0,0,0.83628237826373,0,0,0,0,0,0,0,0,0,0,0,-0.087233469927787,0,0,0,0,0,0,0,0,0.13251782931324,0,0,0,0,0,0,-0.0125320862251748,0.0028764391173297,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0.345215913016467,0,0.373081422064341,0,0,0,0,0,0,0,0.0698832024172675,0,0,0,-0.623463574332461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00734504033515084,0,0,0,0,0.380841390145963,0,0,0,-0.0223145938554141,0.0107247905953825,0,0,0,0,0,0
X600699.SH,0,0,0,0,0,0.0324299380729171,0,0,0,0,0,0.0190659068806287,0,0,0.0694514163099675,0,0,0,0,0,0.147131570220464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160375860290261,0,0,0,0,0,0,0.0838445503708532,0,0,0,0,0,0,0,-0.109889827431124,-0.0292389162259145,0.015380225766232,0,0,0,0,0,0
X000981.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182017803400126,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0.0391018535479593,0,0,0,0.213024048398346,0,0.0889031412412586,0,0,0.0679593351938425,0,0,0,0.0310967565150227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024841855786838,0,0,0,0,0,0,0.0107282704616325,0.0902979059450737,0,0,0,-0.00678220540556612,0.00536874327806575,0,0,0,0,0,0
X600487.SH,0,0,0,0,0.121864839770029,0,0,0,0,0,0,0,0,0.0260625289720238,0,0,0,0,0,0.0831020826694971,0,0,0,0,0,0,0,0,0.366257706488412,0.377302849144288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129906714849198,0.148945186025413,0,0.0256174417694122,-0.00732907728905843,0,0,0,0,0,0
