,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X600031.SH,X000338.SZ,X000625.SZ,X600487.SH,X002241.SZ,X002456.SZ,X002008.SZ,X000100.SZ,X601877.SH,X600066.SH,X300136.SZ,X600809.SH,X002508.SZ,X002294.SZ,X300124.SZ,X600522.SH,X300003.SZ,X600271.SH,X600867.SH,X002085.SZ,X600089.SH,X000981.SZ,X000596.SZ,X600498.SH,X002129.SZ,X600177.SH,X000157.SZ,X600699.SH,X000661.SZ,X600566.SH,X600118.SH,X002179.SZ,X300142.SZ,X002049.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600522.SH,0.0416068004025659,0,0,0,0,0,0,0,0,0.0196620004584044,0.207178531041608,0,0,0,0,0,0,0,0.412393317651656,0.114048349357731,0,0.0301467209682895,0.0383488173562767,0,0,0.117648684370133,-0.0620035288363809,0,0,0,0,-0.144414727671094,0,0,0,0,0,-0.0681641296826403,0.195580197394048,0,0,0,0,0,0,0,0.0892856926653908,0,0,0,0,0,0.0139911881533273,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0.00626697591958807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0987417728058019,0,0,0,0,0,0,0,0,0.0535951368639569,0,0,0,0,0,0,0,0,0.110293046700613,0,0,0,0,0.0298376503941532,0.0248446832704531,0,0,0.124653823117488,0,0.0455532576100219,0,-0.0295851136809,0.0151691590541584,0,0,0,0,0,0
X600271.SH,0,0,0,0.11158087171372,0,0.00116318613132956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103654240241029,0,0,0,0,0,0,0,0,0,0,0,0,0.0356007779884978,0.191666352003039,0,0,0.0839910366303924,0,0,0,0,0,0.109898350854948,0,0,0.0134973537566431,0,0,0,0,0,0,0
X600867.SH,0,0,0,0,0,0.108274173717234,0,0,0,0,0,0,0,0,0,0,0,0,0.169930991552678,0,0,0,0,0,0,0,0,0,0,0,0.107841668632834,0,0,0,0,0,0,0.00376576409305479,0,0.0239661835799377,0,0,0,0.0997530512332308,0,0,0,0,0.0847910956785416,-0.125312615296755,0,-0.017437717585707,0.00390527934010338,0,0,0,0,0,0
X002085.SZ,0,0,0,0,0,-0.0219875889904992,0,0.0679064504123025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012518722017405,0,0,0,0,0.0298813643888398,0,0,0,0,0,0,0,0,0,0,0,-0.0475722144439687,0,0,0,0,0,0.0246812140898834,-0.0939102809081555,0,0.0148351587437563,-0.0445841482355675,0,0,0,0,0,0
X600089.SH,0,0,0,0,0.0479194627032791,0,0,0,0,0,0,0,0,0,0,0.0376786975506649,0.0376115675902803,0,0,0,0,0.0316980003596282,0.0251397878473888,0.0932764381539347,0,0,0,0,0,0,0,0,0,0.0448697248890535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600412101840925,0.0900060286177885,0,-0.000265648341986924,-0.00200365356383461,0,0,0,0,0,0
X000981.SZ,0,0,0,0,0,0.0345653818902509,0,0,0,0,-0.0572020720705767,-0.0134763359443102,0,0,0,0.00497841454240935,0,0,0,0,0,0,0,5.34199012270659e-05,0,0,0,0,0,0.113091926772917,0,0,0,0,0,0,0,0,0.0125358822872996,0,0,0,0,-0.0470630951323033,0.0823826593920811,0,0,0.0383455494090295,0,0.0281299719359936,0,-0.0142144438348726,0.0133723142134917,0,0,0,0,0,0
X000596.SZ,0.0633503686808471,0,0,0,0,0.0722131375506238,0.0483781770317252,0.0327473212125831,0,0,0,0.11294218920191,0,0,0,0,0,0,0,0,0,0,0,0.0450283818337398,0,0.0995159619817304,0.335886638943679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0368522619443149,0.0486624985787319,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0,0,0.358431073536162,0,0,0.0299354715119789,0,0,0,0,0.379182019134784,0,0.138594734952457,0,0,0,0,0.138866364945498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114453088666636,0,0,0,-0.0148781941120629,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656508114737382,-0.027972801094998,0,0,0,0,0,0
