,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X000651.SZ,X300124.SZ,X000063.SZ,X600104.SH,X003816.SZ,X000725.SZ,X000596.SZ,X002371.SZ,X600031.SH,X000625.SZ,X300014.SZ,X000338.SZ,X002129.SZ,X002179.SZ,X600703.SH,X600089.SH,X000100.SZ,X002049.SZ,X600372.SH,X002236.SZ,X000977.SZ,X600741.SH,X000157.SZ,X002241.SZ,X601877.SH,X000661.SZ,X600584.SH,X600522.SH,X002180.SZ,X002074.SZ,X600702.SH,X000733.SZ,X300142.SZ,X002463.SZ,X002007.SZ,X000800.SZ,X601799.SH,X600460.SH,X002028.SZ,X000066.SZ,X300003.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000800.SZ,0,0,0,0,0,0,0.0189214167866409,0,0,0,0,0,0,0,0,0,0,0,0.101606560668764,0,0.193721514179567,0,0,0,0,0,0,0.124168451318678,0,0.0530430363868832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00719094578004215,0,0,0,0,0,0,0
X601799.SH,0,0,0,0,0,0,0.109153386953426,0,0,0,0,0,0,-0.0633010447601856,0.0168652849775104,0,0,0,0.159647561625879,-0.174778163958089,0,-0.00492141797327983,0,0,-0.0651397006265492,0,0,0,0.00817850082282758,0.00128523702116704,0,0,0,0,0,0,0.207669840147199,0.0865168878268189,0,0,0,0,-0.179930040818082,0,0,0,0,0,0,0,0,0,-0.0219901377962511,0,0,0,0,0,0
X600460.SH,0,0.173809428333205,0,0,1.38777878078145e-17,0,0.0705535547435407,0,0,0,0,0,0,0,0,0,0.0275614868741019,0,0.0461479552351639,0,0,0.022842878811961,0,0,0,0,0.264080173581442,0,0,0.00661891425396962,0,0,0.147209229457164,0,0,0,0,0,0,0,0.119056880739487,0,0,0,0,0.012737844006502,0,0,0,0,0,-0.0211969667907579,0,0,0,0,0,0,0
X002028.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293060369333309,0,0.115910422883445,0,-0.0406008742476797,0,0,0,0,0,-0.0405781091918906,0,-0.0669081624558995,0,0,0.072314396956125,0,0,0,0,-0.136314751964334,0.0497921306453224,0,0,0,0,0,0.113260141087398,0,0,0,0,0,0.033397364601021,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0,0,0.232688479263618,0,0,0,0,0.324627323459984,0,0.0487674063055827,-0.0744106809490557,0,0,0,0,0,0,0,0,0,0.163075740113307,0,0,0,0,0,0,0,0.074676582983512,0,0,0,0,-0.0594924946888812,0,0,0,0,0,0,0,0,0,0.127183980122625,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0.131324472367866,0,0,0,0.0534910040396279,0,0.0451582355717328,0,0,0,0,0,0,0,0,0,0,0,0.126262533388042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601977916645509,0,0.201222582028334,0,0,0,0,-0.0500822856181617,0,0,-0.0487488006563793,0,0,0,0,0,0,0
Change_TY3M,0,0,0,-0.0115288882928806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.221522174492814,0.117013087334202,0,0,0,0,0,0,0.120608718172777,0,0,0,0,-0.0353214931357511,0,0,-0.0991159391667612,0,0,0.137645393282906,0,0,0,0,0,0,0,0,0,0,0.047210502033019,-0.0543488361988247,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,-0.214307206831047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0900761708846438,0,0,-0.0223725431659724,0,0,0,0,0,0,-0.00121271998637319,0,0,0,0,0,-0.126139956053009,0,0,0,0,0,-0.134723520370754,0,0.599563165875692,0,1.22149454075902,0,0,0,0,0,0
TED,0,0.149766056232242,0,0,0,0,0,0,0,0,0,-0.132984719638108,0,0,0,0,0,0.0882232374336467,0.0314225695838119,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,-0.13560380449792,0,0,0,0,0,0,0,0,0,0,0,0,0.155992801289957,0,0,0,0,0,0.198124704764669,0,-0.457772294270878,0.671653208517465,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,-0.109740881883222,-0.122738692595586,0,0,0,0.18253664182526,0.0187448841936694,0,0,0,0,0,0,-0.0123309454154776,0,0,0,0.0547587662926031,0,0,0,0,0.106752700452753,0,-1.0842021724855e-19,0,0,0,0,0,0,0.112302363652254,0.0208926160734636,0,-0.0364185219461142,0,0,0.00283089002011283,0,0,0,0,0,0,0,0,-0.0164960619430962,0,0,0,0,0,0,0
MKreturn,0,0,0,0.0548946132260793,0,0,-0.0114473671308767,0,0.00543851187439839,0,0,-0.0834536962389913,0,0,0,0,0,0,0,0,0,0,0,-0.0631025824092739,0,0.0631524487930156,0,0,0.0234223100641534,0,0,0,0,0,0,0,0,0.100829002672602,0,0,0,0,0,0,0,0,0,0,0,0,0.048608399496259,0,0.0177897498956738,0,0,0,0,0,0
