,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X002236.SZ,X300003.SZ,X000338.SZ,X600031.SH,X601877.SH,X002008.SZ,X300124.SZ,X600809.SH,X600867.SH,X002456.SZ,X000625.SZ,X600271.SH,X600066.SH,X000596.SZ,X600487.SH,X002294.SZ,X000100.SZ,X600566.SH,X000981.SZ,X300142.SZ,X002180.SZ,X002241.SZ,X000661.SZ,X300136.SZ,X002007.SZ,X000050.SZ,X002508.SZ,X000157.SZ,X002038.SZ,X002179.SZ,X000869.SZ,X600522.SH,X002049.SZ,X600177.SH,X600498.SH,X600089.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300124.SZ,0,0.0749528012388181,0,0,0.0337397436897612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114950327786642,0,0,0,0,0,0,0,0,0,0.402161853298676,0,0.0256980278828774,0,0,0,0,0,0,0.161779406538321,0,0.0119330893376994,-0.0813694337902054,0,0,0,-0.0788640013386821,-0.0535542676532498,0,0,0,0,0,0
X600809.SH,0.0197088184305143,0,0,0.0216089648556024,0.0442668369811804,0,0.0891739133505855,0,0,0.331255423570345,0,0,0,0,0,0,0,0,0,0,0,0,0.0528245150984263,0,0,-0.0621261763010804,0,0,0,0,0,0,0,0,0,0,0.0397022840371459,0.0193006169994665,0.0650825453709785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600867.SH,0,0,0,0,0,0,-0.0101325624720344,0,0,0,0,0.0199666263646388,0,0.102998306484712,0,0.0905876675942039,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0895252322544312,0,0,0,0.150779690876306,0,0,0.137709559147689,0,0,0,0,0,0.099770762526442,0,0,0,0,0,0,0,0,-0.0417228043119187,-0.0112704344247379,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0.319888167701421,0,0.579040784690646,0.00316224220145224,0,0,0,0,0,0,0,0,0,0,0.0118986928760717,0,0,0,0,0,0,0,0,0,0.00814147128235925,0,0.240967305850213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376872774763444,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0.0816451861532826,0,0,0,0,0,0,0,0,0.0364600452572664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106206455446266,0,0.0778220963846793,0,0,0.054174230968015,0,0,0,0,0.0692518713370351,0,0,0,0,0,-0.00148619126363613,0,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,-0.0341460896015555,0,0,0,0,0,0,0.0875875671657545,0,0,0,0,0,0,0,-0.200729959270938,0,0,0,0,-0.125416593096547,0,0,0,0,0.145628799575477,0,0,0.32934068303093,0.338162649851484,0,0,0,0,0,0,-0.144649276775005,0.211773298312108,-0.0854535981678964,0,0,0,0,0,0,-0.0370526695312821,-0.0137419824699389,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,5.42101086242752e-20,0,0,0,0.131648780888089,0,0,0,0,0.148822640619593,-0.0340822297564369,0,0,0,0,0,-4.33680868994202e-19,0,0,0,-0.117759300191424,0,0,0,0,0,0,0,0.0723294460260116,-0.0341331972946252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000596.SZ,0,0,0,0.0712132268370048,0,0,0,0,0,0,0.11124956436311,0,0.16301365904975,0.15561554911035,0,0,0,0,0,0,0,0.234857971723822,0,0,0,0,0,0,0,0,0,0,0,0,0.0871873475845771,0,0.123797553113706,0,0,0,0.00385749096330491,0,0,0,0,0,0,0,-0.135207782323265,0,0,0,-0.00951267062983942,0,0,0,0,0,0
X600487.SH,0,0,0,0,0,0,0,0.2101255376234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415453926682642,0,0,0,0,0,0,0,0,0,0,0,0.0495341172574845,0,0.357076992277259,0,0,-0.0153297990800449,0,0,0.437348467664637,0,0,0.180794172915756,0.000297451863198898,0,0.00176490509033981,0.00897249238506682,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0.118767548174676,0,0,0,0,0,0,0,0,0,0,0.275640308231079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127052324841185,0,0.418928494567153,0,0,0.206679650714394,0,0,0,0.0688136044729552,0,0,0,0,0,0,0,0,0,0,0.0169515143126706,0,0,0,0,0,0,0
