,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X000651.SZ,X600104.SH,X600031.SH,X000725.SZ,X002371.SZ,X300014.SZ,X003816.SZ,X300124.SZ,X000063.SZ,X000338.SZ,X002241.SZ,X600703.SH,X002129.SZ,X000596.SZ,X000625.SZ,X002049.SZ,X601877.SH,X000661.SZ,X300142.SZ,X002179.SZ,X000100.SZ,X600089.SH,X000799.SZ,X600460.SH,X600741.SH,X000157.SZ,X002236.SZ,X600702.SH,X600779.SH,X002074.SZ,X600584.SH,X600884.SH,X002414.SZ,X601799.SH,X002007.SZ,X000733.SZ,X000800.SZ,X600183.SH,X300003.SZ,X300146.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002179.SZ,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.0594904907538023,0,0,0,0,0,0,0,0,0.0410407294019774,0,0,0.0296157302094697,0,0.0609269545442091,-0.0293747317197815,0.188849574481692,0,0,0,0,0,0,0,0,-0.0211274961865494,0,0,0,0.0832822199940929,0.0225842972250978,0,0,0.32247063856423,0,0,0,0,0,0,-0.0234785665048244,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.557345715623456,0,0,0,-0.00531425328134306,0,0,0,0,0,0,0,0,0.0145086503263513,0,0,0,0,0,0,0,0,0,0,0,0,0.0241470962749391,0.0867030498907603,0.0964211465471188,0,0,0,0,0,0,0,0,0,0,-0.0137635672015224,0,0,0,0,-0.0325804969207722,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0.0204441508726646,0,0,0,0,0,0,0,0,0,0.128276661929756,0.0388310046879638,0,0,0.0174939078606844,0,0,0,0,0,0.161729579936533,0,0,0,0.0819411966222757,0,0.0975037247391187,0,0,0,0,0,0,0,0,0,0,0,0.0277030690006219,0,0,0,-0.076256606119847,0,0
X000799.SZ,0,0,0,0.486621545910523,0,0.168402802598504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15579730170413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173658730738108,0,0,0,0,0,0,-0.0304234626619566,0,0,0,0,0,0,0,-0.0226194854927513,0,0,0,0,0,0
X600460.SH,0,0,0,0,0,0,0,0,-0.0897430885125939,0,0,0,0,0.181970409978925,0,0,0,0,0,0,0,0,0,0.202594670020497,0.138072608891171,0.0472388000774364,-0.212522346302475,0.212121718055971,0,0,0,0,0,0,0,0,0.0355426659961475,0,0,0,0.0481330074385526,0,0,0,0,0,0,0,0,0,0,-0.050781905941572,0,0,0,0,0.0529976164367883,0,0
X600741.SH,0,0,0,0,0,0,0,0,0.204767996511856,0,0.0836789813113652,0,0,-0.12409671769574,0,0.0743151978915759,0,0,0,0,0,0,0.102249899174703,0,0,0.111858272615933,0,0.0307568615400715,0.060427693737584,0,0,0,-0.0542175235926625,0,0,0.0323401664865307,0,0,0,0,0,0,0,0,0,0.117267740672228,0,0,0,0,0,-0.0111520322719344,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0.576899680223353,0,-0.0182197215317687,0,0.0522300967906857,0,0,0,0,0,0,0,0,0,0,-0.0512643957863542,0,0,0,0,0,0,0,0,0.118265062728755,0,0.100439276225882,0,0,0,0,0,0,-0.0669584975204431,0,0,0,0,0,0,0.0133091812949766,0,0,0,0,-0.0463677238785464,0,0
X002236.SZ,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0531722985996465,0,0,0,0,0,0,0,0,0,0,0,0.0848717036877026,0.0526370109401244,0,0,0,0.042476396301885,0,0,0.00486527356824584,0,0,0.0451019972833614,0,0,0.0354919245510122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600702.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0290133446474101,0,0.0202355793370236,0,0,0,0,0,0,0,0,0,0,0,0.0860592295821874,0,0,0,0,0,0.498835599558241,0,0,0,0,0,0.39084566865349,0,0,0,0,0,0,0,0,0,0,0,0.121602660750264,0,-0.0355919202865992,-0.00665976838363558,0,0,0,0,0,0
X600779.SH,0,0.444672053700727,0,0.0550951432951475,0,0.0842467398203173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158072472361372,0,0,0,0,0.0282531161708659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0122190810343351,-0.0706677077574375,0,0,0,0,0,0
