,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X000725.SZ,X003816.SZ,X002304.SZ,X600031.SH,X600690.SH,X000568.SZ,X000338.SZ,X600703.SH,X000661.SZ,X600741.SH,X000100.SZ,X002241.SZ,X600809.SH,X300014.SZ,X002371.SZ,X000596.SZ,X600183.SH,X002236.SZ,X300003.SZ,X601877.SH,X000977.SZ,X002007.SZ,X000625.SZ,X300124.SZ,X002129.SZ,X000157.SZ,X002456.SZ,X002180.SZ,X600584.SH,X300136.SZ,X600118.SH,X000066.SZ,X300142.SZ,X002008.SZ,X600271.SH,X002463.SZ,X002179.SZ,X002414.SZ,X002049.SZ,X002185.SZ,X000050.SZ,X002156.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294936200863156,0.0486844421973202,0,0,0,0,0,0,0,0.0162046767841558,0,0,0,0,0,0,0,0,0,0,0.0433420951397682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.0551034809789955,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.185100704438949,0,0,0.0422129036399695,0.048830042123127,0,0,0,0,0.106330230125421,0,0,0,0.0924762309715889,0,0,0,0,0,0,0,0,0,0.370149885238803,0.0029611667323426,0,0.0187600086492238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000143844484405677,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.0375308819662902,0,0,0.115915715460129,0,0.0892382948474097,0,0,0,0,0,0,0,0,0,0.108184310607182,0,0.0514168010251373,0,0,0.00162625718331684,0,0,0,0.0198576230099807,0,0,0.164773428678711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00622595371269895,0,0,0,0,0,0
X000568.SZ,0,0.490170295462997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233984024082536,0,0.0471019580811606,0,0.00864662863604686,0,0,0,0,0,0,0,0,0,0,0.0153110430065574,0,0,0,0.105393300161287,0,0,0,0,0,0,0,0,0,-0.0348470243846877,0.0635047720729701,0.0318533098002346,-0.02237942341403,0,0,0,0.026608472658219,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0.108582568605844,0.375387767939314,0,0,0,0.00715059268566544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179930170083315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111945757696337,0,0,0,1.73472347597681e-18,0,0,0,0,0.0213229900721911,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0897103716720664,0,0.151266737279784,0.0151845461386312,0,0,0,0,0,0.0215767762928562,0,0,0,0,0,0.278872247648019,0,0.0585201490303663,0,0,0,0,0,0,0,0,0,0,0,0,0.114462419335454,0,0.011708241875217,0.00182154542041271,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0,0.0920346038110706,0,0,0,0,0,0,0.0332955338897369,0,0,0,0,0,0,0.183560340437118,0,0,0.068202825029346,0,0,0,0,0,0,0.114647271056749,0,0.0699082787676482,0,0.046224156393167,0,0,0,0.0991090646460556,0,0.105971977309667,0,0,0,0,0,0,0.0153613043551091,0,0,0,0,0.0164462655257211,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0.287682124632226,0,0,0,0,0,0,0,0.032874206974081,0,0,0,0,0,0,-0.0244385508859915,-0.0576758806343924,0,-0.00315393763914788,0,0,0,0,-0.0174697167434548,0.192316199356325,0,0,0,0,0,0,0,0,0,0,0.0328219981875412,0,0,0,-0.0145855562481464,-0.067377411874901,0,0,0,0,0.0402672142028701,0,0,0,0,0.0451616189678837,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0.345526508381154,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104767494894516,0,0,0,0,0,0,0,0,0,0.0156548276851052,0,0,0,0,0,0,0,0,0,0,0,0,0.0151073065436104,0,0,0.424013525986919,0.00382933568210625,0,0,-0.00240843838732842,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0.622836162418775,0,0,0,0,0,0,0,0,0.000799089223609981,0,0,0.0196581337905455,0,0,0,0,0,0,0,0,0,0.0851204322191783,0,0,0,0,0,0,0.129380278043848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
