,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X002475.SZ,X003816.SZ,X300124.SZ,X600104.SH,X000625.SZ,X002304.SZ,X002371.SZ,X000725.SZ,X000338.SZ,X000063.SZ,X000596.SZ,X600031.SH,X000100.SZ,X300014.SZ,X600089.SH,X002179.SZ,X000157.SZ,X600703.SH,X002236.SZ,X002241.SZ,X002463.SZ,X002049.SZ,X000977.SZ,X600372.SH,X600741.SH,X002129.SZ,X000661.SZ,X600522.SH,X600584.SH,X002028.SZ,X601877.SH,X601799.SH,X600066.SH,X600183.SH,X000800.SZ,X000921.SZ,X002156.SZ,X002007.SZ,X600418.SH,X002180.SZ,X002074.SZ,X000988.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600089.SH,0,0,0,0,0,0,0,0,0,0.175474585681027,0,0,0,0,0.101546693158365,0,0,0.0976796948890146,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118198577269549,0,0,0,0.0354358880657281,0,0,0.156577105455971,0,0,-0.0949859515651824,0,0,-0.0327635703907439,0,-0.00477626293620564,0,0.00865911892148769,0,0,-0.00828079270295345,0,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0.0364196152149814,0,0,0,0,0,0,0,0,0,0,0,0,0.0892920818055664,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.298880287841181,0,0,0,0.112970601859946,0,0,0,0,0,0,0,0,0,0,0.143056219054156,0,0,0,0,-0.0045082847059647,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225314638457013,0,0.0451905101786353,0,0,-0.00921521788039056,0,0,0,0,0,0,0,0,0.113845787051319,0,0,0,0,0,0,0,0,0,0,-0.0610690239865639,0,0.187451279660169,-0.0222814654970452,0,0,-0.00634931303665004,0,0,0,-0.0421257131763285,0.0301686860945527,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181062630917426,0,0,0,0,0,0,0,0,0,0,0,0,0.151542846301141,0,0,0,0,0,0,0,0,0,0,0.222193859895612,0,0.100596423940138,0,0,0.0807519371601988,0,0,0,0,0,0.0155163588163127,0.0195371887679017,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41896280947178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169333124148932,0,0,0,0,-0.00318262995204116,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0.42071260249778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374573905957187,0,0,0.251706081312638,0,0,0,0,0,0,0,0,0,0,0,0,0.118254377968888,0,-0.0176936684235603,-0.0022316780232953,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,-0.153783159159395,0,0,0,0,0,0,0,-0.334927631528742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772406255116175,0,0,0.195000981959336,0,0,0,0,0,0,0,0,0,0,0.362528972143422,0,0,0,0,0.520030154482512,0,0,0,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140899988095528,0,0,0,0,0,0.00574106514999715,0,0,0,0,0,0,0,0,0,0.208256236141575,0,0,0.0463091565618962,0,0,0,0,0,0,0,0,0,0.0692007678000506,0.0757064372274615,0,0,0,-0.0111730989199296,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213256650033936,0,0,0,0,0,0,0,0.206180824746663,0.179557193294019,0,0.0420375545245604,0,0,0,0,0.124811208680994,0,0,0,0,0,0,0,0,0,0.171791611415211,0,0,0,0,0,0.192251079674438,0,0,-0.00120393891550518,0,0,0,0,0,0
X600372.SH,0,0,0,0,0.0521653648643241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154598177946848,0,0,0,0,0,0,0,0,0.0713388640515513,0,0,0.100793985007159,0,0.122423831826108,0.239201473780845,0,0,0,0,0,0,0,0,0,0.0496428624310662,0,0,0,0,0,-0.0158176666474951,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0.0122163777839625,0,0,0,0,0.0432768089572805,0,0,0,0,0.106625208614916,0,0,0,0,0,0.056203985700584,0,0,0,0,0,0,0.0252577635803456,0,0,0,0,0.00613840945328406,0,0,0,0,0.0601980701174374,0,0,0.0182678405676315,-0.0582983423204377,0.0297167652364379,0.0400941003630986,0,0,0,0,0,0.0208573770214245,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,-0.163596926582389,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296837083716373,0,0,0,0,0,0,0,0.303705572646015,0,0,0,0,0,0,0,0,0.315966273396406,0,0.0832278330354489,0,0,-0.0230538551622157,0.150194264106661,0,0.0837506438464935,0,0,0,0,0,-0.0345599106339906,0,0,0,0,0,0
X000661.SZ,0,0,0,0.208238129172479,0.266190305742813,0,0,0,0,0,0,0,0,0,0,0,0,0.0261937460353554,0,0,0,0,0,0,0,0,0,0,0,0,0.0233713824981154,0,0,0.0494416031118493,0,0,0,0,0,-0.0339546562135214,0,0,0,0,0,-1.35525271560688e-20,0,0,0,0.173129253301858,0,-0.00654251961806863,0,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231241341090519,0.0372168485062232,0,0,0.0382618976496297,0,0,0,0,0,0,0,0,0,0,0,0,0.0524931147670417,0.112878378578052,0.253461418053274,0.27138394361346,0,0,0.0112097107428794,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.128894359634668,0,0,0,-0.237978328325655,0,0,0,0,0,0,0,0,0,0.496420093628291,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283569653389256,0,0.144670243833832,0,0,0.0339010483900233,0,-0.0320398149043422,-0.00296385497793031,0,0,0,0,0,0
X002028.SZ,0,0,-0.199382404619954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244384250773229,0,0,-0.0259057571669683,0,0,0,0,-0.130574926141625,0,0,0,0,0,0,0.0997413034184359,0.0431025492338422,0,0.114607954593664,0,0,0.094714576362177,0,-0.0679185419440359,0,0,-0.103979601940938,0.147677689559447,0.00396225069816448,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037461342674374,0,0,0,0.0433911282411891,0,0,0,0.141539615736067,0,0,0,0.0878902444686264,0,0,0,0,0,0,0,0.0813562105494471,0,0,0,0,0,0.0338772162053814,0,0.00559539890815744,0,0,0.024537723406031,0,0,0,0,0,0
X601799.SH,0,0,0,0,0,0,0,0.0148488659466588,0,0,0,0,0.0552005642322312,0,0,0,0,0,0,0,0,0,0,0.05057716013933,0,0,0.169846932566887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139512031905069,0,0,0.0137419174510549,0,0,0,0,-0.0991902757402915,0,0,-0.0182928511830183,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,0,0,0,0.0538956063400663,0,0,0,0,0.0640943112198221,0,0.141513166304605,0,0.0454569331322223,0,0.200615615898011,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0302834711070233,0,0,0,0.068794511034289,0,0.155452119626422,0,0,0.204398885444694,-0.216849427304317,0,0,0,-0.0246218050764826,0,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0,0,0.20200669829392,0,0,0,0.0526607014324268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2574519842116,0,0,0,0.106426360211911,0,0,0.0220303699859813,0,0,0,0,0,0,0,0.208056425011125,0,0,0,0,0,0,0,0.0194395764084401,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0.0550581256293772,0,0,0,0,0,0,0.0214989031551586,0,0,0,0.0383401034351139,0,0,0,0.11571397695067,0,-0.0777462202276987,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191282055953058,0,0,-0.0458727523021592,0,0,0,0,0,0,0.221017129727555,0.0591637534191381,0,0,0,-0.018981318839654,0.0547881733114518,0,0,0,0,0,0
X000921.SZ,0,0,0,-0.0482442364880744,0,-0.0306479753233677,0,0.502929899621505,0,0.0409992487731724,0,0,0,0,0,0,0,0.0259048971522371,0,0,0,0,0,0,0.0790186567300326,0,-0.0975293997766389,0,0.100499551149778,0,0,0,0,0,0,0.0194950684337403,0,0,0,0,0,0,0,0,0,0,0.0172089444358783,0,0,0,0,2.16840434497101e-19,-0.00634322468733017,0,0,0,0,0,0
X002156.SZ,0,0,0,0,0,0,0,0,0.367761791196343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40488966710556,0,0,0,0,0.00187451000598879,0,0,0.153125873147263,0,0,0,0,0.131602650626747,-0.107149879687109,0,0,0,0,0,0,0,0,0,0.00863623480286586,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0548393945819182,0,0,0,0,0.0440248223499914,0,0,0,0,0,0,0,0,0,0.00945245112312278,0,0,0.0891051306784924,0,0,0,0,0,0,0,0,0,0,0.0620859984538847,0,0,0,0,0.0460590051826139,0,0,0,0,0.034951157474019,0,0,0,0,0,0,0
X600418.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.403198700827513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0782428810972677,0,0,0.066274903544617,0,0,0,0,0,0,0,0,0,0.01999176990361,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0
X002180.SZ,0,0,0.276009094364951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113337752552563,0,0.431413444108573,0,0,0,0,0,0.0617688857689359,0,0,0,0,0,0,0,0,0,0,0.0430274510852219,0,0,0,0,0.00117974699763516,0,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,-0.108224773169132,0,0,0,0.0831499400938852,0,0,0,0,0,0,0,0,0.554950563006325,0,0,0,0,-0.00179259390793743,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023064813792524,0.0866669743531065,0,0,0,0,0.0377091732101155,0,0,0,0,0.0141176596740941,0,0.0985557768150201,0,0,0,0,0
X000988.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.000900140965423336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0844463864204493,0,0.13734035291185,0,0,0,0,0.201898566193684,0,0,0,0,0,0.264248666990115,0,0,0,0,0.0758286842499244,0.0629130534124568,0,0,0,0,-0.0116176454356787,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0.0258591705663031,0,0,0,0,0.214403074394698,0,0,0,0,0,0.223469219713424,0,0,0,0,0,0,-0.213180971113316,0.100428915081397,0,0,0,0,-0.025965274081085,-0.367184489936884,0,0,0,0,0,0,0,0,0,0,0,-0.00392177715020424,-0.0992053276434692,0,0,0,0.179279675509367,-0.249505430543708,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0837716683988061,0,0,-0.142867106231103,0,0,0,-0.249063789784914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247612663682138,0,0,1.39954788267282,0,1.26504740881241,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,-0.2157750842377,0,0,0,0,0,0,0,0.114698044626637,0,0,0,0,0,0.00221469903324831,0,0,0,0,0,0,0.369879008513437,0,0,0,0,0,-0.360402772628942,0,0,0,0,0,0,0,0,0,0,-0.386615284644193,0.791510494021246,0,0,0,0,0,0,0
RealEstate_excess,0,0,-0.14603189645964,0,0,0,-0.114239113568622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.296074751244395,0,0,-1.73472347597681e-18,-0.143486456800433,0,0,0,0,0,0,0,0,0,0,0.126837178250994,0,0,0,0,0,0,0,0,-0.0877334733648167,0,0,0,-0.00390714321310902,0,0.647907101848353,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,-0.109797568167844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465051091202986,0,0,-0.0225318989399187,0,0,0,0,0,0,0,0,0,0,0,-0.0224173492183358,0,0,0,0,0,0.0856580263698186,-0.0060823697017475,0,-0.133366949209363,0,0,0.00906823049511491,0.0742078433268634,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000308700209332304,0,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.21300842220545e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143256720906641,0.00145126664510702,-0.000420296081535689,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00574219575029686,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00386440544156689,-0.00114558050985332,0,0,0,0,0,0
