,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X003816.SZ,X600031.SH,X000725.SZ,X002304.SZ,X000568.SZ,X000661.SZ,X000338.SZ,X600690.SH,X600703.SH,X600809.SH,X300003.SZ,X600741.SH,X002007.SZ,X600183.SH,X000100.SZ,X002371.SZ,X000977.SZ,X000596.SZ,X002241.SZ,X300014.SZ,X601877.SH,X000625.SZ,X002236.SZ,X300142.SZ,X000157.SZ,X002463.SZ,X300124.SZ,X600498.SH,X002129.SZ,X002456.SZ,X600271.SH,X000066.SZ,X002223.SZ,X002179.SZ,X300136.SZ,X600487.SH,X600584.SH,X600118.SH,X600522.SH,X002414.SZ,X600177.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600271.SH,0,0,0,0,0,0,0,0,0,0.0562466208100947,0,0.0428618097095307,-1.73472347597681e-18,0.00797342294025209,0.0650624254635843,0,0,0.0596297941636171,0,0,0,0,0.0418372342361287,0.0843932603817262,0,0.0362757859068883,0,0,0,0,0,0.0207344934805595,0.286147104948029,0,0,0,0,0,0,0.130688799001779,0,0,0,0.0187992211169184,0,0,0,0,0,0,0,0,-0.0132346813698872,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00414038337373741,0,0.00878965073347354,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.00834006121921831,0,0,0,0,0,0.538385515265716,0.0344283619542326,0,0,0,0,0.300396617149299,0,0.0832759741085926,0,0,0,0,0,0,0
X002223.SZ,0,0,0,0,0,-0.349532737920347,0.205131947370538,0,0,0,0,0,0,0,0,0,0,0,0.0512715695910649,0,0.244956292330777,0,0,0,0,0,0,0,0,-0.120557039549676,0,0,0,0,-0.0161129523991556,0,0,0.0702301552758536,0,6.93889390390723e-18,0,0,0,0,0,0,-0.0395906353868949,0.266800077891192,0,-0.116829405152546,0,3.46944695195361e-18,0.013989075001133,0,0,0,0.161004762078633,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0253611077518609,0.0506163597646006,0.0513231019600166,0,0,0,0,0,0,0,0.0515720186307501,0,0.111208019051537,0,0,0,0,0,0.101221992866837,0.119324380138867,0,0,0,0,0,0,0,-0.0403037266573621,0.017844881839327,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0,0.0864370644748001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148724703845222,0,0.0391279216079232,0,0,0,0.0471307738839994,0,0.158085115997278,0,0,0,0,0,0,0,0.197602981986893,0,0,0,0,0,0,0,0.0802769453241607,0,0,0,0,0,0.0348430339438805,0.00532766429162369,0,0,0,0,0,0
X600487.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133346527108957,0,0,0,-3.46944695195361e-18,0,0.107652432163888,0.00580578186216983,0,0,0.0181073045649462,0,0,0,0,0,0,0.696400549249392,0,0,0,0,-0.0261343286571918,0.0634760645607799,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,-0.0136615290886257,0,0,0,0,0,0.604064225362628,0,0,0,0,0,0,0.0442003818729833,0,0,0,0,0,0,0,0,0,0.0849370238233363,0,0,0,6.93889390390723e-18,0,0.0959827415715542,0,0,0,0,0,0,0,0,0,0,0,-0.0881551408883556,0.0420978756873154,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269267820987648,0,0,0,0,0,0,0.365728357526095,0,0.0539254616746092,0,0,0,0,0.254803070274887,0,0,0,0,0,0,0,-0.00318557055360679,0,0.119738908715784,0,0,0.182867287823434,0,0,0,0,0,0,0,0,0,0,-0.107332892025985,0.030221142430511,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0.0331045471128661,0,0,0,0,0,0,0,0,0,0,0.156003637721989,0,0,0,0.057319990999099,0,0.0418563885617388,0,0.00881333883035393,0,0,0,0,0,0,0.100423950834864,0.051924976936029,0,0.0268462750931314,0,0,0,0.364371640206906,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.128521025991356,0,0,0,0,0,0,0,0.517520018557379,0.044924750597553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150729342973779,0,0,0,0,0,0,0,0,0,0,0,-0.0185574654639344,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0681158985298511,0.0508101182504952,0.0495375942192679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00238885952721719,0.178382382230023,0,4.33680868994202e-19,0,0,0,0,0,0,0,-0.0129260590592844,0,0,0.127800803528484,0,0,0,0,0,0,0,0.00477172780714508,0,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0.0627739893738411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26140395349342,0.119134112755251,0.0447759673295605,0.0889006289799018,0,0,0,0,0.0990975388668025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156696287007399,0,0,0,0,0,0,0,0.0105901575688818,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0.354277896443549,0,0,0,-0.144123238263749,0,0,0,0,0,0,0,0,0,0,0,0.0939376743933755,0,0,-0.0748573822487014,0,0,0,0,0,0,-0.311629018486706,0,0,-0.496534429672704,0.0177614273644855,0,0.161027821584579,0,0,2.71050543121376e-20,0,0,0,0.0676153278784884,0,0,0,0,0,0,0,-0.0232877666263903,0,0.363895943508806,0,0,0,0
Slope,0,0,0,0,0,0,0,-0.147826884026596,0.412369488606018,0,0,0,0,0.193179379261172,0,0,0,0,0,0,0,0,0,0,-0.197952674871456,0.143727317641421,0,0,0,0,0,0,0,0,0,0,-0.0426724272996331,0,0,0.295544202082054,0,0,0,0,0,-0.350260786642555,0,0.128034101784346,0,0,0,0,0.429616842931627,0,0.218282147193127,0,-0.973143749175063,0,0
TED,0,0,0,0,0,0,0,0.283987001046431,0,0,0,0,0,0,0,0,0,0,-0.497415651745682,0,0,0.506901027826718,0,0,0.705948611834655,0.00564248199222119,0,0,0,-0.686412610448148,0,0,0,0,0,-0.0176909655241855,0,0,0,0,0,0,0,0.427953375873783,0,0.0437604752025474,-0.84043171329974,0.821101783834249,0,-0.0544482769319284,0,0,0,0,0,0,1.16207521974082,0,0
RealEstate_excess,0,0,0,0,0,0,-0.0474810732657026,0,0,0,0,0,0,0,-0.00574571489586804,-0.0427252079923131,0,0.097988174757072,0,0,0,0,0,0,0,0,0.0176768296340416,-0.0241287812623448,0,-0.00221879217732008,0,0,0,0,0,-0.0132980460807626,0,0,0,-8.67361737988404e-19,0,0,0,0.0299975922579862,0,-0.0488811035781548,0.0389153355508097,-0.0846098237985193,0,0,0.0302586485828314,0.00531134002707303,0.0170463345159317,0,0,0,-0.0037026321588418,0,0
