,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X600031.SH,X003816.SZ,X002304.SZ,X000725.SZ,X000661.SZ,X000568.SZ,X000338.SZ,X600690.SH,X600809.SH,X600703.SH,X002007.SZ,X300003.SZ,X600183.SH,X000596.SZ,X002371.SZ,X300142.SZ,X600741.SH,X300014.SZ,X000100.SZ,X002241.SZ,X000977.SZ,X300124.SZ,X601877.SH,X002236.SZ,X000157.SZ,X000800.SZ,X002463.SZ,X000625.SZ,X002129.SZ,X002179.SZ,X002456.SZ,X600498.SH,X600118.SH,X300136.SZ,X002414.SZ,X002223.SZ,X600584.SH,X600271.SH,X000066.SZ,X002049.SZ,X600522.SH,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000596.SZ,0,0.144971346745794,0,0,0,0.00759059484012409,0.273632262939822,0,0,0,0,0,0,0.304731310915687,0,0,0,0,0,0,0,0,-0.0724193201847201,0,0,0.15675586205814,0,0,0,0,0,0,0,0,0,0.00459975064009224,0.0368012600827422,0,0,-0.015473513047941,0,0,0,0.049534950912589,0,0,0,0,0,0,0,0.028798264359641,-0.00422238681751487,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0.0152299135307876,0,0,0,0,0,0,0,0,0,0,0,0.244285905007183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0461473642158879,0,0,0,0.306887409064435,0,0,0,0,0.109213599018276,0,0,0,0,0,0,0,0,0,0.0451262246909834,0.0306506587559483,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,-0.00956882914266857,0,0,0,0,0,0.0180676536991306,0.0234280693807636,0.15180900792655,0,0,0.160930591121782,0,0.125399597525245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132652531990026,0,0,0,0,0,0,0.152592408616941,0,0.017780849238636,0,0,0.0114493647910107,-0.0443091766084096,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0.225515191624951,0.219843844218272,0,0,0,0,0,0,0,0,0,0,0.0361665581959042,0,0,0,0,0,0,0,0.0636419418625218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250641647718385,0,0,0,0.135590028184602,0,0,0.016119402118442,-4.33680868994202e-19,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0.181228130979033,0.0773076585197653,0,0,0,0,0,0,0.170322055682522,0,0,0,0,0,0,0,0,0,0.0568681679244361,0,0,0,0,0.225614550736037,0.0645263014326524,0,0,0,0,0,0,0,0,0,0,0,0.354663283609914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0.109561645990346,0,0,0,0.130147451119319,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129966180074827,0,0.116874934111882,0,0,0,0,0,0,0,0,0.0994197947045103,0,0.0524566136612666,0,0.00962351712259042,0,0,0,0.103174258630706,0,0,0,0,0,0,0.0233648633314258,0.00443472743600398,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0.188007762585148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0799340374500958,0,0,0,0.088413143350486,0,0.120899661555177,0,0,0,0,0,0.0833895893467931,0,0,0,0,0,0,0,0,0,0.319481321368712,0,-0.0216807553836772,0.140911645827184,0,0,0,0,0,0,0,-0.00367594546449115,0,0,0,0,0,0
X000977.SZ,0,0.513207108486212,0,0,0,0,0.0544892865329948,0,0,0,0,0,0,0,0,0,0,0,0.163510412021373,0,0,0,0.108150006617536,0,0,0,0.0630610287285385,0,0,0,0,0,0,0,0,0,0,0,0.0156148133300792,0,0,0,0,0,0.207501966634212,0,0,0,0,0,-0.260200855884761,0,0.0209780833374701,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0.150606453103749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218980948613586,0,0,0,0,0,0,0,0,0,0,0,0.0857515596860507,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.00997745790997507,-0.00988908813293457,0,0,0,0,0,0
X601877.SH,0,0,0,0.322788004832149,0,0,0,0,0,0,0,0,0.0320561376548428,0,0,0,0.0935328544313627,0.0151282047231064,0,0,0,0,0,0,0,0.122522670589036,0.0929931817941133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0869174407695522,0,0,0,0,0,0,0,0.0114941675205569,0.00972216067779734,0,0,0,0,0,0
