,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600066.SH,X600271.SH,X600741.SH,X002241.SZ,X000100.SZ,X002236.SZ,X002292.SZ,X600031.SH,X600177.SH,X600118.SH,X002475.SZ,X002506.SZ,X000568.SZ,X000559.SZ,X600372.SH,X000157.SZ,X000338.SZ,X300003.SZ,X002085.SZ,X300124.SZ,X002074.SZ,X002007.SZ,X600867.SH,X000869.SZ,X600089.SH,X002294.SZ,X002426.SZ,X002180.SZ,X002456.SZ,X000050.SZ,X002508.SZ,X000981.SZ,X002465.SZ,X600498.SH,X601877.SH,X002179.SZ,X600060.SH,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600741.SH,0,0,0,0,0,0,0,0,0,0.016172723794461,0.130685818970296,0,0,0.0262025740702828,0,0,0,0,0,0.0882051201105152,0,0.0732573565408883,0,-8.67361737988404e-19,0,0.00469563246559743,0,0,0.00128263715188253,0,0,0,0,0.0823935179634331,0,0,0,0,0,0,0,0.167352355807799,0,0,0,0,0,0,0.00498646259977212,0,0,0,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217580403671177,0,0,0,0,0.150034366965992,0,0,0,0,0,0.0632618142449915,0,0.16968261977382,0.127998098236368,0.109121004602884,0,0,0,0,0.0956952829354582,0,0,0.134453741016107,0,0,0.148290176778686,0,0,0,0,0,0,0.0148157993034299,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0199790993554386,0.107898634456603,0,0.0578015619503522,0,0,0,0,0,0,0,0.0510414663635683,0,0,0,0,0,0,0.215125127969011,0,0,0,0,0.0915045373654552,0,0.0411520931637053,0,0,0,0.00489515962906283,-0.0115046594814477,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145866355022301,0,0,0,0,0,0,0,0.107248755094337,0.0718587193503621,0.0306084037734167,0,0,0,0.0751676336055116,0,0,0,0,0,0,0,0,0.245934905192178,0,0.18088671793041,0,0,0,0.0957879481017025,0,0,0,0,0.0589048482152899,0,0,0,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0,0,0.275596121205355,0,0,0,0,0,0,0,0.313764238877648,0,0,0,0,0,0.0538906122546247,0,0,0,0,0,0,0,0,0,0,0.156018175024432,0,0.235891472868589,0,0,0,0,-0.0509429684033225,0,0.166865898759389,0,0.0377047075321557,0.211244460906058,0,-8.67361737988404e-19,0,-0.0286835277054825,0,0,0.0135411569229211,0.0275464606300091,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0.197007610684326,0,0.0906381906171614,0,0,0,0.199207177229363,0,0,0,0,0.000159347059184948,0,0.0291449135242864,0,0,1.0842021724855e-19,0,0,0.0902704474090234,0.354603905504516,0.151038746977058,0,0,0,0.0292193427635456,0,0,0,0,0,0,0,0,0,0,0.0802142866216783,0,0,0,0,0.00058277775639502,0,0,0.0256654853929322,0,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0.0406780209259998,0.0434143931405708,0,0,0,0,0,0,0,0,0,0,0,0.224503038731366,0,0,0,0.0849782194999536,0,0,0,0,0,0,0.0255844439285412,0.0265138096922137,0,0,0.308049160163356,0,0,0,0,0,0,0,0,0,0,0.00437548557023116,0.0693977443429189,0,0,0,0,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142672250135293,0.0394527298905794,0,0,0,0.0453186648131302,0,0.166743939920114,0.0567984261490638,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.11186112399629,0,0,0.00423861289190672,0.228579302638537,0,0,0.199265977718769,0,0.0500864170407092,0,0.024896265589354,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.00411717226441476,0,0,0,0,0,0,0,0,0.063080772187897,0,0,0,0,0.0991628148018773,0,0.210265002495461,0,0,0,0,0,0,0,0.236394377580214,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0673898212600946,0,0,0,-0.0423765811350949,0,0,0,0,0,0,0
X002506.SZ,0,0,0,0,0,0,0,0.151752552603437,0.0282237179627603,0.0459443896961419,0,0,0,0,0,0,0,0,0.0470924731734295,0,0,0,0,0,0,0.122333242094841,-0.0496633589757544,0,0,0,0,0.0165361886349561,0,0,0,0,0,0,0,0,0,0,0,0,0.458748021077658,0,0.10131123876159,0,0,0,0,-0.0228765180451602,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0.00354646928635415,0,0,0,0,0,0,0,0,0,0.0619095744620857,0,0,0,0,0.0734021130542352,0.101852465161492,0,0,0,0,0,0,0,0,0,0,-0.0439613427174206,0,0,0,0,0,0,0,0.213426126333068,0,-0.0610272941418098,0,0,0,0,0.0970587408816847,0.0559001783781853,0,0,0,-0.035179101729176,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544263028061447,0,0.287470983500606,0,0.0167268142809579,0,0.0168515923128486,0.134627436860115,0.0707752109296921,0,0,0,0,0,0,0,0.205856887228361,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0238556233218215,0,0,0,0,0,0.174852279772292,0,0,0,0,-0.00631477909562256,0,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0131405755432884,-2.77555756156289e-17,0,0.259520541490629,0,0,0.0843170255282611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.531961010872111,0,-0.0670493784066188,0.109292949077714,0,0.0225603753496702,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0.130633266917914,0,0,0.11308863761455,0,0,-0.00824677824628257,0,0,0,0,0.070482052157508,0,0.0210180319419184,0,0,0.0853278229580705,0,0,0,0,0.0688235878252973,0,0,0,0,0,0,0,0,0,0,0,0.100397322345242,0.016867368374718,0,0,0,0,0.117220085097307,0,0.0125602260276081,0,0,0.0106852050368265,0,0,0,0,0,0,0
