,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X300124.SZ,X002304.SZ,X000725.SZ,X000338.SZ,X000625.SZ,X002371.SZ,X000596.SZ,X600031.SH,X000063.SZ,X000100.SZ,X600089.SH,X002179.SZ,X300014.SZ,X000157.SZ,X600703.SH,X002236.SZ,X002241.SZ,X600372.SH,X600741.SH,X000661.SZ,X002129.SZ,X002028.SZ,X002049.SZ,X002463.SZ,X000977.SZ,X600584.SH,X601877.SH,X600522.SH,X601799.SH,X600066.SH,X000921.SZ,X000800.SZ,X002223.SZ,X600183.SH,X002007.SZ,X600177.SH,X002294.SZ,X002074.SZ,X600060.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0.108487995612229,0,0,0,0.0147457955775366,0,0,0,0.339225562549716,0,0,0,0,0,0,0,0,0,0,0,0.117083987019243,0,0.0316557400924729,-0.123579783831954,0,0,0,0,0,0,0,0,0,0.254095630073317,0,0,0,0,0,0,0.0161315175087556,0,0,0,0,0,0,0
X000596.SZ,0,0,0,0.416527544479328,0,0.149636510895751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042969289936747,0,0,0,0,0,0.295650188693704,0,-0.000522796563466564,0,0,0,0,0,0.0838398431395012,0,0,0,0,0.0203472826100388,0,0.00777256688633226,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0.0844221667665463,0,0,0,0,0,0.141409593796725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043551863278123,0,0,0.0221046372219309,0.0375052200302837,0.0374466907655162,0,0,0.00316034418101232,0,0.0296702989919512,0.045338732180593,0,0,0,0,0,0,0,0,0,0,0,0,-0.019048813639631,0.0261005429499846,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.0235007752261325,0,0,0,0,0,0,0,0.161759074240924,0,0,0,0,0,0,0,0,0,0,0,0.0519041244866063,0,0,0,0,0.273319248896194,0,0.14551388148679,0,0,0.0858256468947277,0,-0.0440974957539192,0,0,0,0,0,0,0,0.0580072857206166,0.124151113656109,0,-0.0231061588712725,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0.178995905472175,0,0,0,0,0,0,0,0.144824821491936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515642124858798,0,0,0,0.111405820176778,0,0,0.0265307596907935,0,0,0,0,0,0.12059005445681,0,0,0,0.0132564305884239,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0.0549789379071642,0,0,0,0.00739071799608444,0.0328118167750819,0,0,0.229972793950749,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0316831287879306,0,0,0,0,0.148058045989296,0,0,0,0.0125372538821081,0,0,0,0,0,0,0,0,0,0.0413270491836566,-0.0290375345241987,0,0,0,0,0,0
X002179.SZ,0,0,0.178533826048604,0,0,0,0,-0.427460551396052,0,0,0,-0.157760174231852,0,0,0,0.283502946685865,0,0,0,0,0,0,0,0,0.064017519877942,0,0,0.0226447908373786,0,0,0,0.0708132180568015,0,0,-0.25238409186143,0,0,0,0,0.198552067954766,0,0,0.110305116981327,0,0,0,0,0,0,0.225215565738895,0,-0.0215806850927275,0.0473155977389046,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.048975320975698,0,0,0,-0.0560746727465155,0,0,0,0,0,0,0,0,0,0,0.205499038822428,0,0,0,0.185552431075353,0,0,0,0,0,0,0.161867522748186,0,0,0,0,0,0,0,0,0,0.143780852934549,0,0,-0.0156487995796511,0.00516915437598239,0.10225612292429,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027123128288154,0,0,0.0533577577551075,0,0,0,0,0,0.262051837090255,0,0.0498345858962523,0,0,0,0,0,0,0,0,0,-0.0266869087557689,0.15636752931544,0,0,0,0,0,-0.022644085677793,0,0.0345188692509641,0,-0.00768124859957859,0.00929657339917147,-0.0967181872535219,0,0,0,0,0
X600703.SH,0,0,0,0,0,0.0839621312235639,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.165108721044546,0.00574348373379384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134380407262656,0,0.112330890696222,0,0,0,0,0,0.0479621863410305,0,0.387678470814593,0,0,0,0,-0.115293271984894,0,-0.0858176859381809,-0.039479885608577,0,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0.044513893186005,0,0,0,0,0,0.304286856473129,0,0.211641372041855,0,0,0,0.0648088877693244,0,0,0,0,0,0,0,0.132399859536835,0,0,0,0,0,0,0.057568896024167,0.0962844198681746,0,0,0,0.11577229883059,0,0,0,0,0,0,0,0,0,0.120670446822763,0,0.000165015593978008,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0.395952220253475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016351154325462,0,0,0,0.040620276959109,0.0650738205957448,0.0485513681283494,0,0,0,0,0,0,0,0.0697351878256717,0,0,0,0,0,0,-0.0362012343975667,0,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0980844772568688,0,0,0,0,0,0,0,0,0.0661618748393582,0,0,0,0.114406597958338,0.135318800257013,0,0,0,0,0,-0.000255968920414664,0,0,0,0,0,0,0,0,-0.0127098961480522,-0.030878214938136,0,0,0,0,0,0
