,X600519.SH,X600104.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X000100.SZ,X600031.SH,X600372.SH,X600271.SH,X000157.SZ,X000338.SZ,X000559.SZ,X002241.SZ,X002292.SZ,X600066.SH,X002129.SZ,X600089.SH,X600741.SH,X002475.SZ,X002236.SZ,X601877.SH,X600839.SH,X000547.SZ,X600177.SH,X300124.SZ,X002465.SZ,X000568.SZ,X600435.SH,X000016.SZ,X600582.SH,X300003.SZ,X000800.SZ,X002294.SZ,X600252.SH,X002456.SZ,X000977.SZ,X002276.SZ,X002179.SZ,X002008.SZ,X000066.SZ,X002242.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600741.SH,0,0,0,0,0,0,0,0.208314456575088,0,0,0,0,0,0.0510669748052184,0,0,0,0.21158997702289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00775034299675842,0,0,0,0,0,0,0.222264087977416,0.020491354690264,0,0,0,0,0,0,0,0,0,-4.59121694543604e-06,0,0,0,0,0,0,0
X002475.SZ,0,0,0.181402035816139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239641067959102,0,0.151675925410201,0,0,0.119140255146649,0,0,0,0,0,0,0,0,0,0.125947058944827,0,0,0,0,0,0,0.0478280744529001,0,0,0,0,0,-0.0654535574522624,0,0,0,0,0.00150797457069772,0,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0.0734693854903592,0,0,0,0,0,0,0,0,0.188425554004942,0,0,0.0280843557077784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606345595815738,0.229327061867466,0.0211217760922395,0,0.117469548003844,0,0,0,0,0,0,0.0428598583645365,0,0.00950552916268508,0,0,0,0,0,0,0
X601877.SH,0,0,0,0,-0.000224083226563888,0,0,0,0,0,0,0,0,0,-0.000650450046144845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000147833379083363,0,0,0,0,0.000424829582231182,0,-0.000140019160652898,-1.39968536091607e-05,0,0,0,0.000575915413648939,0,0
X600839.SH,0,0,0,0,0,0,0,0,-0.0930032146913719,0,0,0.221661018147173,8.67361737988404e-19,0,0,0,0,0,0,0.0439298422822882,0,0,0,0,0,0,0.0411841678064264,0,0,0,0.186416585305124,0.16754170262732,0,0,0,0,0,0.106569724225312,0.108554484972699,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.103238169862955,-0.116007131453182,0,0,0,0,0,0
X000547.SZ,0,0,-0.0312249373513579,0,0,0,0,0,0,0,0,0,0,0,0,0.205999828172889,0,0,0,0.126865019039104,0,0,0,0,0,0,0,0,0,0.0474665888603582,0,0,0,0,0,0,0,0.0923001890452171,0,0,0,0,0,0.189582162142439,0,0,0,0,0,0,-0.0353890142362442,0,0,0,0,0,0,0
X600177.SH,0,0,0,0,0.0825544471223976,0,0,0.0827989169986682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245406590774771,0,0.027656262722233,0,0,0,0,0,0,0,0,0,0.369003526454143,0,0,0,0,0,0,0,0,0.042170233537198,0,0,-0.0213503588611487,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0936493674178476,0,0,0,0,0,0,0,0.183755942799317,0,0,0,0,0,0,0.138076533978028,0,0,0,0,0,0,0.0556992162395544,0,0,0,0,0,0,0,0,0.12549099230005,0,0,0.153524364265915,0,0,0,0,-0.0583714106202058,0.0567099297095498,0,0,0,0,0,0
X002465.SZ,0,0,0,0,0.0175645716940928,0,0,0,0.0450584446313945,0,0,0.190733813678811,-0.0309608436953774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675651107596914,0.0316794137914238,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00915412118765895,0.233761717289859,0,0,0,0,0.00541696140971128,-0.00437860737637756,0,0,0,0,0,0
X000568.SZ,0,0,0.0444758961550048,0,0,0.336902748464055,0,0.00459590842565029,0,0,0,0,0,0,0.155987411492818,0,0,0,0,0,0,0,0,0,0,0,0,0.0365158006135404,0,0,0,0,0.0179105305785367,0,0,0,0,0,0,0,0,0,-0.0113960097411755,0,0.123450718632378,0,0,0,0.0632250633747004,0,1.73472347597681e-18,-0.0879645732617153,0,0,0,-0.0781599907897357,0,0
X600435.SH,0,0,0,0,0,0,0,0,0.071591074107989,0,0,0.458372062652372,0,0,0,0.122134716589371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00369356823937312,0.092073128213931,0,0,0.0436328113854929,0,0,0,0,0,0.0233454832430165,0,0,0,0,0,0.023487412682808,0,-0.0624400426070966,0,0,0,0,0,0,0,0,0,0
X000016.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299406953305605,0,0,0,0,0,0.0684040135477451,0,0,0,0,0,0.0739037909223808,0,0,0,0,0,0,0,-0.00372921881043671,-0.0913782245395173,-0.0931811442279959,0,0,0,0,0.0194452300624472,0.00398852871614033,0,0.0335741597407748,-0.0245333353087913,0,0,0,0.234801512389941,0,0
X600582.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0797191333566756,0,0,0,0,0.0431572182067726,0,0,0.0810041476514942,0,0,0.11376747017579,6.93889390390723e-18,0,0.0544883759207306,0.144368177861211,0,0,0,0,0,0,0,0,0.0588192533171369,0,0,-0.00726985822563013,0.153935486613416,0,0,0,0,0,0,0,-0.0188542061922238,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246040334253862,0,0,0,0,0.0523865459325753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160425024163141,0.00843346252602865,0,0,0,0,0,0.209747645546092,0,-0.0401969961817348,-0.00925868394843751,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0.0531618900803872,0,0,0,0,0,0,0,0,0,0,0.123562805512523,0,0,0.0431669060161551,0.0998011199537772,0,0,0,0,0,0.157175312150274,0.151290437741355,-0.118565879157731,0,0.118696745778136,0,0,0,0,0.136120925684491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00862586797288687,-0.00364381342903632,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0.016681503966597,0,0,0,0.234265843714465,0,0,0,0.0221357082208914,0.0887093759602018,0,0,0.0104937824600745,0,0,0,0,0,0,0,0.0506780823278302,0.0554591397380209,0,0,0,0,0,0,0,0,0,0,0,0,0.163453012589016,0,0.120761149588037,0,0,0,0,0,0,0,0,-0.00237522446956284,0,0,0,0,0,0,0
X600252.SH,0,0,0,0,0,0,0,0,0,0,0,0.0785924904138281,0,0,0,0,0.0293162113366886,0,0,0,0,0,0,0.100825915504464,0,0,0,0.209717569483661,0,0.168330901233047,0.0672236566629946,0,0,0.0155094609338545,0,0,0,0,0.0568626407094163,0.0736083417844204,0,0,0,0,0,0,0,0,0,0,0.0227354191263923,0,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,-0.0602187489455901,0,0,0,0,0,-0.110284511993313,0,0,0,-0.0182436938798131,0.200277654729531,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0872986576013185,0,0.622800857165897,0.207331547142581,0,0,0,0,0,0.0903305815513568,0,0,0,0,0,-0.125122525078305,0,0,0,0,0.00622284379495235,0,0,0.00502178391518562,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0.155587650994435,0,0,0.125270536045063,0,0,0,0,0,0,0,0.165625896187668,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224418422190663,0,0,0,0.0225430398014835,0,0,0,0.0515345468874428,0,0,0,0.034303291599971,0,0,0,0,-0.00354994888255305,0,0,0,0,0,0,0
X002276.SZ,0,0,0,0,0.0646938585890715,0,0.446994159875201,0,0,0.133287821774329,0,0,-0.294216087623543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06765735580789,0,-0.110289955574582,0,0,0.0968486018208152,0,0,0,0,0,0,-0.13748869385874,0,0.316405522323848,0.119246995911343,0,0,0,0,0,0,0,-0.0277696415404375,-4.33680868994202e-19,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0.360890143148603,0,0,0,0.59554724518866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461567670924096,0.0170875575238067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206932568680421,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0,0.0320671882523471,0,0,0.0769482040030415,0,0,0,0.187092304306948,0,0,0,0.249503433769783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00361591766148021,0,0,0,0,0.0746805295366718,0,0,0,0,0,0.0539756514980861,0,0.00498929727746869,-0.000237280370546876,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0.193885504741826,0,0,0,0,-0.10857793269896,0,0,0,0,0,0,-0.128210339649837,0,0,0,0,0,0,0,0,0,-0.121631909673277,-0.0356097940867825,0,0,0,0,0,0.032490039219834,0,0,0,0,0,0,0.207887287612756,0,0,0.168269636688733,0,0,0,-0.0081146636422663,-0.0308901377713093,0,0,0,0.0842176444086602,0,0
