,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X000568.SZ,X003816.SZ,X600104.SH,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002241.SZ,X002463.SZ,X000977.SZ,X600584.SH,X600089.SH,X600703.SH,X600839.SH,X600372.SH,X000066.SZ,X000157.SZ,X002028.SZ,X002049.SZ,X002236.SZ,X600522.SH,X002456.SZ,X600741.SH,X002156.SZ,X600460.SH,X600183.SH,X600066.SH,X601877.SH,X002129.SZ,X000661.SZ,X002085.SZ,X600487.SH,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300014.SZ,0,0,0,0,0,0,0.144480366936804,0,0,0,0,0,0,0.248472964143833,0,0,0,0,0,0.00638372380136206,0,0,0,0,0,0.0208648782869786,0.25896718327819,0,0,0,-0.0148711158408394,0,0.119772441301177,0,0,0,0,0.0428584732183451,-8.67361737988404e-19,0,0,0,0,0,0,0.0817887537302318,0,0.0397173002880221,0,0.649200445227731,0,0.057665737855515,0,0,0,0,0.0212818431819271,0,0
X000100.SZ,0,0.00702847740389575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176132645193303,0,0.232335046933936,0,0,0,0,0,0,0,0,0,0.0905935274904288,0,0,0,0,0,0,0,0,0,0,-0.0254963543263413,0.137782740561967,0,0,0,0,0.0549201737114723,0,0,0,-0.0065799201654145,0,0,0,0,0,0,0
X002179.SZ,0,0.0421215609824954,0,0.0396895426601408,0,0,0,0,0,0,0,0,0,0.233098106652141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112586516409471,0.0776746644115385,0,0,0,0,0,0.0516683406198974,0,0,0,0,0,0,0,-0.00225327227186554,0.0260298495382143,0.186435385617855,0,0,0,0,0,0,0,0.0151464309039888,0,0
X600418.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0502070050408638,0,0,0,0,0,0,0,0,-0.217375729526628,0,0,0,0,0,0,0,0,0.540862599299408,0.145521668906903,0,0,0,0,0,0.259806186033484,0.119327009572953,-0.199255909502419,0.102080578919897,-0.0558955924837249,0.072960012477211,0,0,0,0,0,0,0,0,0,0,0,0,0.045422395850271,0,0
X002241.SZ,0,0,0,0,0.296913930434159,0,0,0,0,0,0,0,0,0,0,0,0.104392348203261,0.111637742431563,0,0,0.003065942232855,0,0,0,0,0,0,0.127941543625201,0,0,0.105709326653823,0.229058968601863,0,0,0,0,0,0.00960011844415247,0.024946051359828,0,0,0,0,0,0,0,0,0.0078062351783732,0,0,0,0,0,-0.0595861835836205,0,0,0,0,0
X002463.SZ,0,0,0,0,0.200299785385123,0,0,0,0.192209154486421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0196864097115559,0,0,0.0212407255791823,0,0,0,0,0,0,0,0,0.331091910201564,0,0.0318875419324043,-0.0664063658721825,0,0,0,0.63984951440377,0,0,0,0,-0.126985062760065,0,0,0,0,-0.040521957232293,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17705485718309,0,0,0,0,0,0,0,0,0,0.114892528422658,0,0.139791559421046,0,0,0,0,0.0274255119691776,0,0.0970925697388946,0,0,0.123375557368863,0,0,0.0951791463499546,0,0,0.0404273170435476,0,0,0,0.119565780903616,0,0,0,0,0,0,0,0.0266176908510377,0.0724082499497022,0,0.093891361471168,0,0
X600584.SH,0,0,0,0,0,0,0.00341312443860704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15377969390427,0.146246424737767,0,0,0,0,0,0,0,0.0386021953514998,0,-0.249724604995964,0.162041139807404,0,0,0,0,0.124059566989653,0,0,0,0,0,0.00600254859713298,0,0,0,0,0.0223672617657255,0,-0.0771794499663436,0,0,0,0,0
X600089.SH,0,0,0,0,0,0.181691351806061,0,0,0,0,0,0.0548483497671874,0,0,0,0,0.151649090373489,0.0357364257570511,0.127316758893137,0,0.122666105839338,0,0,0,0,0,0,0,0,0,-0.0203092290145044,0,0,0.0446027547492115,0,0,0,0.119731434651687,0,0,0,-0.00545011693414065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668852725509231,0,0,0.0419526886835436,0,0,0.0856108749000042,0.148489055404457,0,0,0,0,0.0153401563439256,0,0,0.233395675969949,0,0,0,0,0,0,0,0,0,0,0,0,0.0212276217534452,0.156191731697975,0,0,0.0334354462036029,0,0,0,0,0,0
X600839.SH,0,0.0239751055474857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150911571314083,0,0,0,0,0.371691168755342,0,0,0,0,0,0,0,0,0,0,0,0.162531528024569,0,0,0,0,0,0,0.17886524559044,0,0,0,0,0,0,-0.124865445807227,0,0,0,0.114170707100778,0,0
X600372.SH,0,0,0,0,0.000989323748075585,0,0.229296988762611,0,0,0,0,0,0,0,0.0748733611012373,0,0,0,0,0,0.114706060578858,0,0,0.0122680881444328,0,0,0,0,0,0,0.0129934835384027,0,0,0,0,0,0,0,0.0380495302229563,0,0,0,0,0.128645840203328,0,0,0,0.157776530437423,0,0,0,0,0.0707111375506981,0,0,0,0.0784567198559327,0,0
X000066.SZ,-0.0542942955164353,0,0,0,0,0,0,0,0,0,0,0,0,-0.0378102085135275,0.365659528829693,0,0,0,0,0,0,0.0752575731411176,0,0,0,-0.163549296515486,0,0,0,0,0.154560460113119,0,0,0,-0.153670711007583,0,0,0,0,0.0668567556119434,0.264084770146095,-0.0810831492735154,0.302567025330938,0,0,0,0,0.126301241122093,0,0,0,0,0,0.124582993256457,0,0,0.317046630184587,0,0
X000157.SZ,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.207291047222724,0,0,0.0761295829833723,0,0,0.0829373045005381,0.351736964979935,0,0,0.0908201589119147,0,0,0,0,0,0,0,0,0,0.00777658958800997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0341197365163091,0,0
X002028.SZ,0,0.0315854740289112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520719115880174,0,0,0,0,0.100791159461072,0,0.0395972849904049,0,0,0,0,0,0,0,0,0,0,0.0482428748887241,0,0,0,0,0,0,0,0.269103822003967,0,0,0,-0.0568277306645747,0,0,0,0,0,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0.249139930748971,0,0,0,0,0.0327680763676626,0.0380689912198378,0,0,0,0,0,0,0,0,0,-0.0204511462602023,0.158931904276968,0,0.299296034496405,0,0.254692998647997,0,0,0,0,0,0,0,0,0,0,0.0219919542065428,0,0,0,0,0,0.0707997536434931,0,0,0,0,0,0,0.0590306753124973,0.00765194170200211,0,0.00828917031488176,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170038608612321,0.11603900628706,0,0.094419036837252,0,0,0,0.146333042081187,0,0,0,0.082059570980934,0,0,0,0,0,0.0356114561437483,0,0.0145988567120945,0.0249720755320732,0,0,0,0,0.0312526872870164,0,0,-0.0060787130852266,0,0,0,0,0,0,0,0,0,-0.0036011421458063,0,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326819667545947,0,0,0,0,0,0,0.0018886780074856,0,0,0,0,0.195781584695874,0,-4.33680868994202e-19,0.133846115509269,0,0,0,0,0,0,0,0,0,0.0150293442897824,0,0.0940078785868893,0,0,0,0,-0.0318080738806592,-0.165158195477956,0.0289001760724385,0,0,0,0,-0.0236401830962741,-0.0697915424774985,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296903664065606,0,0.284084986285149,0,0,0,0,0,0,0,0.326655858872727,0.228120797801442,0,0,0,0,0,0,0,-0.0883663464829978,0,0,0,0,0,0,0,0.0271678945262086,0.0138576041173367,0,0,0,-0.0180408304613849,0,0,0.238325217464886,0,0,0,-0.0997178545874722,0,0,0,0.165544574092545,0,0
