,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600276.SH,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600031.SH,X000568.SZ,X600741.SH,X000338.SZ,X002241.SZ,X000100.SZ,X002475.SZ,X600066.SH,X002236.SZ,X601877.SH,X600118.SH,X002456.SZ,X600271.SH,X000157.SZ,X600177.SH,X300124.SZ,X600372.SH,X600522.SH,X600089.SH,X002085.SZ,X002007.SZ,X002508.SZ,X000981.SZ,X000066.SZ,X300003.SZ,X002294.SZ,X600699.SH,X000559.SZ,X600867.SH,X002292.SZ,X002180.SZ,X300136.SZ,X000623.SZ,X002074.SZ,X600498.SH,X600809.SH,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002236.SZ,0.0591187959930069,0,0.0716959886885947,0.0652708161247993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225971680645425,0,0,0,0,0,0,0,0,0.067957114136816,0.110049264115571,0,0,0.0978656679975375,0,0,0.0316337616409553,0,0,0.00141576090039455,0.00126128300266199,0,0,0,0,0,0
X601877.SH,0,0.192439668825407,0,0,0,0,0.114194391267019,0,0,0,0,0,0.133638162098782,0,0.196505953019751,0.0454896107260664,0,0,0,0,0.0140919675301992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0519543682639191,0,0,0.0811055775398041,0,0,0,0,0,0,0,0,0,0,0.0206073160073913,0.00398046970122112,0,0,0,0,0,0
X600118.SH,0,0,0.0605410585784915,0,0,0,0,0,0,0,0,0,0.0437786451561467,0,0,0,0,0,0,0,0.170633680903717,0,0,0,0,0,0,0,0.26274292167016,0,0.0742800657286315,0,0,0,0,0.0360215307405382,0,0,0,0.193485035631575,0,0,0,0,0,0,0,0,0,0,-0.0154686805879828,0.00707444631330783,0,0,0,0,0,0
X002456.SZ,0,0,0,0.0215175418996888,0,0,-0.150933089972888,0,0,0,0,0,0,0,0,0.0612750715325595,0,0,0.288997280588197,0,0,0,0,0,0,0,0,0,0,0.0621299926965757,0,0,0,0,0,0,0,0,0,0,0,0.246299365142231,0.115560236271114,0.0460274290777579,0,0,0,0,0,0.161348932173576,0.0179303882436805,0.0138758251328213,0,0,0,0,0,0
X600271.SH,0,0,0,0.0801569421485734,0,0,0,0,0,0,0,0.165814680015527,0.0622513980210522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00272299299227459,0,0,0,0,0,0,0,0,0,0,-0.0544943508045789,0,0,0,-0.0386089881121305,-0.133394312503494,-0.133880863081173,0.0120766115288986,0.0018234452670302,0,0,0,0,0,0
X000157.SZ,0,0,0,0.0691778696794562,0,0,0,0,0,0,0,0,0.461047546099111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118976319152833,0,0,0,0,0,0.0666086720377768,0,0.0233048502617379,0,0,0,0,0.0229699478437885,0,0,0,0,0,0,0,0,0
X600177.SH,0,0.0374561593467324,0,0.0682011175628533,0,0,0,0,0.0565673576809957,0,0,0.00514490722987238,0,0,0.0265912359978139,0.032106266937428,0,0,0,0,0,0.0539728485516074,0,0,0,0,0,0,0,0,0.101860634771786,0,0.0139287030395052,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.00108511895068106,0.00249787657290316,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0989211300256809,0,0,0,0,0,0,0,0,0,0.0398108571508393,0.0211049254100104,0,0,0,0,0,0,0.126456661635154,-0.122538116143529,0,0,0,0.0707860821738899,0,0,0,0.118831484458902,0,0.144570124674117,-0.0212973663563761,0.0621314975932524,0.0617002589321621,0,0,0,0,0,-0.0223730006323887,0.00319890550845174,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,3.3881317890172e-21,0,0.0460837197610869,0,0,0.0581080407218706,0,0,0,-0.110170399173263,0,0,0,0.117295676899749,0,0,0.38203421471945,-0.046676573617125,0.25220908110005,0,0,0,0,0,0,0,0,0,0,0.0243268350689185,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0700596837648533,0.00519475574284708,0.000615451854189683,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171109470951504,0.0257977402536619,0,0,0.216518906576628,0,0,0,0,0,0,0,0,0,0,0,0.0449082143387163,0,0,0,0,0.0934577955646881,0.117112379111906,0.0972526872013683,0,0.0265503560761897,0.00352010631963943,0,0,0,0,-0.0242499090544282,0.00986096563207849,0,0,0,0,0,0
