,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000063.SZ,X600372.SH,X600690.SH,X600031.SH,X002241.SZ,X000338.SZ,X000157.SZ,X600703.SH,X600741.SH,X002236.SZ,X600089.SH,X000100.SZ,X002475.SZ,X000581.SZ,X600118.SH,X000050.SZ,X000559.SZ,X600271.SH,X002294.SZ,X600066.SH,X002129.SZ,X000550.SZ,X601877.SH,X000568.SZ,X002456.SZ,X600435.SH,X002292.SZ,X300003.SZ,X300124.SZ,X000400.SZ,X000800.SZ,X600839.SH,X000869.SZ,X002049.SZ,X002038.SZ,X600566.SH,X000977.SZ,X002008.SZ,X000623.SZ,X002007.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000568.SZ,0,0,0,0,0,0,0,0.177992471197786,0,0,0.0474836963956761,0.209269163943738,0,0.119301760538163,0,0,0,0,0.0135104676636027,0,0.00482729194155304,0,0,0,0,0,0,0,0,0,0.0244944926180592,0,0,-6.93889390390723e-18,0,0,-0.138782740877234,0.0199319320184994,0,0,0.0251710952039289,0,0,0,0,0,0,0,0,0,0,-0.00510791846282412,-0.00797653476570232,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0.0118384732133823,0,0,0,0,0,0.105883769164107,0,0.245570299000654,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624039320857109,0,0,0,0,0,0,0,0,0,0,0,0,0.00284513081884978,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0
X600435.SH,0,0,0,0,0,0,0,0,-0.161290550535517,0,0.258336444152265,0,0,0,0,0,0,0,0,0,0,0,0,0.367050368577731,0.15533765046,0,0,0,0,0,0,0,0,0.0473124546932786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0507927426462527,0,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0,0.073357598759417,0,0,0,0.0187592593387497,0,0,0,0,0,0,0,0.12334308905578,0,0,0.0495737712295967,0,0,0,0,0,0,0,0,0.201035003932829,0,0,0.0256833147970438,0.0776772533243631,0,0,0.00999233461639262,0,0,0,0.017730890021127,0.225653525487477,0,0.0190664873832959,0,0,0.094187061498916,0,0,0,-8.67361737988404e-19,-0.0218053367449639,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453163401467925,0,0,0,0,0,0,0,0.0189967593708169,0,0,0,0,0.0572969231239476,0.227049162088689,0,0,0,-0.0249631195770678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052558128218837,0,-0.00886380943180073,-0.0229947985035047,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0.199761744630276,0,0,0,0,0,0,0,0.339910176186777,0,0,0,0,0,0,0,0,0,0,0,0.0967515116831663,0,0,0,0,0.056939568604119,0,0,0,0,0,0,0,0,0,0.154949271963403,0.0501445382434151,0,0,0,0.252562182382473,0.013802828731837,0.000553176082215915,0,0,0,0,0,0
X000400.SZ,0,0,0,0,0.0703806182332348,0.0938321343153324,0,0,0,0,0.0225607216090522,0,0,0,0,0,0,-0.0271495902024011,0.0298832370881497,0,0,0,0,0,-0.041466920188973,0.0162702634247296,0,0,0,0.123550879026397,0,0,0,0,0,0,0,0,0,0,0,0,0.0921626301950116,0,0,0,0,0,0,0,0,-0.00189132904445739,0.00762189713225674,0,0,0,0,0,-0.164428913281589
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0.0564139385642405,0,0,0,0,0,0,0.0291559691302137,0.0029128465543117,0,0,0,0,0,-0.0296909030224635,0.111105323748593,0,0,0,0,0.0270788755689386,0,0.206420983370897,0,0,0,0,0.0365704526745157,0,0,0,0,0.127758908040575,0,0,0,0,0,0.0745823842600244,0,0,-0.00507064668304579,0,0,0,0,0,0,0
X600839.SH,-0.0697455984086205,0,0,0,0,0,0,0,0,0,0,0,0,0.0702382463958113,0.0324240496692523,0,0,0,0.146180545550297,0,0,0,0,0,-0.139926660471378,0,0,0,0,0,0,0.112095200561051,0.0726127073726643,0,0,0,0,0,0,0.0169687033167545,0,0,0,0,0,0,0,0,0,0,0,-0.0220923735277347,-0.0174789368527271,0,0,0,0,0,0
X000869.SZ,0,0,0,0,0,0,0.210620218342439,0,0,0,0.0344851850379247,0,0,0,-1.73472347597681e-18,0,0,0.0421781682027397,0.056008456948959,0,0,0,0,0,0.0992346894933086,0,0,0,0.0715228515973103,0,0,0,0.104910588202069,0.0808892642167495,0,0,0,0,0,0,-0.122469020083623,0,0,0,0.0557536861725597,0,0,0,0,0,0,-0.0227178413559991,0.0270519466767486,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0.0116739002270227,0,0,0,0,0.077655505297542,0,0,0,0,0,0.0488666147819708,0,0.0265403255077511,0,0,0,0,0,0,0.130511872580222,0,0,0,0,0,0,0,0.0425080025942277,0,0,0,0.158116430254518,0,0,0,0,0,0,0,0.142041180542134,0,0,0,0,0,0.00263318226647812,0.0616763260855595,0,0,0,0,0,0
X002038.SZ,0,0,0,0,0.0187004132866311,0.160599307174555,0.173653130164399,0,0,0,0,0,0,0,0,0,0,0.00970059159262627,0,0,0,0,0,0,-0.0147512600706515,0.0222473789248193,0,0,0,0,0,0,0,0,0.0503421612046649,0,0,-0.101175651346831,0,0,0.00394724693219166,0,0,0,-0.0398455897165865,0.0539179752830342,0,0,0,0,0,0.0583437402469811,-0.0674406245976397,0,0,0,0,0,0
