,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X600276.SH,X002475.SZ,X000651.SZ,X300124.SZ,X300014.SZ,X600104.SH,X000596.SZ,X600031.SH,X000725.SZ,X003816.SZ,X000625.SZ,X002129.SZ,X000063.SZ,X002371.SZ,X002049.SZ,X000338.SZ,X002179.SZ,X600703.SH,X000661.SZ,X600089.SH,X002180.SZ,X601877.SH,X000100.SZ,X300142.SZ,X002241.SZ,X000733.SZ,X600702.SH,X600522.SH,X600741.SH,X002074.SZ,X000157.SZ,X000799.SZ,X600460.SH,X600584.SH,X300003.SZ,X600779.SH,X002007.SZ,X600884.SH,X300146.SZ,X600487.SH,X002294.SZ,X601799.SH,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300124.SZ,0,0,0,0,0,0,0,0,0.194585529322241,0,0,0.142292351667448,0,0,0,0,0,0,0,0,-0.128050370428543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0726686074365416,0,0,0,0.0777242158645326,0,0.0138577640063479,-0.00757356930679625,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0.266758177307726,0,0,0,0,0,0,0.0931467331442647,0.0352381579824146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261033533518852,0,0,0,0,0,0,0,0.550117768447938,-0.0626130297522959,0,-0.0299586800101996,0,0,-0.148571386862459,-0.0531542940954377,-0.0196448785031644,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.161122742468611,0,0,0,0,0,0,0,0.102248093773049,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0828030438681323,0.0206666487035021,0,0.012278646896213,0,0,0,0,0,0,0.0531383724325461,0,0,0,0,0,0,0,0,0,0,0,0,0.0150047606193089,-0.00381437816628333,0,0,0,0,0,0
X000596.SZ,0,0,0.41653128616029,0,0,0.0263447469654916,0,0,0,0,-0.267655711318871,0.0428633454641896,0,0,0,0,0,0.0503286504447256,0,0,-0.065303473893622,0,0,0,0,0,0,-0.000551069566331173,0,0,0,0,0,0,0,0,0.213143608653739,0,0,0,0,-0.173691092223798,0,1.0842021724855e-19,0,0,0,0,0,0,0,-0.0418368610913726,0.0294769209863704,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0.121506456618535,0,0,-0.0386870398683451,0.131316242128029,0,0,0,0,0,0.333369759515979,0,0,0,0,0.0148485880226001,0,0.0999845796692202,0.0546644050388232,0,0,0,0,0,0.0335764587254161,0,0,0,0,0.0886892733767185,0,0,0.140413714815165,0,0,0,0,0,0.132327329971455,0,0,-0.109516684504462,0,0,0,0,0.013315974828473,0.015857836266627,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101224270988594,0,0,0,0,0,0.0207691470902854,0,0,0,0,0,0,0,0,0.407350784452916,0,0,0,0.0998203193217917,0,0,0,0.203861033424979,0,0,0,0.0309902314235866,-0.0494705151061183,0.0431653694910766,0,-0.0497484813298188,0,0,0,0,0,0.00317795581041306,0.00880250458813316,0,0,0,0,0,0
X003816.SZ,0,0.00883794821036462,0,0,0,0,0,0,0,0,0.0303691352801377,0,0,0,0.00239704016324713,0.0859427568636056,0,0,0,0.0519625566253082,0,0,0,0,0.0885402362531082,0,0,0,0.0465333997160652,0,0,-0.0180142861277477,0,0,0.00145350866677765,0,0,0,0,0,0,0,0,-0.0223411893626242,0,4.33680868994202e-19,0,0,0,0,0,0.0070774620734421,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0.15645417057769,0,0,0,0,0.123278493056882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118496015783536,0,0,0,0,0.052649970335255,0.166026382487587,0.184159449722517,0,0,-0.163013486718224,0,0,0,0,0,-0.00137522388494432,0.0716562878683218,0,0,0.0455820701701258,-0.0678198447440791,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0871435998685216,0.014495184525368,0,0,0,0,0,0,0,0,0,0,0,0.22883615305632,0,0.0134347526097984,0,0,0,0,0,0.163719247883939,0,0.138121321020982,0,0,0.0278056811720883,0,0.190851317297766,-4.33680868994202e-19,0.0752341128743709,0,0,0,0,0,0,0,0.00898302468510329,0.0283795658473931,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.0147031462746467,0,0,0,0,0,0,0,0,0,0,0,0,0.0473697477980453,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134858438053704,0,0,0,0,0,0,0,0,0,0,0,0.0836468899704928,0,0,-0.0259123214366348,0,0,0,0,0,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0.0508749823877187,0,0,0,0,0,0.0125568454040158,0.116697824298167,0,0,0,0,0,0.170794216842077,0,0,0,0,0,0,0,0.0809682768535284,0,0.127692378944074,0.235590216585149,0,0,0,0,0,0,0,0.0700633354527278,0.0712890851303611,0,-0.0974082474861056,0,0,0,0,0.00768385879662804,0.0969161963506584,0,0.00944664256567179,0.0263163284336014,-0.170298524845763,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19270635431703,0,0,0,0,0,0.232914687882281,0.185064891967342,0,0,0,0,0,0,0,-0.222973513797447,0,-0.0819003156824889,0,0.298845568615667,0,0.0326907989114526,0,0,0,0.226194418441236,0,0,0,0,0,0,0,0.190475205145777,0.207735335715411,0,0.0808228741672618,0,-0.0227049661408606,-0.0338459351727829,0,0,0,0,0,0
