,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X002304.SZ,X000568.SZ,X600031.SH,X000725.SZ,X000661.SZ,X000063.SZ,X600809.SH,X600690.SH,X003816.SZ,X002241.SZ,X000338.SZ,X000596.SZ,X600703.SH,X002007.SZ,X300014.SZ,X300124.SZ,X002371.SZ,X300142.SZ,X000100.SZ,X600741.SH,X002049.SZ,X002236.SZ,X000157.SZ,X002129.SZ,X300003.SZ,X601877.SH,X600584.SH,X000800.SZ,X300136.SZ,X002414.SZ,X600183.SH,X000625.SZ,X002179.SZ,X002456.SZ,X000066.SZ,X000977.SZ,X600118.SH,X601799.SH,X002185.SZ,X002008.SZ,X000050.SZ,X002508.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000661.SZ,0,0,0,0.222211949272498,0,0,0,0,0,0,-0.147246784821073,0,0,0,0.0469366921647063,0,0.0737080774499407,-0.0531503075826501,0,0,0.160451472715373,0,0,0.136011381791329,0,0,0,0,0,0,0,0,0,0,0,0,-0.0162118632749407,0,0,0,0.0210670135117107,0,0.0132960732718142,0,-0.0630345233835389,0,0,0,0,0,0,0,-0.043155184339827,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272749109087412,0,0,0,0,0.215680159490042,0,0,0,-0.0211291620088205,-0.0428698336294754,0,0,0,0.16417811822375,0,-0.0224602248646961,0,0,0,0,0,0,0.00371982604277556,0,0,0.0158442051201377,0.114082202562117,0,0,0,0,0,0,0,0,0,0,-0.0147538357756824,0,0,0,0,0,0
X600809.SH,0,0.506916548879585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859619022018555,0,0.168149048439114,0,0,0,0,0,0,0,0,0,0.00698902476669876,0,0,0,-0.0471479212492123,0,0,0,0,0,0.071615003407732,0,0,0,0.0367895848522454,0,0,0,0,0,0,-0.00465570118980453,-0.0101166309323368,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.159394031107964,0,0.108739685011087,0,0,0,0,0,0,0,0,0,0,0.00392759821229482,0,0,0,0.00846695269552991,0,0,0,0,0.105358564134836,0,0,0.0280955653925724,0,0,0,0.0688826508542651,0,0,0,0.0355382581548392,0,0,0,0,0,0,0.0849464617312492,0,0,-0.0174322511925741,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0.00621882002543929,0,0,0.023453722189222,0,0,0,0,0.0163129387068937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00585557978934183,0,0,0,0.0503311142832367,0,0,0,0,0,0,0.107740189565802,0,0.062249306899398,0,0,0,0,0.0182227537150469,0,0,-0.00393948056488314,-0.00145195798262763,0,0,0,0,0,0
X002241.SZ,0,0,0,0.427196249274726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338407850093363,0.104293237176831,0,0,0.0704002549662384,0,0,0.0252793572325109,0,0,0.0652515560296889,0,0.00602068876359606,0,0,0,0,0,0.0310156683055004,0,0,0,0,0,0,0,0,0,-0.0223779824856068,-0.000116642514748322,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0247027126866606,0,0,0,0,0,0,0.0923644640717376,0,0,0,0,0,0,0,0,0,0.00358347490709744,0,0,0,0,0.0353373474279763,0.0262749918949587,0,0,0,0,0.0145905685276503,0,0.0213526103850346,0,0,0,-0.00863770385057078,0,0,0,0,0,0
X000596.SZ,0,0.147139416363128,0,0,0,0,0,0.0518099076705323,0,0,0,0,0,0.402844522828683,0,0,0,0,0,0,0,0,0.0582316134983769,0,0.154887550091886,0,0,0,0,0,0,0,0,0,-0.0817240007137759,0,0,0,0,0,0,0,0,0.0191010406653497,0,0,0,0,0,0.0418260169847434,0,0,-0.0269826614545065,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0.0487891435668099,0.00304136222509211,0,0,0,0,0,0,0,0.105326031572996,0,0,0,0,0,0,0,0,0.136536268802099,0,0.0204454048797391,0.177770179559966,0,0,0,0,0.169483523750748,0,0,0.00394574538979225,0,0,0,0.00152561031874083,0,0,0,0,0.130150288757684,0,0,0,0,0,0.0307204623371658,0.0112029287753514,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0,0.181404467874141,0,0,0,0,0,0,0,0,0,0,0.0488111293883579,0,0.437771690186412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117719695951414,0.209042080986785,0,0,0,0,0,0,-0.0121501292678917,-0.00381193036259049,-0.0185718805589521,0,0,0,0,0,0
