,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X000568.SZ,X000625.SZ,X002236.SZ,X002475.SZ,X600031.SH,X002241.SZ,X000338.SZ,X600066.SH,X002456.SZ,X601877.SH,X300124.SZ,X000100.SZ,X002508.SZ,X300136.SZ,X300003.SZ,X002085.SZ,X600089.SH,X600271.SH,X002294.SZ,X002008.SZ,X600177.SH,X600522.SH,X000157.SZ,X002007.SZ,X600487.SH,X600118.SH,X600809.SH,X600867.SH,X600566.SH,X600699.SH,X000981.SZ,X600372.SH,X000559.SZ,X002074.SZ,X000581.SZ,X600498.SH,X300115.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000100.SZ,0,0,0,0,0,0,0,0,-0.0592737191113323,0.0168285637676166,0,0,-0.0531372226165275,0,0,0,0.00945483759492427,0,8.67361737988404e-19,0,0.0312862069169843,0,0,0,0,0.183764863165095,0,0,0,0,0,0,0,0.141429267580878,0.0144586557163496,0,0,0,0,0,0.0411033596979606,0,0,0,0,0,0,0,0,0.0546466286544722,0,0.0170744089724265,-0.0543484249596806,0,0,0,0,0,0
X002508.SZ,0,0,0,0.344172033161117,0,0,0,0,0,0,0,0,0.0645650761069789,0,0.0679471322611503,0.17624062733255,0,0.129497585740085,0,0.125894240081331,0,0,0,0,0,0,0,-0.0726224382843157,0,0,0,0.216562781661173,0,0,0,0,0,0,0,0,0,-0.00915934149528125,0,0,0,0,0,0,0,-0.144981926447915,0,-0.013990479467014,0.00782706922842377,0,0,0,0.123781518408463,0,0
X300136.SZ,0,0,0,0.153118449099992,0,4.33680868994202e-19,0,0,0,0,0.0374530281544151,0,0,0,0,0,0,0,-0.0416584557474286,0,0,0,0,0,0,0,-0.0277916300328675,-0.0367854539560132,0,0,0,0.401632947479499,0,0.058154537434322,0,0,0.0846461238454377,0,0,0,0,0,0,0,0,0.132011472279387,0,0,0.0583071230170323,0,0,0.01458643958499,0.00186470328761752,0,0,0,0,0,0
X300003.SZ,0,0.220576177201063,0,0,0,0,0,0,0.0354305367392869,0,0,0.0925412202106178,0,0,-0.0262972744891532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0598400373161927,0,0,0,0,0.00484801633211742,0,0,0.0538559568790572,0,0,0.0586833087197719,-0.21547770729438,-0.0243584289940654,0.0377416685129942,0,0,0,0,0,0
X002085.SZ,0,0,0,0.218737580752673,0,0.188694422564099,0,0,0,0,0,0,0,0,0,0,-0.0995424868395552,0.171821620064613,0,-0.583198824407006,-0.110627813433476,0,-0.313371004873057,0,0,-0.138864159115654,0,0,-0.315687321982369,0,0,0,0,-0.263144334564552,0,0,0,0,0.216060157016323,0,0,0,0,0,0.10057783963146,-0.273370325534701,0,0.0341593916472492,0,0,0.11517378138957,-0.0448469866731951,0.0254015724451015,0,0,0,0,0,0
X600089.SH,0.681098255396867,0,0,0,0,0,-0.0234179146970541,0,0,0,0,-0.126256978697524,0,0,0,-0.136701037724171,0,0,0,-0.140215344023448,0,0,0,0,0.0884826075617282,0,0,0,0,0.357325167443089,0,0,0,0,0,0,0.257363105215616,0,0,0,0,0,0,0.090976185744938,0,0,0,0,0,-0.0291397836074343,0,-0.0291918182644194,-0.0368263890901329,0.137414612672021,0,0,0,0,0
X600271.SH,0,0,0,0,0,0.37230252697654,0,0,0,0,0,-0.0321670998080759,0,0,0,0.0620889843504377,0,0,0,0,0,0.161083659933503,0.0187289898168126,0,0,0,0,0,0.238730586173401,0,0,0,0,0,0,0,0,0,0,0,0.0725509833163908,0,0,0.092768283719958,0,-0.269410344638889,0,0,-0.00944673727421019,0,0,-0.0296714892607436,0.032986291348213,0,0,0,0,0,0
X002294.SZ,0,0.0368008380449575,0,0,0,0.022585383497874,0.167284190767282,0,0,0.0711195867102183,0,0,0,0,0,0,0,0,0,0,0,0,0.0133757705636932,0,0,0,0,0.0626081597886748,0,0,0,0,0,0,0,0,0,0,0.00852418335009298,0,0.0839088872055569,0,0,-0.15904428695482,0,0,0,0.106714980793334,0,-0.0152743908529246,0,0,0.00774140267415905,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0,0,0,0.188977842222948,0,0,0,0.0713753408236055,0.266992028255014,-0.0250097478366085,0.138048154282564,0,0,0,0,0,0,0,0.121410555245187,0,0,0,0,-0.205978127393462,0,-0.00744797018887742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125269903573233,0,0,-0.00307581112407382,-0.0206984228390355,0,0,0,0,0,0
X600177.SH,-0.0750667681581965,0,-0.0617081592940777,0,0,0.0920770598742515,0,-0.0494416884076019,0,0.0965734089410175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,-0.109930345593229,0,0,0,0,0.0745268768292121,0,0,0,0,-0.0237749220522437,0,0,0,0,0,0,0,0.213758591676798,0,-0.0280160085572462,-0.0334769165366774,0,0.0156661398968529,-0.0109292839973369,0,0,0,0,0,0
