,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000568.SZ,X000338.SZ,X600690.SH,X000661.SZ,X600741.SH,X600809.SH,X600703.SH,X002241.SZ,X000596.SZ,X300003.SZ,X601877.SH,X600183.SH,X000100.SZ,X002236.SZ,X000157.SZ,X300124.SZ,X000066.SZ,X300142.SZ,X002007.SZ,X300014.SZ,X002371.SZ,X000625.SZ,X300136.SZ,X002179.SZ,X002463.SZ,X002456.SZ,X002008.SZ,X600271.SH,X000977.SZ,X600584.SH,X002180.SZ,X600177.SH,X000050.SZ,X600066.SH,X002506.SZ,X002129.SZ,X600498.SH,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.128203588554357,0,0,0,0,0,0.184778075891706,0,0,0,0,0,-0.142290092529569,0,0,0,0.139198109220972,0.020876043537634,0.0330645725734226,0,0.0996256608332824,0,0,0.121801103596212,0,0,0,0,0,0,0.154532582317931,0.0452415205724409,0,0,0,0.0650568291115312,0,0,-0.113880697091242,0,0.00572893419052041,-0.00188201689178853,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247564257900559,0,0,0,0,0.293051549484525,0,0,0.080738498964943,0,0,0.0570313976423626,0,0,0,0,0.223070706964877,0,0.0417851978915587,0.14728208134499,0,0,0,0,0,0,0,0,0.011469835432562,0.0356885597041795,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0.180256665159785,0,0.0647506163449051,0,0,0,0,0.0157501982187195,0.557376789579639,0,0,0,0,0,0,0,0,0.205417669938175,0,0,0,0,0.177118251464234,0,0,0,0,0,0,0,0.0937138086239019,0,0,0,0,-0.0962243628431913,0,0,0,0,-0.131429249021897,0.0668886908657996,0,0,0,8.67361737988404e-19,0,0
X002008.SZ,0,0,0,0,0,0,0.286032946818849,0,0,0,0,0,0,0,0,0,0,0,0,0.0324342889076218,0,0,0,0,0,0,0,0,0,0,0,0,0.0463974178629023,0,0,0,0.0754670046313491,0.155780826234281,0,0,0,0,0,0,0.0548602718862491,0,0,0,0,0,0,0.0286174462084856,0,0,0,0,-0.0168276964696205,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362254161105457,0,0.131630806483063,0,0,0,0,0,0.0573184295147957,0.0875702353308089,0,0,0.00874905577837503,0,0,0,0.0999599072099896,0,0,0,0,0.141395579962573,0,0.00237586107512835,0.0619073732760107,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0.31291941996619,0,0,0.130080958739616,0,0,0.258778923283365,0,0.247684833203353,0.00333263579579188,0,0.0661979010462575,0,-0.0768828901323178,0,0,0,0,0,0.237443861690623,0,0.0390561449993873,0,0.261642117993065,0,0.117337823861844,0,0,0,0,0,0,0,0,0.14066052109005,0,0,0,0,0,0,0,-0.0346336697111796,0,0,0,-0.0161874378168665,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135053745782207,0.23245954216126,0,0,0,0,0.0161468230245365,0,0.493983914131707,0,0,0,0,0,0.0726883642825515,0.358808496764716,0,0,0.0240370240469173,0.156503353987205,0.0221237690290775,0,0,0,0,0.187992922120198,0,0,0,0,0,0,0,0,0,0.0266798422453219,0,0,0,0,0,0
X002180.SZ,0,0,0.0876884513404199,0,0,0,0,0.18892515554598,0,0,0,0,0,0,0,0.145577894719551,0,0,0.174413734182741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0686482964729558,0,0.240465306179787,0.253954963499421,0,0,0,0,0,0,0.0409289523423875,0.0580526242953021,0,0,0,0,0,-0.125982152412523,0.0226714838443186,0,0,0,0,0,0
X600177.SH,0,0,0,0.0692789110782902,0,0,0,0,0,0,0.0758031001766767,0,0,0,0,0,0,0,0.023397652479599,0,0,0,0,0,0,0,0.0671258314404715,0,-0.0416467205531408,-0.0985732615632353,0.0445267776288574,0,0.0813259373320478,0,0,0,0,0.0611725494443757,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206075790062593,-0.0373023806456136,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0.137720350736832,0,0,0,0,0,0,0.0342430647471534,0,0,0,0.0417662543320832,0,0,0,0,0,0.271796499838455,0.0317827114618313,0,0,0.0312080449699072,1.73472347597681e-18,0,0,0,0.0400408484308736,0,0,0.0407724830546465,0,0,0,0.0515530081795002,0.0103049882835655,0.000443828250837084,0,0,0,0,0.103379429735401,0,0.264992300423398,0,0.00490368677847522,0,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,0,0,0,0,0.0603718962656429,0,0.107951250412717,0.035034335712692,0,0,0,0.0822630972852548,0,0,0,0,0,-0.077580825965715,0,0,0,0,0.124188957057319,0,0,-0.0629849381294305,0.0043786332385531,0.105198167505021,0,0,0,0,-0.0608690448829734,0,0,0,0.0517778383841421,0,0,0,0,0,0,0,0,0.0553436367602986,0.0394263024586508,0,0,0,0,0,0
X002506.SZ,0,0,0,0,0,0,0,0,0,0,-0.0190276125284416,0,0,0,0,0,0,0,0,0,0.0442996684662713,0,0,0,0.0271820184794119,0,-0.141904893744683,0,0.109893134294472,0,0,-0.117054695569315,-0.0369164678666276,0.0528206540128588,0,0.116994651433541,0.0561241188026127,-0.0670139929366027,0,0,0,-0.198398498912646,0,0,0,0,0,0,0,0,0,0.0568348223249115,-0.0827046826124084,0,0,0,0,0,0
X002129.SZ,0,0,0,0.281717171549126,0,0,-0.154166308662175,0,0,0,0,0,0,0.0139981054563393,0,0,0,0,0,0,0,0.0199173326818525,0.123744829993477,0,0,0,0,0,0.0781713506876596,0,0,0,-1.73472347597681e-18,0,0.196240457984344,0,0,0.096585825844337,0,0,0.00380871020644681,0.043883929609416,0,0,0,0,0,0,0.242633960744729,0.184770171414628,0,-0.0304046058721911,0,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0260590770084488,0,0,0,0,-1.73472347597681e-18,0,0,0.138642744850411,0,-0.0152880291174985,0,0,0,0,0.0421423923100576,0,0,0,0.0184791069219681,0,0,0,0.0783137497567743,0,0,0,0,0.0103528227326335,0.0125156083874722,0,0,0,0,0.21244412911169,0,0.0425761943983326,0,0.0170601402353763,0,0,0,0,-0.00916473733417029,0,0
X600487.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664167386662143,0.076396530004378,0,0,0,0,0,0,0,0,0,0,0,0,0.00499464476001692,0,0,0,0,0,0,0,0.0343187559450051,0,0,0,0.0671165878612634,0.0347649806956804,0.0550369961331503,0,0.140479682436993,0,0,0,0,0,0,0.00353409916315237,0.00992999738465898,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480268279501066,0,0.0512362179271361,0,0,0,0,0,0,0,0,0,0,0,0,0.0167866921805606,0,0,0,0,-0.0389894329631418,0.0291700298671946,0,0,-0.141491044778246,0,-0.0383169017668526,0,0,0,0,0,0,0,0,-4.33680868994202e-19,-0.0636092480369941,0,0,0,-0.076481929349891,0,0
Slope,0,0.0553166513528381,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.285957527985289,-0.40697833462123,0,0,-0.212949018653123,0.255972703269032,0,0,0,0,0,0.299925345257404,0,0,-0.137684430048899,0.301587440684775,0,0,-0.125693362396789,0,0,0,0,0,-0.217279371977497,0,0,0,0,0.20613868301095,0,0,0,-0.000173488250454489,0,0
TED,0,0,0,-0.100391367585029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.301636576619492,-0.244735806445942,0,-0.0592153658158456,0,0.342263164507905,-0.0954415743761828,0,0,0,0.209179456317824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.185121326166417,0,0,0,0,0,-1.21080106924362,0,0
RealEstate_excess,0,0,0,0,0,0,-0.0180860264804384,0,0,0,0,0,0,0,0,0,-0.0250719744336724,-0.0155981426371325,0,-0.0617980766836158,0.0299781109151547,0,-0.023389671572863,0.000803392109517023,0,0,0,0,0,0.0204038185602909,0,0.0259191791631191,0.0551843500562877,0,0,0,-0.00230033484551876,0,0,0,0,0,0,-0.0688511226643897,0,0,0,0,0,0,-0.054338318196328,-0.0186584351243802,0,0,0,0,-0.00852481425892003,0,0
