,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X000651.SZ,X002415.SZ,X600104.SH,X002304.SZ,X000661.SZ,X600031.SH,X000063.SZ,X000725.SZ,X000568.SZ,X003816.SZ,X600809.SH,X000338.SZ,X600703.SH,X600690.SH,X002241.SZ,X300142.SZ,X000596.SZ,X002007.SZ,X300014.SZ,X000100.SZ,X002371.SZ,X300124.SZ,X300003.SZ,X002049.SZ,X600741.SH,X000157.SZ,X002129.SZ,X600183.SH,X000800.SZ,X600584.SH,X601877.SH,X002236.SZ,X002414.SZ,X000977.SZ,X000625.SZ,X300136.SZ,X002456.SZ,X002179.SZ,X000066.SZ,X002185.SZ,X002463.SZ,X002008.SZ,X600118.SH,X002180.SZ,X601799.SH,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600183.SH,0,0,0,0.0121495067918885,0,0,0,0,0,0,0,0,0,0,0,0,0.043421533036544,0,0.140766201966006,0,0,0,0,0.0939529909385507,0,0,0,0,0,0,0,0,0,0.0652472486476655,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.0129414108227821,0.429938658531643,0,0,0.108454419973783,0,0,0,-0.00966620417865597,0,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.227289693990026,0,0,0,0,0.265109603307891,0,0.0608063737273382,0,0,0.0213179075439019,0,0,0,0,0,-0.122993591490047,0,0,0.105548263800267,0,0,0,0,0.153304262413142,0,0.179479978285928,0,0.00826821360553281,0.0743268513145584,0,0,0.0495351241092943,0,0,0,0,0.00113160838563509,0.0100210546851837,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.17886482583866,0,0,0.112719255747878,0,0,0.0652284984247174,0,0,0,0,0,0.137955528182968,0.135797148412429,0,0,6.93889390390723e-18,0,0,0.527160370465312,0,0,0,0.103747891202464,0,0,0,0.0109567277989224,0,0,0.381047589694362,0,0,0,0
X601877.SH,0,0,0,0,0,0.0270321393293182,0,0,0,0.0189490424652399,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,-0.0269600120958588,0,0,0,0.124089287068732,0,0,0,0,0,0.127387183343588,0,0,0,0,0,0,-0.0331965736773194,0,0,0,0,0.0290457737658269,0,-0.04830348751543,-0.00517953333667274,0,0,-0.0917611140263355,0,0,0,0
X002236.SZ,0,0,0,0,0,0.199801226198367,0,0,0,0,0,0.0810137076869232,0,0,-0.0918047341240734,0,0,0,0,0,0,0,0,0.082383646707807,0,0,0,0,0.0636409485068065,0,0,0,0,0,0,0,0,0,0,0.0766462599342806,0,0,0.026671708540482,0,0,0,0,0.101388719688742,0,0.0106440569181203,0,9.53672952570686e-05,-0.0149319501065352,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0960426357177281,0.0852828672546398,0.150380929406143,0,0,0,0,0,0,0.025218232297433,0.0673244362092347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454767120852298,0.0503041327933903,0,0,0,0,0,0.112462517807837,0,-0.00134723298788196,0.00213813691686919,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0.0660631689921184,0,0,0,0,0,0,0,0.167538819392664,0,0,0,0,0,0.069956979880685,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.194914874076208,0,-0.00780489988604819,0,1.73472347597681e-18,0,0,0,0,0.40217783470072,0,0,0,0.0285096994921114,0.0479405411281774,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0997584672862793,0,-0.0728803015843842,0.0281940236044555,0.142486701167269,0.262007079645335,0,0.0577526080366035,0,0,0,0,0.0376168533204689,0,0,0.178048428563891,0,0,0,0.0163126674129629,0,0,0.0138056041481231,0,0.0215570431821957,0,0,0,0,0,0
X300136.SZ,0,0,0,0.0999047303456965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124504724895171,0,0,-0.091886766183423,0,0.00958950239425821,0.140331902307957,0,0,0,0,0,0.0351404384283121,0.21161445054535,0,0,0,0,0,0,0,0,0,0,0,0,0.111498860485617,0.135546211872073,0,0,0,0,0,0.012353666067493,0.00396619718799217,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0.0421647206937105,0,0,0,0,0,0.19358201790278,0,0.176417749717351,0,0,0,0,0,0,0,0,0,0,0,0,0.0398747187102777,0.136925684972514,0,0,0,0.0570441833478538,0,0.0665333606819567,0,0,0,0,0.22708883601475,0,0.185260671315196,0.131674988663431,0,0,0,0,0.0203486572706902,-0.0492435975066303,0,0,0,0,0,0
X002179.SZ,0,0.0288510292033621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494675464885117,0,0,0,0,0,0,0,0,0.0647827827235707,0,0,0,0,0,0.0965478540798287,0.0517201234830801,0,0,0,0,0,0,0,0,0,0,-0.00773628338475018,0.0160485547955161,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0,0.0442757757148828,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.081495934179809,0,0,0,0.0308771515792649,0,0,0.0493069706570304,0.423478889747201,0,0,0,0,0.00798604797603516,0,0,0,0.117859146826892,0,0,0,0,0,0,0.173120039179689,0,0,0,0,0.0119267470741744,0,0,0,0,0,0
X002185.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289702524031555,0,0,0,0.00782544309457392,0,0,0,0,0,0,0,0,0,0.0773738214776155,0,0,0.470216667143944,0,0,0,0,0,0,0,0,0,0,0,0,0.107618190938101,0,0,0,0,-0.0228451219739113,-0.00485724746414132,0,0,0,0,0,0
