,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X000568.SZ,X600031.SH,X002304.SZ,X600809.SH,X000725.SZ,X000063.SZ,X003816.SZ,X000661.SZ,X600690.SH,X002241.SZ,X000338.SZ,X600703.SH,X000596.SZ,X000100.SZ,X300124.SZ,X300014.SZ,X002007.SZ,X600741.SH,X300142.SZ,X002371.SZ,X000625.SZ,X002129.SZ,X002049.SZ,X002236.SZ,X000157.SZ,X601877.SH,X000800.SZ,X300003.SZ,X002414.SZ,X600584.SH,X300136.SZ,X600183.SH,X002179.SZ,X000066.SZ,X601799.SH,X000977.SZ,X600118.SH,X002456.SZ,X002185.SZ,X002008.SZ,X002294.SZ,X000050.SZ,X600066.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0586857227754573,0,0,0,0,-0.0926537350957649,0,0.241438190032133,0,0,0,0,0,0,0,0.223210511386735,0,0,0,0,0.0679971867879996,0,0,0.0549795696336084,0.0595554016650614,0.118136466614552,0,0,0,0,0,0,0.0155131196305986,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181497582457717,0,0.0336540513922408,0,0,0.0382002894628988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0913675902500033,0,0,0.221348452027979,0.197652869838679,0,0,0,0,0,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.249747468232492,0.49119884672525,0,0,0,0,0,0,0.140879770866897,0,0,0,0.0437392991272264,0,0,0,0,1.73472347597681e-18,0,0.330538347010278,0,0.0749591350907392,0,-0.0856879664788661,-0.00195383609514215,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,-0.334997078144399,0,0,0,0,0,0,0,-0.0413247671174996,0,0,0,0,0,0,0,0,0,0.223689965979385,0,0.186410169101948,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291263976732908,0.303054860920223,0,-0.0230634081178224,0,0,0,0.0477746079574044,0.0272881567719208,0,0,0,0,0,0
X300136.SZ,0,0,0,0.312876773497788,0,0,0,0,0,0,0,0,0,0,-0.177820241490432,3.46944695195361e-18,0.361970585104272,0,0,0,0,0,0,0,0,0,0,-0.0857279919898311,0,0.300803486746217,-0.00340491145650623,0,0,-0.00973837119034056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0436386775985484,-0.0274596205895945,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0,0,0,-0.0145611636058136,0,0.104382468172825,0,0,0,0,0,0,0.273500488545112,0,0,0,0.0286371631513764,0,0,0,0,-0.0248471029277832,0,0.0106724694628884,0,0,0,0,0,0.030735333673005,0.102813516188769,0.0678922027288158,0,0,0.223280458379616,0,0,0,0.0433408349215106,0,0,-0.274324221741473,0,0,0,0,0,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0850096783883181,0,0.0159885244692199,0.0327792923475262,0,0,0,0,0,0.160795294798358,0,0,0,0,0,0,0,0.0847897899694832,0,0,0,0,0,0,0,0.0166314412551429,-0.0227603163315422,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0698474881327105,0,0.0564679363789864,-0.0596996788219844,0.109186006392305,0,0,0,0.171559446107329,0,0,0,0,0.235082452051061,0.230654967784802,0,0,0.0081709634470193,0,0.224543932809979,0,0,0,0,0,0,0,0.0432901000676588,0.126252938507665,0,0,0,0,0,0,0,0.00752872506287943,0,0,0,0,0,0
X601799.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237311413770937,0,0.0159152600095438,0,0,0,0,0,0,0,0,0,0.115401758217689,0,0,0.0471567411886529,0,0,0.0470612708976486,0,0,0,0,0,0,0,-0.0348902796644415,0,0,-0.0757217489233196,0,0,0,0.0677652913142703,0,0,0,0.020090095216174,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00694851561612615,0,0.0545491591736124,0,0,0,0,0,0,0,0.0113486215226934,0,0,0,0,0,0,0,0,0,0,0.000640279525430758,0.246728435210725,0,0.0054493139269614,0,0,0,0,0.317063631360006,0,0.364022446909206,0,0,0,-0.0379512315095713,0.0731834151314509,0,0,0,0,0,0
