,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X000100.SZ,X600703.SH,X600031.SH,X600271.SH,X000157.SZ,X600118.SH,X002236.SZ,X600066.SH,X000338.SZ,X600372.SH,X000559.SZ,X000016.SZ,X002241.SZ,X600741.SH,X600089.SH,X002475.SZ,X000568.SZ,X000066.SZ,X600177.SH,X002292.SZ,X300124.SZ,X600839.SH,X002294.SZ,X300003.SZ,X002465.SZ,X600312.SH,X002129.SZ,X000869.SZ,X600867.SH,X000800.SZ,X600525.SH,X000581.SZ,X300142.SZ,X000550.SZ,X600498.SH,X002007.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300862237727342,0,0,0,0,0.215929434910792,0,0,0,0,0,0,0,0,0,0.0790247541804427,0,0,0,0,0,0.000994409582891635,0,0,0.0866963969127067,0,0,0,0,0,0,0,0,0.0244442178935499,0,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557640134502152,0,0.123985057817187,0,0,0,0.0176838394276941,0,0,0,0,0,0,0,0,0,0,0,0.0481987065007038,0,0,0,0,0.0499382280229665,0,0,0.207291330261693,0,0,0,0,0,0,0,0,2.16840434497101e-19,-0.0189523620289554,0,0,0,0,0,0
X000016.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0.0787863483809025,0,0,0,0.00313558916321653,0,0.0542899160668509,0,0,0,0,0,0,0,0,0,0,0.0506297079290564,0,0,0,0,0,0.266968359901272,0,0,0.0928146391257284,0.223907649362478,0,0.120935552327761,0,0,0,0,0,0,0,0,0,0,0,0.0410049953526851,0,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0.0894002909859773,0,0.376394792428533,0,0.076949342497534,0,0,0,0.215125582417335,0.122268193385353,0,0,0,6.93889390390723e-18,6.93889390390723e-18,0,0,0,0,0.105503361822986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069310218850901,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0.331459112049637,0,0,0,0,0.0441475325509388,0.090825200657045,0,0.0460704587024899,0,0,0.00783547098155443,0,0,0,0,0,0,0,0.00951088591733274,0,0,0,0,0,0,0,0,0,0,0.0189114758455935,0,0.138342579117045,0,0,0,0,0,0,0,0,-0.00356652041778937,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0178874174881118,0,0,0.0814958352424615,0.101826196614017,0,0,0,0,0,0,0,0,0,0.0858365915011943,0,0.576248480704377,0,0,0,0,0,-0.234392137653513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0,0,0.103751795610434,0,0.237277867673968,0,0,0,0,0,0,0,0,0,0,0,0.118351697282813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0247830452877885,0.0902632170451524,0,0.217369427452084,0,0,0,0,0,-0.0944456180757486,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0601019538374712,0,0,0,0.00867784446279298,0,0,0,0,0,0,0,0.0363294959461732,0.0203399223518624,0,0,0,0,0.0483796597737013,0,0,0,0,0.0182729473778353,0,0,0,0,0,0,0,0,-0.0103814897774147,0,0,0,0,-0.0676044490808824,0.0419870060115443,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.211037174769018,0.0208775917997783,0.156220358230468,0,0,0,0,0,0,0,0,0,0,0,0.0432663438398596,0,0.0607199075527074,0,0,0,0,0,0,0.0392050207789433,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.113413123353009,0,0,-0.00634459285616555,0,0,0,0,0,0
