,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X000651.SZ,X000568.SZ,X002304.SZ,X600031.SH,X600690.SH,X300124.SZ,X600104.SH,X300014.SZ,X000725.SZ,X000063.SZ,X600703.SH,X000338.SZ,X002371.SZ,X000625.SZ,X002129.SZ,X002241.SZ,X300142.SZ,X003816.SZ,X002049.SZ,X000661.SZ,X601877.SH,X000100.SZ,X002179.SZ,X000596.SZ,X000157.SZ,X600460.SH,X002074.SZ,X000799.SZ,X002414.SZ,X600702.SH,X002007.SZ,X600741.SH,X600584.SH,X600183.SH,X002236.SZ,X601799.SH,X600089.SH,X600779.SH,X300146.SZ,X000800.SZ,X000066.SZ,X000977.SZ,X300003.SZ,X600884.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000157.SZ,0,0,0,0.0672972563695232,0,0,0,0.00637776843160505,0,0.444379191776502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346857730446486,0.0466752830912008,0,0,0.0726708142519333,0,0,0.0318406235582768,0,0,0.0387051232546336,0,0,0,0,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0,-0.0511684743753579,0,0,0,0,0,0.0949078673057653,0,0.0480797318585169,0.0493505222642004,0,0,0,0,0.157510571197437,-0.408929436255288,0.0989241265570973,-0.296809431134132,0,0,0,0,0,0,0,0,0,0,0.182720737699927,-0.103759954906789,0,0,0,0,0,0,0,0,0,0.165590014110009,0,-0.0127126357147191,-0.0838525379869201,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0.120279663640436,0,0,0,0.28174318109302,0,0,0,0,0.178774525683434,0,0,0,0,0,0,0.0721699596343075,0,0,0,0,0.0566475840679592,0,0,0.0212197391185425,0,0,0,0,0,0,0,0,0.0263740362421743,0,0,0,0,0.0639808081784733,0,0,0,0.0529463315400811,0,0,0,0,0,0,0
X000799.SZ,0,0,0,0.316121710544102,0,0,0,0,0,0,0,0.0295824733164389,0,0.136266411770924,0,0,0.0297135170445839,0,0,0,0,-0.0527766327495152,0,0,0,0,0,0,0,0.193756314000266,0,0,0,0,0,0,0,0,0,0,0,0,-0.0509013355464776,0.257047967501113,0.0286725926067815,0,-0.0157383944626791,0.186948960527971,0,0,0,-0.0688314301379393,0,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0639315795260581,0,0,0,0,0.158558138426351,0,0,0.00248618341948669,0,0.0801948018786485,0,0.332210777201444,0,0,0.0575781816819041,0,0,0,0,0,0,0,0,0,0,0,-0.0366601297304677,0.0575143414974392,0,0,0,0,0.0536425484851466,0,-0.0159533960607399,0,0,0,0,0,0,0
X600702.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103327020238008,0,-0.0327926108971939,0,0,0.180232927471742,0,0,0,0,0,0,0,0,0,0,0,0,-0.110549208754644,0.36730825037378,0,0,-0.229929144564362,0,0,0.156790719070777,0,-0.0700827564004961,0.132289184813524,0,0,0,0,0,0
X002007.SZ,0,0.029925857450225,0,0,0,0.0732048226907015,0,0,0.0887602146066016,0.0332557088769588,0,0.115080908300249,0,0,0,0,0,0,0,0,0,0,0.0768893900436791,0,0,0,0,0,0,0.0813457640159206,0,0,0.0436546392514591,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107488872390066,0,0,-0.0175973590809401,0,0,0,0,0,0
X600741.SH,0,0,0,-0.00744843115562005,0,0,0,0,6.93889390390723e-18,0.10184100910734,0,0,0.264705724231677,0,0,0.050890227105553,0,0,0,0,-0.143918948067859,0,0.0714215534465813,0,0,0.0461589148202245,0.202635384329161,0,0,0,0,0,0,0,0,0,0,0,0.0641010872654085,0,0,0,0,0,0,0.169121876602087,0,0,0,0,0,-0.0562907003600472,0,0,0,0,0,0,0
X600584.SH,0,0,-0.0162485861352774,0,0,0.113734402000903,0,0,0.146406679657654,0,-0.146357069469345,0.0785259065495752,0,0,0,0,0,0,0,0.230332783565816,0,0,0,0,0.191687888666093,0,0,0,0,0,0,0,0.0792946681471918,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110859893144437,0,0,0.0293248643261804,0,0,-0.0140506579738191,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0,0.0549361372134206,0,0.110836177454554,0,0,0,0,0,0,0,0,0.0655887220196853,0,-8.67361737988404e-19,-0.157141309437079,0,0,0.0712422369748143,0,0.0210555447094197,0,0,0,0,0,0.0498503163832058,0,0,0.0669312398986779,0,0,0.0336987133494445,0,0,0,0,-0.0417570145537533,0.0687706154989456,0,0.0879096914944896,0.0292622581250822,0,0,0,1.0842021724855e-19,-0.0206653646240527,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281305633628465,0,0.0740976357366954,0,-0.069490331814252,0,0,0,0,0.0124583223520774,0,0,-1.73472347597681e-18,-0.117203278795471,0,0.0838595865057208,0,0,0,0,0,0,0,0,0,0.0674041718587862,0,0,0,0,0,0.0531362867610922,0,-0.0129449102095662,0,0,0,0,0,0,0
X601799.SH,0,0,0,0.168066461319667,0,0.0284234417033063,0,0,0,0,0,0.102454731257131,0,0.0407923722205021,0,0.105832374468448,0,0,0,0,0,0.0750702658958687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021467139614367,0,0,0.0782567163745684,-0.0210530778571006,0,0,0,-0.0634706099884363,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0.0424493617657753,0,0,0,0,0,0,0,0,0,0.212071206978089,-0.0421778996144707,0,0,0,0,0,0,0,-0.00051244672499197,0.024799835171381,0,0.037659910998343,0,0,-0.000882014251290792,0,0,0,0,0,0,0,0,-0.0616834734561166,0,0,0.104798583631649,0,0,0,-0.00835461559566614,0,0,0,0,0,0,0
X600779.SH,0,0.434836174463751,0,0,0,0,0,0,0,0,0,0,-0.0196870108204697,0,0,-0.065942964488283,0.0819962575117072,0,0,0,0.0214225650005627,0,0,0,0,0,0,0,0,0.0637698644328698,0,0,0.138303696241965,0.040215207039398,0,0.340390900348919,0,0,0,0,0,-0.0339268187019027,0,0,0,0,0,0,0,0,0,0,-0.24452819668259,0,0,0,0,0,0
X300146.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0338915247582269,0,0,0,0.146510324756282,0.087932619755833,1.73472347597681e-18,0.0246061681737543,0,0,0,0,0,0,0,-0.0156740482305078,0,0,0.0580735807358195,0,0,0,0,0,0.131202687559996,0,0,0,0,0,0,-0.0206302301458486,-0.0406268503768072,0,0,0,0.45570424945323,0,0.00751114948176029,0,-0.0662216228208132,0,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0.0761653876116521,0,0,0,0,0,0,0,0,0,0.0336802962097747,0,0,0,0.103290740515372,-0.101703379490301,-0.00501144135214831,0.0994083030924803,0,0,0,0,0,0,0,0,0.00510852954266739,0.0863350856363649,0,0,0,0,0.134435084085231,0.0518989786159397,-0.0467487760302545,0,0,0,-0.0718726538589366,0,0,0.0200280082683197,-0.127115050953152,0,0,0,0.0494487843218516,0,0,0,0,0,0,0
