,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X002475.SZ,X000568.SZ,X600741.SH,X601877.SH,X600703.SH,X600271.SH,X002236.SZ,X000100.SZ,X300124.SZ,X300003.SZ,X002008.SZ,X000625.SZ,X600809.SH,X600487.SH,X000596.SZ,X000661.SZ,X600498.SH,X002007.SZ,X002456.SZ,X000157.SZ,X300142.SZ,X002179.SZ,X600177.SH,X300146.SZ,X600566.SH,X000050.SZ,X600089.SH,X600066.SH,X600522.SH,X002180.SZ,X600867.SH,X002129.SZ,X002506.SZ,X600372.SH,X002241.SZ,X000977.SZ,X600776.SH,X300136.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300003.SZ,0,0,0,0,0,0,0,0,0,-0.0541551596770373,0,0,0,0,0,0,0,0,0,0.164414107563488,0,0,0,0,0,0,0,0,0,0,0.456608449819411,0,0,0.0201806292917462,0,8.67361737988404e-19,0.772071088684139,0,0,0,0,0,0,0,0,0.421508765690972,0,0,-0.0305735547099278,0,0,-0.0198721410537239,-0.0894165605109328,0,0,0,0,0,0
X002008.SZ,0,0,0.166437659072984,0,0,0,0,0,0.0102855802711889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227122346780525,0,0,0.0968390260558183,0,0,0,0.117182364520934,0,0,0,0,0.0424880694681083,0.0604094820287908,0,0,0,0,-0.151009301166413,0.0998676668535214,0,0.019217161505116,0,0,0,0,0.0277046758708766,0,0
X000625.SZ,0,0.0835347523783679,0,0,0,0,0,0,0,0,0.0300776211839682,0.0207870294557959,0,0,2.16840434497101e-19,0.0764363658714556,0.0685418659415205,0,0.0589413147476559,0.272802954071138,0,0,0,0,0,0.124933296992665,0,0,0,0,0,0,0.100125351505502,0,0,0,0,0,0,0,0,0.228106509608594,0,0,0,0,0,0,-0.0428072165333972,0,0,-0.0337496468984685,0,0,0,0,-0.0236126794878779,0,0
X600809.SH,0,0,0,0,0,0,0.00763569264555963,0,0,0.0968208943209369,0,0,0,0.308978551793212,0,0,0.00825797479262337,0.0297678410143818,0.0413623965332376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024837744718208,0.0133590798328239,0,0,0,0,0,0.0240156014069386,0,0,0.0124677429241079,0,0,0,-0.0244418004219755,0,0
X600487.SH,0,0,0,0,0,0,0,0,0,0.295007970016957,0,0,0,0.0746879922023829,0,0.0150181881739243,0,0,0,0,0,0,0,0,0,0,0,0,0.271637543407538,0,0,0,0,0,0,0,0,0.0660454128574455,0,0,0.0488704408980508,0,0.0245753910998116,0,0,0,0,0,0.0302929349619287,0,0,0.00292493267388,0,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0,0,0,0,0,0.0220253721813039,0,0,0,0.0337257406162996,0,0,0,0,0,0,0.0190851581128626,0,0,0,0.472149842511913,0,0,0,0,0,0.0708209816773188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666302728698022,0,-0.00520147958663439,0.0183066051281253,0,0,0,5.42101086242752e-20,0,0
X000661.SZ,0,0,0,0,0,0.344256405808616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343329121869517,0,0.022872395800757,0,0,0,0,0.0276310335546918,-0.0676744142065293,0,0,0,0,0.0831607800762615,0,0,0,0,0,0,0,0,0,-0.030412119140577,0,0,0.0380157229963996,0.0797559293064597,0,0.00298548391891118,-1.73472347597681e-18,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0.0196006325529859,0,0,0,0.318766611923365,0,0,0,0,0,0,0,0.0126678814964358,0.055789103415574,0,0,0.0854733579749965,0,0,0,0.100225987160121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153644779301314,0,0,0,0,0,0,0,0.0274575950407127,0.183678208818319,0,-0.0222958197585458,0,0,0,0,-0.0151384741105681,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0.202396144222952,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.304385341739949,0,0,0,0,0,0,0,0,0,0,0.0283801241764613,0,0,0,0.367077011791538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194412383078719,0,0,0,0,-0.0056997079005635,0,0
X002456.SZ,0,0,0.0299736219633484,0,0,0,0,0.0528928398591216,0,0,0,0,0,0,0,0,0.272296730281222,0,0,0.0156765436568037,0.408773467623547,0.00761466108643255,0.37464508826327,0,0,0,0,-0.128064887392801,0,0,0,0,0,0,0,0,0,0.144771497269812,0,0,0,0,-0.059727970907049,0,0,0,0,0,-0.119233368783462,0,0,-0.00909080081165238,0,0,0,0,0,0,0
