,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X600104.SH,X000568.SZ,X003816.SZ,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002241.SZ,X002463.SZ,X600089.SH,X600584.SH,X000977.SZ,X600703.SH,X000157.SZ,X600372.SH,X002028.SZ,X002049.SZ,X600522.SH,X000066.SZ,X600741.SH,X002236.SZ,X600839.SH,X600183.SH,X601877.SH,X600066.SH,X002456.SZ,X600460.SH,X002156.SZ,X000661.SZ,X002074.SZ,X000800.SZ,X600487.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000568.SZ,0,0.178274623299692,0,0,0,0,0.401880487690752,0,0,0,0,0,0,0,-0.0151410037931336,0,0,0.234489942584784,0,0.0790059330386598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554975502210187,0,0,0,0,0,0,0,0,0,0,0.0134628305642668,-0.0440987994791348,0,0,0,0,0
X003816.SZ,0,0,0,0,0.0955582180023456,0,0,0,0,0,0,0,0,0.0912825310394937,0,0,0,0,0.366884324246157,0,-0.0320548143751917,0,0,0,0,0,0,0.0267396874621334,0,0,0,0,-0.175123423708349,0,-0.0717965165383159,0.00724288436719153,0,0,0,0,0,0,0,0,0,0,-0.113999157295268,0.0953780863885118,0,0,0,0,0,0.294146003784479,0,0,-0.0667150466574391,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0760608677115743,0,0,0,0,0,0.0359455664406103,0.00714374508685931,0.468853040108444,0.039164094355136,0,0,0,0,0,0,0.0614543751166234,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0869220846684524,0,0,0,0,0.0255980841269906,-0.0556020202768693,0,0,0,0.000383634854002827,0,0,-0.0129146048226419,0,0,0,0,0.0345355875050553,0,0
X300124.SZ,0,0,0.0429659493948108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466749776317716,0,0.246587139809383,-0.0220646505431432,-0.111663402233974,0,0,0,0,0,0,0,0,0.0121814835843212,0,0,0,0,0,0.0477443341492834,0,0,0.0467582347651953,0,0,0,0.0408183618974574,0,0.010712768610514,0,0,-0.121663579984148,0,0,0,0,-0.070279037865068,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0.109555732717164,0,0,0,0.0929766588556072,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136713608800779,0.211897910762155,0,0,0,0,0.325482596428049,0,0.139100878815274,0,0.026193805181822,-0.0130918685734037,0,0,0,0,-0.125947790984767,0,0,0,0,0,0,0,0,0.0855743637247069,0,0,0,0.0162460701647537,0,0
X600031.SH,0.0407174036760878,0,0,0.0490496755075485,0,0.147760415569797,0,0,0,0,0.186617365364558,0,0,0,0,0,0,0,0,0,0.1115593325158,0,0,0,0,0.0799085089173969,0,0,0,0,0.0838263242570235,0,0.0216756255431056,0,0,-0.00579998515931164,0,0,0,0,0,0,0,-0.0345924458233334,0,0,0,0,0,0,0,0,0,0,0,0,-0.0111625231421485,0,0
X000625.SZ,0,0.0500377424385212,0,0,0,0,0,0,0,0.0516983829283265,0,0,0,1.73472347597681e-18,0,0,0,0.23852822906096,0.0833249754792608,0,0.157035668770123,0.0276862154288646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105004965383567,0,0,0,0.114481053216421,0,0,0,0,0,0,0,0,-0.0207045341758258,0,0,0,0,0.0100222560486759,0,0
X002304.SZ,0,0.512599891177962,0,0,0,0,0,0,0,0.0966840818454584,0.0326419683584959,0,0,0.0890628550295732,0,0,0.0711573996652054,0,0,0,0,0,0,-0.115193994496673,0.0147647596271435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.179361151058468,0.0351690988291742,0,0,0,0,0,0,0,0,0,-0.0939464001746481,0,0,0,0,0,0,0
X000338.SZ,0,0.157197235876959,0,0,0,0,0,0,0,0.0517597351530117,0.209782161786916,0.127234340679208,0,0,0,0,0.032666672503374,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.184640189369161,0,0,0,0,0.0146215960055132,0,0,0,0,0,0.0954055265595388,0.00107606275742809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0,0,0.406133718385548,0,0,0,0.371090234516205,0,0,0.0226575894486362,1.73472347597681e-18,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,-0.140192277622017,0.0212167910871992,0,0,0,0,0,0.0168464575891574,0,0,0,0,0,0.0528564952339058,0,0,0,0,0,0,0.0576869727695314,0.0147536222816397,0,0,0,0,0
X300014.SZ,0,0,0,0,0.00510941579949205,0,0.0611968409627639,0,0,0,0,0,0,0.274411913457605,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,8.67361737988404e-19,0.0975316688448704,0,0,0,0,0,0,0,0,0,0.19107887096592,0,0,0,0,0,0,0,0,0,0,0.598252561668009,0,0,0.217294603561053,0,0,0.0221189837188407,0,0,0,0.0159243079758561,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00659185878465023,0,0,0,0,0.220325293572006,0.0281809215039682,0.23849507508313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259292948821247,0,0,0.0932039743193419,0.0818783005934107,0,0,0,0,0,0,0,0,0,0,0,-0.0203068962780641,0,0,0,0,0,0,0
X002179.SZ,0,0,0,0.0333532895181984,0,0,0,0,0,0,0,0,0,0.182875561220326,0,0,0,0,0,0,0.0550147551895213,0,0,0,0,0,0,0,0,0,0,0.179752826587219,0.0217402011207802,0,0,0.0610861671404149,0,0,0,0,0,0,0,0,0,-0.0259049504180105,0,0,0.157207261504383,0.0868634627847977,0,0,0,0,0,0,-0.00311944644149702,0,0
X600418.SH,0,0,0,0,0,0,0.165155242026728,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.049228503513118,0,-0.0344259200348441,0,0,0,0,0,0,0,0,0.226006324603583,0,0,0,0,0.315062942222578,0,0,0,0,0.0782467616304732,0.393404329381554,0,-0.158457140945811,0,0,0,0,0,0,0,0.0826434641508557,0,0,0,0.0369115529645186,0,0
X002241.SZ,0,0,0,0,0.21733449592764,0,0,0,0,0,0,0,0,0,0,0,0,0.189371384199844,0,0,0.0302240225270669,0,0,0,0,0,0,0.157376820352662,0,0,0,0.174344955662835,0,0,0,0.0434218311358544,0,0,0.139748094907529,0,-0.01310257930445,0,0.0753058741431213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0440994689468033,0,0
