,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X002236.SZ,X002241.SZ,X002475.SZ,X000625.SZ,X600741.SH,X600031.SH,X002456.SZ,X000338.SZ,X600066.SH,X300124.SZ,X000100.SZ,X300136.SZ,X601877.SH,X600809.SH,X002008.SZ,X300003.SZ,X002085.SZ,X600487.SH,X600271.SH,X600089.SH,X002508.SZ,X600177.SH,X600522.SH,X000157.SZ,X000050.SZ,X600118.SH,X002294.SZ,X600867.SH,X300115.SZ,X600699.SH,X000559.SZ,X000981.SZ,X600372.SH,X600566.SH,X600498.SH,X000623.SZ,X002180.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600699.SH,0,0,0.0778672224813936,0,0,0,-0.108127934197052,0.0964512478106067,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.0109717509325575,0,0,0,0,0.0186179237969354,0.092240963674515,0.0774032022376,0,0,0.14609772161466,0,0,0,0.21529777132709,0,0,0,0.105488850954606,0,0,0,0,0,0.207602251525665,0,0,0,0,-0.00165009749640498,0.0184290040857306,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0.0432614727869846,0,0.0271479619543752,0,0,0,0,0,0,0,0,-0.0609257778633466,0,0,0,0,0,0.129002923016958,0,0.117767646891663,-0.165343958580597,0,0,0.180032513727114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481106247213904,0,0.00526839910787475,0.126196777769743,-0.147024903970174,-0.011283826691897,0.0114570015252734,0,0,0,0,0,0
X000981.SZ,0,0,0,0,0.136662783804931,0,0,0,0,0.0198209983500777,0,0,0.0200934950696134,0,0,0,0,0,0,0.0590088579376452,0.0438488222794058,0,0.0644690438943418,0,0,0,0,0,0,0,-0.102263932654569,0.0140092188780733,0,0.0314720155739859,0,0,0.0394358691440765,0,0,0,0,0,0,0,-0.0241941880833293,0,0,0,0.0691781150491652,0.0123350540240981,0,0.0259164562124033,-0.0148649244689249,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,-0.152798463707807,-0.0789597645638088,0,0,0.0390363014264487,0,0,0,0,0,0,0,0,0,0,0,0.047720431178178,0,0,-0.0213744670364972,0,0,0,0,0,0,0,0,0.770772104997983,0,0.195682579243797,0,0,0.0887885215540689,0,0,0,0,0,0.0655766761956083,0.0547397181883147,0.0101566012871273,0,0.000985826009655759,0.0968123385283185,0,0,0,0,0
X600566.SH,0,0,0.0228904192973468,0,0,0,0,-0.25522873443188,-0.0203051107586948,0.31989795361909,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0553353445012001,0,0.160361024556551,0,0,0.0564938009904373,0,0,0.0280729867033187,0.155395093565607,0,0,0,0,0,0,0,0,0,0,-0.0725458645009313,0,0,0,-0.0420299579291861,0,0,0,0,0,0,0,0,0,0.00295033135122315,0,0,0,0,0,0
X600498.SH,0,-0.142162138247586,0,0,0,0.0146349377696157,0.0103659675435458,0,0.159626132847137,0,0,0,0,-0.0294600699668783,0,0,0,0.1076081769016,0,0,0,0,0,0,0,0,0,0,0,0.20249466034501,0.0125740981551657,0,0,0,0,0,0,0,0,0.0279414735669391,0,0,0.0946510569782453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000623.SZ,0,0,0,0,0,0,0.0617317714829099,0,0.0626688421239231,0,-0.192472456018105,0.0871017089022965,0,0,0,0,0,0.116126796876497,0,0,0,0,0,0.0256902890843372,0,0,0,0,0,0,0,0,0,0,0,0,0.0683324008357465,0,0,0,0.0376332913820359,0,0,0,0,0,0.0309834748083583,0,0,0,0,0.00750307053010899,0.00446994111545956,0.100591805437198,0,0,0,0,0
X002180.SZ,0,0,-0.0287351023002713,0,6.93889390390723e-18,0,0,0,0,0,-0.0311364263515777,0,0,0,0,0,0,0,0,0.0511665698297194,0,0,0,0.268663429441472,0,0.229402121592024,-0.389409694924776,0,0,0,0,0.0954448143886464,0,0,0,0,-0.247861865787625,0,0,0,0,0,0.337187900979572,0,0.267709589921385,0,-0.167194435448382,0,0,0,0.281830066597245,-0.0226320795365567,0.0591524399135472,0,0,0,0,0,0
X002074.SZ,0,0,0,0,-0.090920581918601,0,0,0,0,0,0,0,0,0,0,0,0.0472194991574404,0.320957719282578,0,0,0,0,0,0.141751108542209,0,0,0.0962212465476062,0,0,0,0,-0.229003093753142,0,0,0,0,0.0823985689848885,0,0,0.00488735297152986,3.46944695195361e-18,0.179480372144184,0,0,0,0,0.117785036988868,0,0,0,0,-0.0245423585087234,-0.00205969011425952,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0.032080527452035,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0926243736325032,0.12340229712124,0,-0.305683679613702,0,0,0,-0.0713532168676652,0,0,0,0,0,0,0,0.0226960569188341,0,0,0,0,0,0,0,-0.0759458999980198,0,0,-0.0187284054404756,0,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,-0.928245154018956,1.11040025283319,0,0,0,0,0,0,0,0,0.265042028943876,0,0,0,0,0,0,0,0,0,-0.633595081733696,0,-0.0941721919550836,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.144637450660262,0,0,0,0,-0.614488841404432,0,0,1.92765284977971,0,0,0,8.08535679754879,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602177494222452,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0.0948159956208282,0,0,0,0,0,0,0,0,0,0,-1.42539567736633e-05,0,0,0,0,-0.0856224090222613,0,0,0,0,0,0,0,-0.26511011975042,0,0,0,0,0,0,0,0,0.11036527689123,0,0,-0.0172559184113212,0,0,-0.0181198265564044,0.0411814344526692,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0.0440745468252316,0.0331697530242238,0,0,0,0,-0.0530106880695698,0,0,0,0,-0.0509662177027587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.039962289490667,0,0,0,0,0,0,0,0,0,0,0,-0.0603378546369347,-0.00257321391568928,0,-0.00111541412467492,0,0.00384782837288685,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,-0.00032879724707713,0,-0.000426423490304086,0,0,0,0,0.000191791866899687,0,0,-0.00113577558175368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00125959042772296,0,0,0,0,0,0,0,0,0,0,0,0,0.000109066367748036,0,-0.0011390442102188,0.00111293582177403,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,-0.00800178110109141,0,-0.00684993936260257,0,0,-0.01946521580735,0,0,0,0,0,0,0,0,-0.0100724880356434,0,0,0,0,0,0,0,0,0,0,-1.35525271560688e-20,0,0,0,0,-0.00610216761041771,0,0,0,0,-0.0299944139946726,0,-0.00396062040407006,-0.00646085917216051,0,0.0295751176413633,-0.0409070908346913,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,-0.0131735479850498,0,0,0,0,0,0,0,0,0,-0.00762404461292853,0,0,0,0,0,-0.000156729054567639,0,0,0,0,-0.021122580905869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215614192170451,-0.0186658999440229,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0.00604632369154953,0,0,0,0,0,-0.00358019246417531,0,0,-4.33680868994202e-19,0,0,0,0,0,-0.00483561063640008,-0.0050155272879709,-0.00542152860087556,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00908916493197395,0.00792304200351478,0,0,0,0.00376729784505885,-0.0107513957954857,0.0229237852617328,-0.00238685407733705,0.0136095642166989,0,0,0,0,0,0
