,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X600690.SH,X000063.SZ,X000568.SZ,X600703.SH,X600741.SH,X002236.SZ,X600031.SH,X002475.SZ,X000338.SZ,X000625.SZ,X601877.SH,X002008.SZ,X002456.SZ,X600066.SH,X300124.SZ,X002508.SZ,X600809.SH,X000100.SZ,X300003.SZ,X600487.SH,X002241.SZ,X002294.SZ,X600271.SH,X600867.SH,X600522.SH,X300136.SZ,X600089.SH,X000157.SZ,X600177.SH,X000981.SZ,X600566.SH,X000596.SZ,X000050.SZ,X002085.SZ,X600707.SH,X002180.SZ,X000661.SZ,X600498.SH,X002179.SZ,X600699.SH,X300142.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208759257750988,0,0.107056048710566,0.0939394459051892,0,0.0960190131975272,0,0,0,0,0,0.113048492916974,0,0,0,0,0,0,0,0,0,0,0,0,-0.0630645384331727,0,0,0,0,0,0,0,0,0,0,-0.0205086026166434,0.0309118401809752,0,0,0,0,0,0
X002508.SZ,0,0,0,0,0,0,0.0472692028139971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27176047400103,0,0,0.0577959982642452,0,0,0,0,0,0.114154398462214,0,0,0,0,0,0.0755263350432887,0,0,0,0,0,0,0,0,0,0,0,-0.00058368258686807,-0.00802588977086267,0,0,0,0,0,0
X600809.SH,0,0,0,0,0.460848807858878,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125551872614898,0,0,0,-3.46944695195361e-18,0,0,-0.0525898424078875,0,0,0,0,0,0,0,0,0,0.137263956784669,0,0,0.221683462236732,0,0,0,0,0,0,0,-0.0189205768085914,-0.0768440560202857,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0.191013237929663,0,0,0.0247407484672293,0,0,-0.0254373862106923,0,0,0.089002061168191,0,0,0,0.244009959685204,0,0,0,0,0.0863520215165727,0,0,0.0669182392688114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227240811406017,0.197859300762402,0,0.0447350124089965,0,0,0,0.0132905325933247,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0755087794568202,0,-0.0424829117213578,0,0,0.388589555681587,0,0,0,0,0.237655426634469,0,0,0,-0.0123219278050254,0,0,0,0,0,-0.0614110132621855,0,-0.110686406856897,0,0,0,0.030114977242664,0,0,0,0,0,0,-0.00863758639511765,0,0,0,0,0,0
X600487.SH,0,0,0.0516014097008638,0,0,0,0,0,0,0.280453976183519,0,0.0241213095726997,0,0.017656067267581,0.124234886548376,0,0,0,0.00446074762973283,0.0992109229808461,0,0.327115969758302,0,0.0756940208252399,0.0942407804990652,0,0.170906550422356,0,0.287353611224426,0,0,0,0,0,0,0,0,0,0,0,0.217801151765797,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,-0.252733518367493,0,0,0,0,0,0,0,0,0,0,0,0.276164386899963,0.0383357157357525,-0.0253229241848866,0,0,0,0.0410324076136026,0,0,0,0,0,0,0,0.0330586703568432,0,0,0,0,0,0,0,0.00712669362178733,0,0,0,0,0.247487607175848,0,0,0.0858003005751354,0,0,0.0472535048137101,-0.0562061747518526,0,0,0,0,0,0
X002294.SZ,0,0,0.191437580572993,0,0,0,0,0,0,0.0350778674202588,0,0.151880064368718,0.128369018290961,0,-0.119726546918335,0,0,0,-0.00487682280915806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10152815679671,0,0,0,0,0,0,0,0,0,0,0.0637843131156373,0.00991542320095767,0,0,-0.119332735146278,0,0,-0.00162267393269743,-0.0422747922398962,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0.0874335950573201,0,0,0,0,0,-0.00826741561575662,0,0,0,0.0600296468762272,0,0,0.0128135244590669,0,0,0,0,0,-0.0468436130213146,0,0,0,0,0,0,0,0,0,0,0.190581923952652,0,0.0355907902106908,0,0,0,0.237650123778989,0,0.251659110314758,0,0,0,0,0.0238828682117,-0.198537411648564,0,0,0,0,0
X600867.SH,0,0,0,0,0,0.0818164377189662,0,0,0,0.167470359194092,-0.0505297819568189,0,0,0,0,0,0,0,-0.0523580196816923,0,-0.0276564929998631,0,0,0.260738155773996,0,0,0,0.216907221029275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137054784785862,0,0,0,1.73472347597681e-18,0,0,0,-0.0086150774325499,0,0,0,0,0,0
X600522.SH,0.180393039726775,0,0.177482573864772,0,0,0,0,1.73472347597681e-18,0,0,0,0.195369537809486,0,0,0,0,0,0,0.215163137910057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0837719044153866,0.240384743091919,0,0,0,0,0,0,0,0,0,0,0.00283374592465511,0,0,0,0,0,0,0
X300136.SZ,0,0,0.768832226399673,0,0,0,0,0,0,0,0,0,-0.0750849775479904,0,0.0650885718798519,0.143595439925413,0,0,0.179662141328317,0,0.196683479214043,0,0,0,0,0,-0.0386704671381615,0,0,0,0,0,0,0,0,0,0,0,0,0.0965263719953408,-0.163132181451372,0,0,0,0,-0.0888025813429891,0,0,0,0,0,0.0470113276025447,-0.142508065118541,0,0,0,0,0,0
X600089.SH,0,0,0.0914764647701972,0,0,0,0,0,0,0,0,0.0239345314180791,0,0,0,0,0.256912936222442,0,0.0468702898300301,0,0.00232615905599342,0,0,0,0.0888464482195853,0,0,0.00971936044806345,0.0658895205232229,0,0,0,0,0,0,0,0,0,0.117724259093663,0,0.0816665873518772,0,0,0,0,0,0,0,0,0,0,0,-0.012339418140926,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0.0486516438270117,0,0,0,0,0,0,0.093736892696632,0,0,0,0,0,0,0,0.0534542776258441,0,0,3.46944695195361e-18,0,0,0.0398390097581021,0,0,0,0.0256235808829489,0,0,0,0,0.051642193364944,0,0.0117958715338901,0,0.217838948876598,0,0,0.0614109683338253,0,0.0257822342318364,0,0,0,-0.00274828857501939,0.0656402682955941,0,0,0,0,0
X600177.SH,0,0,0,0,-0.137607425761077,0,0,0,0,0,0,0,-0.075004844331911,0,0,0,0,0,0,0.0274611830721516,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.0156128117456109,0,0,0,0,0,0,0.281701631865857,0,0,0.21328102704926,0,0.0521965907729392,0,0,0,0,0,-0.0100367051229632,-0.0213464888086159,0,0,0,0,0,0
X000981.SZ,0,0,0,-0.150291558573464,0,0,0.0963127020665613,0,-3.46944695195361e-18,0.0023036449678932,0,0,0,0,0,0,0.0443655939312274,0,0,0,0,0,0.0574876842932289,0,0.0818916409736527,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00882419394652754,-0.0753137675857965,0,0,0,0.00886278427607559,0,0,0,0,0,0,0,-0.0166235788491449,0,0,0,0,0,0,0
X600566.SH,0,0,0,0,0,0,0.0261320339940241,0,0,0,0,0.00170730044282463,0,0,0,0,0,0,0,0,0,-0.0474676942494878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183073252989064,0,0,0.166661971531642,0,0,0,0.0582290529986096,0,0,-0.052550857858632,0.0411720951662419,0,0,0,0,0,0
X000596.SZ,0.355886803435583,0,0,0,0.0470804774919553,0.15343365364437,0,0,0,0,0.0833384343170335,0.039527844579408,0,0,0,0,0,0,0,0.0213853022831013,0,0,0,0,0,0.0430884397421867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0254322243518521,0,0,0,0,0,0,0
