,X600104.SH,X600519.SH,X000651.SZ,X000725.SZ,X002415.SZ,X002304.SZ,X000625.SZ,X000858.SZ,X600031.SH,X000063.SZ,X600690.SH,X000338.SZ,X600276.SH,X000157.SZ,X600372.SH,X600741.SH,X600089.SH,X002241.SZ,X000100.SZ,X600703.SH,X600066.SH,X600118.SH,X000623.SZ,X601877.SH,X600271.SH,X000568.SZ,X000550.SZ,X000581.SZ,X002236.SZ,X000800.SZ,X600177.SH,X002475.SZ,X000869.SZ,X600582.SH,X002294.SZ,X300124.SZ,X000559.SZ,X600839.SH,X002129.SZ,X000400.SZ,X000050.SZ,X600809.SH,X002456.SZ,X002007.SZ,X000977.SZ,X002465.SZ,X600252.SH,X002292.SZ,X300003.SZ,X600312.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600118.SH,0,0,0,0,0,-0.0939693643147129,0,0,0,0,0,0.13118711403747,0,0.432761417240164,0.513271108118495,0,0.0404198230007901,0,0,0,0,0,0,0,0,0,0,0,0.105655763397961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702158874979665,0,0.314654057607622,0.0439693795522631,0,0,0.0306721604666046,-0.0111472590919672,0,0,0,0,0,0
X000623.SZ,0.0518507242050717,0,0,0,0,0,0.0157325671295104,0,0,0,0,-0.000526272347562287,0,0,0,0,0,0,0,-0.0734577022901985,0,-0.17797838508901,0,0,0,0,0,0,0,0,0.706227922326633,0,0,0.277112020736429,0.215488139144142,0,-0.233995259685761,0,0,0,0,0,0,0.181065332559372,-0.0469208024010371,0,0,0,0,0,0,0.0284748453307692,-0.0138849340800345,0,0,0,0,0,0
X601877.SH,0,0,0.078279897443221,0,0,-0.00864260331030949,-0.0883566053129813,0,-0.0925002542362138,0,0,0,0,0,-0.0889484450203264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0908779189477791,0,0.0129752457501004,0.17637737764314,0,0,0,0,0.132608247852273,0,0,-0.0731815962744429,0.00665121752440482,0,0,0,0,0,0,0,0,0.00659086859996926,-0.0220841453565083,0,0,0,0.0337109418902035,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110482133521101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033691937893942,0,0,0,0.24074007040653,0,0.181687071270381,0,0,0,0,0,0,0.0594837009570465,0,0.158257984254131,0.169828761869345,0.0863985824291716,0,0.0672594585668578,0,0,-0.062012013763814,-0.0195399262197517,0,0,0,0,0,0
X000568.SZ,0,0,0.139736405526368,0.046584852354123,0,0,0,0.0988300381585651,0,0,0,0,0,0.040709952554435,0,0,0,0,0,0,0,0,0,0.0533148394780788,0.0555754611703234,0,0,0,0,0,0.142350771822363,0,0,0.141590710753684,0,0.028270979640422,0,0,0,0,0,0,0,0,0,0,0,0,-0.0922705290418895,0,0,0,0,0,0,0,0,0,0
X000550.SZ,0.167977621833861,0,0,0,0,0,0,0,0.00586710643150703,0,0,0,0,0,0,0,0,0,0,0.115475849617267,0,0,0,0,0,0,0,0.168599717220626,0,0,0,0,0,0.0172250084537665,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0917444461092449,0,0.0215474092281025,0,0,-0.000490543388281572,0,0,0,0,0,0
X000581.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00328424695877319,0,0.0610181512535005,0,0,0,0,0,0,0,0,0,0,0,0.0424959176256789,-0.0334233484066539,0,0,0.0439599829845362,0.210593225301808,0,0,0,0,0.0772629019570452,0.0964329563372458,0,0.0811007697781936,0,-0.0339964616489787,-0.0159199920714629,0,0,0,0,0,0
X002236.SZ,0,0.0309723214339552,0,0,0.171631461785206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117294181308262,0.0664932279520967,0,0.0962929851497929,0,0,0.0521155712586852,0.347361779878661,0.0176957200447807,0,0,0,0.0591359160018637,0.14127027828906,0,0,-0.0170283595035352,0,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310123585272566,0.0713902140968772,0,0.114009375052852,0,0.0336234629991383,0,0.022907383170476,0,0.0663237044224952,0,0,0,0,0,0,0,0.0461980462373211,0,0.174075215794934,0,0,0,0,0.124275281320748,0,0,0.0163029018086094,0,0,0,-0.0212583086883503,0,0,0,0,0,0
X600177.SH,0.120531506332575,0,0,0,0,0,0,0,0,0.0599934975303395,0,0,0,0.034741782295585,0,0,0,0,-0.00459257574618696,0,0,0.0958790473869165,0.362194763181161,0,0,0,0,0,0,0.0067313347784137,0,0,0,0,0,0,0,-0.0266113037981221,0,0,0,0,0,0,0,0.185392399526184,0,0,0,0,0,2.16840434497101e-19,-0.00390494770463886,0.00180203726531195,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184101625606811,0,0,0,0,0,0,0,0,0,0,0,0.13456574226816,0.139134812079558,0.0822597247888384,0.069169558149595,0.0742149825633473,0.0483016912102141,0,0.0541231474831717,0,0.0756517446534824,0,0,0,0,0,0,0.00885885572671854,0,-0.0250570648500029,-7.79254792299626e-05,0,0,0,0,0,0
X000869.SZ,0,0,0,0.167169986585931,0,0.317574019221029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055229622122951,0,0,0,0.0894873469028945,0,0,0,0,0,0,0,0,0,0,0,0.0738911720018976,0,0,-0.052945904882055,0,0,0,0,0,0,0,0,0,0,0,0.00644340636916145,-0.00634481875450773,0,0,0,0,0,0
X600582.SH,0,0,0,0,0.0523636723738369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128005162308717,0,0.111258134098985,0.280559770769263,0,0.0159444175055117,0,0,0,0.256671416759673,0.149985214898769,0,0,0,0,0,0,0,0,0.0661677206656564,0,0,0,0,0.014327995614213,0,0,0,0,0,-0.0240845112795242,-0.0211448272445794,-0.056144609079635,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0,0,0.0750230947150516,0,0,0,0.14609581740057,0,0,0,0.00372822251500782,0.0762941687312846,0,0,0,0,0,0,0,0,0.0411845498007203,0,0,0.0840709782544245,0,0,0,0,0.0226177194031989,0,0.106587039027178,0,0,0,0,0,0,0,0,0.202016097176083,0,-0.0228331920446727,0,0,0.000591261403111216,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0883174972998994,0,0,0,0.0178105671592555,0,0,0,0,0,0,0,0.0282143888863134,0,0.608699361516601,0,0,0,0,0,0,0,0,0.017728406641995,0,0,0,0.0141193633049619,0.104714429323575,0,0,0,0,0.0866609693463881,0,0,0,-0.0171625734526179,-0.0102346543990448,0,0,0,0.158214998451324,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0,0.202171540023092,0,0.0450088664924644,0.147731721479142,0.165983962731164,0,0,0,0,0,0,0,0,0,-0.0647019714672212,0,0,0.418937212758269,0.0287606382487112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093308293850094,0,0.0935217871806472,0.0443861424653202,0,0,0,0,0.0495480098633403,-0.0233085325070287,0.106645390562097,0,0,0,0,0
X600839.SH,0.0953868204558985,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148604061255144,0,0,0.258145355820645,0,0,0,0,0,0,0.0166818098640975,0,0,0,0,0.0522204096732823,0,0,0.418984924064079,-0.121181678812535,0,0,0.00602186615736175,0,0,0,0,0,0,0,0,0.181968435887378,0,0.258550841076248,0,0,0,-0.0180275422142803,-0.00825917454401033,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,-0.106078346603159,0,0,0,0,0,0.0141746949858426,0,0,0,0,0,0,0.0218472643062275,0,0,-6.93889390390723e-18,0,0,0,0,0,0,1.38777878078145e-17,0,0.0401366083540718,0,0.15033843509061,0,0,0,0,0.11074789093848,0,0,0.0965369633421509,0,3.46944695195361e-18,0,0.0571255478419339,0.0663051003260469,0,0,-0.0288672012193601,0,0,0,0,0,0,0
