,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600271.SH,X002241.SZ,X600066.SH,X000100.SZ,X002292.SZ,X600118.SH,X600031.SH,X002236.SZ,X002475.SZ,X000568.SZ,X600177.SH,X000559.SZ,X002506.SZ,X002074.SZ,X600372.SH,X000157.SZ,X300003.SZ,X000338.SZ,X002456.SZ,X300124.SZ,X000050.SZ,X002426.SZ,X002085.SZ,X002249.SZ,X600867.SH,X002007.SZ,X002294.SZ,X600089.SH,X002465.SZ,X000869.SZ,X002180.SZ,X600699.SH,X002508.SZ,X000981.SZ,X002049.SZ,X002179.SZ,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600703.SH,-0.0425605925629168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167918274257252,0,0,0,0,0,0,0,0,0,0,0,-0.0724517665292873,0,0.12486532836129,0,0,0.0893636417502155,0,0,0,0,0,0,0.118642885047157,0,0,-0.0459570656850066,-0.108209929590137,0.0197573387593699,8.67361737988404e-19,0,0,0,0.0143850216288621,0,0,0,0,0,0,0
X600741.SH,0,0.0743462394229533,0,0,0,0,0,0,0,0.0406475114601449,0.128097338105713,0,0.114789007331547,0,0,0,0,0,0,0,0,0,0,0,0.0368500826194585,0,0,0,0,0,0,0,0.112394188150335,0.0173364821322028,0,0,0,0.0454062472383475,0,0,0,0,0,0.0407021499032426,0,0.0821701627283993,0,0,0,0,0,0,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0,0,0.177055462587717,0,0,0,0,0.0384954171919365,0,0.165100642342347,0,0,0,0,0,0.0319554657364405,0,0.0676827053331599,0,0,0,0,0,0.123669843619798,0.123256043343456,0,0,0,0,0,0,0,0,0,0,0,0,0.0126707065801248,0,0.0554899581004621,0,-0.00985144677267975,1.73472347597681e-18,0.278205328895799,0,0,0,0,0
X002241.SZ,0,0,0,0,0.0639149702129209,0,0,0,0,0,0,0,0,0,0,0,0.0772255613673062,0,0,0.138837200890649,0,0,0,0,0,0,0,0,0,0,0,0.0382842706480322,0,0.0821975252876495,0,0,0,0,0,0,0,0,0.0314683285196815,0,0,0,0.0207917579572787,0,0,0,0.0016991919121827,0,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045111881746831,0,0,-0.00220555546456426,0,0,0.0192733471581187,0,0,0.147723985984973,0,0,0,0,0,0,0,0.169993076163897,0,0,0,0,0,0,0,0,0,0.0820652352301717,0,-0.00022183856614948,0.004109643979719,0,-0.293298482422083,0,0,0,0,4.33680868994202e-19,-0.0542595509908008,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324735600883147,0,0,0.0812476607647494,0,0,0,0,0,0,0,0,0.0433072313345844,0,0,0.035632151669071,0,0.178650740628325,0,1.73472347597681e-18,0,0,0,0,0.0162527910712781,0,0,0.0160467695841934,0,0,0,0,0.0396505806208918,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0,0,0,0,0,0.156512816038704,0,0,0.055140341880283,0,0,0,0,0,0,0,0,0,0,0.186416461249535,0.0831033768784717,0,0,0.0515923533198151,0.210935878027029,0,0,0.152899334705982,0,0,0.2892031341489,0,0,0,0,0,0,-0.00188160627596261,0.0882270250641653,0.0909039145575088,0,0,0,0,0,0.0420779872790142,0,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099282255485301,0,0,0.129662765881614,0,0,0,0.0406797778597167,0,0,0.053143992561066,0,0,0,0.101739796559738,0,0,0,0,0.00100758376986019,0,0,0,0,0.208775237694298,0,0,0,0,0.0248984009885185,0.0860713883913974,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0.0250638300647209,0,0,0,0.186586001333639,0,0,0,0.0393135053449278,0,0,0,0,0,0,0.00611658234804937,0.0601360788356729,0,0.078617199458447,0.132176142436238,0,0.138613461771837,0,0,0,0.0202411546851251,0,0,0,0,0,0,0,0,0,0,0,0.0925293198539787,0.146845784678946,0,0,0,0.0113609621888849,2.16840434497101e-19,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0.155859265315162,0,0,0,0,0,0,0.200358888320181,0,0,0,0,0,0.0258647529395283,0,0.02979510460206,0,0,0,0,0.241731859338914,0,0.0456312567535117,0.0997199610505256,0,0,0,0,0,0,0,0,0,0.0526065030294598,0,0.00924288557233863,0,0,0,0,0,0.0179242181639219,0,0,0,0,0,0
