,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X003816.SZ,X002475.SZ,X000625.SZ,X600104.SH,X000725.SZ,X300124.SZ,X000338.SZ,X002371.SZ,X002304.SZ,X000596.SZ,X600031.SH,X000063.SZ,X000100.SZ,X000157.SZ,X300014.SZ,X600089.SH,X002179.SZ,X002236.SZ,X600703.SH,X000977.SZ,X002463.SZ,X600741.SH,X600372.SH,X002241.SZ,X002049.SZ,X600066.SH,X002028.SZ,X000661.SZ,X000921.SZ,X002129.SZ,X600584.SH,X600522.SH,X601877.SH,X000800.SZ,X601799.SH,X600566.SH,X600183.SH,X002074.SZ,X600418.SH,X002223.SZ,X002007.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000625.SZ,0.0219747407281679,0,0,0,0.238461269537676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092612016805058,0,0,0,0,0,-1.73472347597681e-18,0,0,0.185186019901234,0,0.0109556895500268,0,0,0,0,0,0,0,0,0,0.0332576166206694,0.0375069848963168,0,0.418442042977911,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0.0382334033506276,0,0,0,0,0,0,0.0292479231501813,0,0,0,0,0,0.0331613776293622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0319619543216386,0,0,0,0,0.0477287615290798,0,0,0,0,0.103657900291603,0.0476342620779396,0,0.014785739010324,0.00969875559894104,0,0,0,-0.0084874124400416,0,0,0,0,0,0,0
X000725.SZ,0,0,0.0212108228145283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218931364295191,0,0,0,0,0.104794088324548,0.172090008086164,0,-0.00679438275047244,0,0,0,0,0,0.00666942743824497,0,-0.0902157015635077,0,0,0,0,0,-0.0317861582527637,0,0,0,0.00811315877546349,0,0,0,0,-0.00785729365464359,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,-0.0598576304068685,4.33680868994202e-19,0,0.212906059830724,0,0,-0.0186462334566067,0,0,0,0,0,0,0,0,0,0.087012867753313,0,0,0,0,0,0,0,0.107344175942563,0,0,0.10493140280906,0,0,-0.00737056639004709,0,0,0,0,0,0,0,0.0933862559764195,0,0.00795046637706537,0,0,0,0.296190752917466,0,0,0,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0.0461347599873316,0,0,0,0,0.0688391789798347,0,0,0,0,0,0.416241191247077,0,0,0,0,-0.0606580347521311,-0.12156477308799,0,0,0,0,0,0.109651226876738,0,0,0.0297511668385064,0,0,0,0,0,0,0.0372283683345039,0.0294407913372762,0,0.106225932750187,0,0,0,0,-0.00995985841221673,0,-0.00536468914643957,0,0,0,0,0
X002371.SZ,0,0.102705287506725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366312703516122,0.237835590335357,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135796740718837,0.0363600297295437,0,0.0367187288278742,0.23251019578985,0.0848583852677363,0,0,0,0,0.0468460975222363,0,-0.119704549679349,1.38777878078145e-17,0,0,0,0,0,0.0276681931787868,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.227576411339198,0,0,0,0,0,0,0,0,0,0,0,0.0456655102944187,0,0,0,0,0.181884962976833,0,0,0,0,0,0,0,0,0,0.0689173487495542,0,0,0,0,0,0,0.0433536738434806,0,0,-0.073434634827754,0,0,0,0,0,0,0,0,-0.0188934048923959,0,0,0,0,0,0,0
X000596.SZ,0,0,0.144844767892413,0,0,0.433097068804009,0,0,0,0,0.00155720901198419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0411711430951655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0294917776859824,0,0,0,0,0.206330019122885,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0.0145009411814209,0,0,0,0,0.0236476976407271,0.050568473248216,0.0482637152471173,0.0203836535951496,0,0,0,0,0,0,0,0,0,0,-0.0114385320997069,0,0,0.04824481140588,0,0.0411044034212653,0,0,0.00579745202588602,0,0,0,0,0,0,0.114896549936294,0,0,0.0166409486292158,0,0,0,0,-0.00434615651874823,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136676288800714,0.108539852553944,0,0,0,0.282132179462554,-0.0842340911616592,0,0,0.116325609309172,0.145229099091585,0,0.0839602151889154,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0690926018288559,0,-0.0192300668843233,0,0,0,0,0,0,0
