,X600519.SH,X600104.SH,X000651.SZ,X000858.SZ,X002415.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X000568.SZ,X000338.SZ,X600031.SH,X600741.SH,X600703.SH,X300003.SZ,X600271.SH,X601877.SH,X300124.SZ,X002008.SZ,X000596.SZ,X600487.SH,X002236.SZ,X002456.SZ,X002007.SZ,X000100.SZ,X600809.SH,X002179.SZ,X600566.SH,X000661.SZ,X600498.SH,X600867.SH,X000625.SZ,X300146.SZ,X600066.SH,X002294.SZ,X600177.SH,X000157.SZ,X600089.SH,X000977.SZ,X002506.SZ,X300136.SZ,X600372.SH,X002241.SZ,X002180.SZ,X000981.SZ,X300142.SZ,X600522.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601877.SH,0,0,0,0,0,0,0,0.000479596039368031,0.16102731035242,0,0.177213453572574,0,0,0,0,0,0,0,0,0,0.0469477582499848,0,0,0,0.000629879751861484,0,0,0,0,0.0407366961362808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00421158109701003,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0.198554758729074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00645592398927843,0.18175152685721,-0.0257337074168188,0,0,0,0,0,0.184840806599942,0,0,0,0.166614424269856,0,0,0.1654734663924,0,-0.210229995468505,0,0.0159108376088009,-0.00656379303352338,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0.0142208581639118,0,0,0,0,0,0,0,0,0,0.225235269884066,0,0,-0.00249436576340169,0,0,0,0,0,0,0,0,0,0,0,0,-0.105386108849026,0,0.182273653121888,0,0,0.151977744572892,0,0,0,0,0,0,0,0,0,0.389567686666928,0,0,0,0,0,0.0313953033598278,0.0340614969909984,0,0,0,0,0,0
X000596.SZ,0,0,0,0.00939450089672913,0,0,0.258190915651157,0,0,0,-0.0338998747905146,0.162003011114234,0,0.0227631174620844,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291020532418867,0,0.0540896687438956,0,0.0887437922641532,0,0,0.0196269058214916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146460810033609,0,0.0149595519606169,0,0,0,0,0,0,0
X600487.SH,0,-0.0304105813547531,0,0,0,0,0,0,0,0.227123331968912,0,0,0,0.121457335015539,0,0,0,0.139691371686563,0,0,0,0,0,0,0,0,0,0,0.0914871227607077,0,0,0.148195758528521,0,0,0.209408162181985,0,0,0,0,0,0,0,0,0.0928607180751535,0,0.161029489568945,0,0,0,0,0,-0.00303110227454604,-0.00299010410744592,0,0,0,-0.0453691270955946,0,0
X002236.SZ,0,0,0,0,0.486889969276269,0,0,0,0,0,0,0,0,0,0,0.665955961954897,0.0442240317962431,0.0177946856880148,0,0.125591193944981,0,0,0,0,0,0,0,0,0,0,0,0,0.124730774974054,0,0.0390902677104326,0,0,0,0,0,0,0,-0.0776400334311755,-0.130550423932083,0,0,0.129499641462481,0,0,0,0,0.0336298524944127,0.082969667574712,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0.0241963061403408,0.420814999312569,0,0,0,0,0,0,0,0.242802482692717,0,0,-0.0857925414617007,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,-0.0803505022177069,0,0.356650851014289,0,0,0.207652284487968,0,0,0,0.158984601666001,0,-0.00737680764512213,-0.00173996235739251,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0.539323981239395,0,0,0,0,0,0,0,0,0,0,0.0431611671626193,0,0,-0.173140310773109,0,0,0,0,0,0,0,0.127807405714762,0,0,-2.16840434497101e-19,0,0.0228802325416878,0,0,0,0,0,0,0,0,0,0,-0.166892630807328,0,0,0,0.151958712408407,-0.0944758170483733,0.0871353325184702,0,0.00451842857809913,-0.0583577994558094,0,0,0,0,0,0
X000100.SZ,0,0,0.080962838805394,0,0,0,0,0.236730781377092,0.0911242555741365,0.0300754490534272,0,0,0,0.133631455283469,0,0,0,0,0,0,0,0,0,0.0303239388381726,0.0552042985064066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067883737549276,0,0,0,0.0378355435255813,0,0.122285879064243,0,-0.00988726645079411,-0.0190489076522114,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.0799772544938829,0,0,0.00145385490730731,0,0.236080973341933,0.22806579810978,0,0.132935073739403,0.0148125524349318,0,0,0,0,0,0.432867642476449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486241181537305,0.00011137895177655,0,0,0,0,0,0.109283738713109,0,-0.0084639963774694,0,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313235441737643,0,0.258486178752249,0,0,0,-0.10936090895891,0,0,0,0,0,0,0,0,0,0,-0.0142616169061296,0,0,0,0,0,0,0,0,0,0,0.0388162724065045,0,0.0627112763639354,0,0,0,0,0,0.030187390035084,-0.0441116226258381,0,0,0,-0.105834191212695,0,0
X600566.SH,0,0,0,0,0,0,0,0,0,0,0,0.0294896205305066,0,0,0.0120510742247197,0,0.268716758092572,0,0,0,0,0.156429815963329,0,0,0,0.00605344406348115,0,0,0,0,0.072934250339039,0,0.307318748376684,0,0,0,0.0148668392763629,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,-0.0238428655482052,0,0,0,0,0,0,0
X000661.SZ,0,0.185910681732748,0,0,0,0,0,0,0,0,0,-0.460996271287782,0,0,0,0,0.339501205332682,-0.0426162076840347,0,0,0,0,0,0,0,0.273726957239373,0,0,0,0,0,0,0,0,0.0912926260257818,0,0,0,0,0,0,0,0,0,0,0,0,0.227196223336935,0,0.246249533745181,0,-0.0733267456439327,-0.194069609716144,0,0,0,0,0,0
