,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000725.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600031.SH,X600703.SH,X000100.SZ,X600271.SH,X600372.SH,X000157.SZ,X002292.SZ,X002236.SZ,X600066.SH,X000338.SZ,X002241.SZ,X002475.SZ,X600741.SH,X600089.SH,X000559.SZ,X601877.SH,X002129.SZ,X600177.SH,X000547.SZ,X000016.SZ,X600839.SH,X600435.SH,X000568.SZ,X002465.SZ,X300124.SZ,X300003.SZ,X600582.SH,X002294.SZ,X600252.SH,X002456.SZ,X002276.SZ,X000066.SZ,X002179.SZ,X000550.SZ,X002007.SZ,X000581.SZ,X000800.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205593810028114,0,0,0,0,0,0,0.0317357275670235,0.0840689052096848,0,0.196397921027687,0,0,0,0.0369760505226092,0,0,0,0.0380913987916435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00931981790357021,-0.0114146828660837,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0910347149793306,0.0387576743458324,0,0,0,0.119119238234182,0,0,0.0174051544490442,0,0,0,0,0,0.00882225158457484,0.311906474419034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150196107937918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Change_TY3M,0.0965203348535171,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.034589427931309,0,0,0,0,0,0,0.0399456505126086,0,0,0,0,0,0,0,0,0,0.14123517055025,0,-0.219118762072537,-0.0224247422728774,-0.00775230877818625,0,0,0,0,0,0,-0.217049475714455,0,0,0.105007780536074,0,0.129218792794252,0,0,0,0.128239508436173,0,0.0362132022207644,-0.0403976237424796,0,0,0,0.0789323807865855,0,0
Slope,0,0,0,-0.158037148808834,0,0.728845116064763,0,0,-0.377066498175072,0,0,0,0,-0.0842503599417675,0,0,0,0,-2.64838206581827,0,0,0,0,0,0,0,0.781367038299695,0,-1.77395902015397,0,0,-0.226506755037901,0,-0.316589987918047,0,-0.116513457300421,0,0,0,0,0,0,-1.23551388265221,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0.251471884070954,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0.0711839797249759,0,0,0,0,0,0,0,0.137052538010807,0,0,0,0,0,0,-0.24052621326503,0,0,0,0,0,1.73472347597681e-18,0,0,-0.463141840512338,0,0,0,0,0,0,0,0,-0.22214108689445,0,0.267544102907523,0,0,0,0,0.158245299732847,0,0,0,0,0,0,0
RealEstate_excess,0,-0.0308052193347159,0,0,0,-0.101872050994908,0,0,0,0,0,0,0,0,0,0.0308212134393739,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457812744007505,0,0,0,0,0.180436411973396,0,0,0,-0.136095545976494,-0.267708126259102,0,0,0,0,-0.00402330392875422,0,0,0,0,0,0,-0.0391746218229888,-0.0125118513575343,0,0,0,0,0,0
MKreturn,0,0,-0.256855845716563,0,0,0,0,-0.104753744126133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0607009496692274,0,0,0,0.0155123922548856,0,0.0767338467988407,0,0.174112022354077,0,0,0,0,0,0,0,0,-0.0488935120464888,-0.0494774872421382,0.0480300371007862,0,0,0,0,0,0,0.0710303249295931,0,0,-0.0102438347419532,0,0.0950355699264221,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00206983147236825,0,0,0,0,0,0,0,0,0,0.000439372643889993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00171384128420988,0,0.00341198014395362,0,0,0,0,0,0,0.000891870042749502,0.000226496964460834,0,0,0,0.154729133315792,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201965790259021,-0.00210562277711174,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,-0.0189511459242219,0,0.00208657657294332,0,0,0,0,0,0,0,0,0,0,0.000884377832267369,-0.00244244788291726,0,0,0.00753251791695661,-0.00106892288613024,0,-0.00362770443038157,0,0,0,0,0,0,0,0,0.00387165187907604,0,0,0,0,0,0,0.0102270852146872,0,0,0.0116820887595197,0.00453531701024553,0,0,0,-0.00500015787874802,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00156367558210249,0,-0.00358281700008499,0,0,0,0,0,0,0.000998850178434982,0,0,0.00125876116664642,0,0,-0.00956175592554721,-0.00588386312876704,-0.000378218207258293,0,0,0,0,0,0
