,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X003816.SZ,X600809.SH,X000651.SZ,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X600031.SH,X000625.SZ,X000063.SZ,X002304.SZ,X300124.SZ,X000338.SZ,X000596.SZ,X002179.SZ,X300014.SZ,X002241.SZ,X000100.SZ,X600089.SH,X002463.SZ,X600372.SH,X600703.SH,X000157.SZ,X600584.SH,X002028.SZ,X000977.SZ,X600741.SH,X600522.SH,X600183.SH,X002236.SZ,X600066.SH,X002049.SZ,X600418.SH,X601877.SH,X000921.SZ,X000661.SZ,X000800.SZ,X002223.SZ,X002180.SZ,X600487.SH,X600460.SH,X601799.SH,X600177.SH,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600741.SH,0,0,0,0.173700840361665,0,0,0,0,0,0,0,0,0,0.0600825462966081,0.00339833262739919,0,0,0,0,0,0,0.0083434561257487,0,0,0,-0.156907795319861,0,0,0,0,0,0,0,0,0,0,-0.0150431434902764,0,0.052814906963543,0,0,0,0,0.0224713197096039,0,0,0,0,0,0,0,0,-0.0801770217418409,0,0,0,0.00599648247461565,0,0
X600522.SH,-0.202665059817657,0,0,0,0,0,0,0,0,0,0.0771103405519827,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,-0.0646707284135371,0.229546030563521,0,0,0,0,0,0.029168287430548,0,0,0,4.33680868994202e-19,0,0.0686620185078933,0,0,0,0,0,0,0.134270977672303,-0.0960901422858671,0.622014726944462,0,0,0,0,0,0,0.00344262053647217,0,0,0,-0.0188102832728428,0,0
X600183.SH,0,0,0,0.0812519231662168,0.272111703365966,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147232468906013,0,0,0,0,0,-0.0751630536146492,0.112420137373571,0,0,0,-1.73472347597681e-18,0.395073258948426,-0.198219116168276,0,-0.026476593338056,0,0,0,0,0,0,0,-0.0991317052371033,0,0,0,-0.0376837174593977,0,0,0,0,0,0,-0.0238932112382258,0.302390720615678,0,0,-0.053412769511747,0,0
X002236.SZ,0,0,0,0,0,0,-0.0151679164267244,0,0,0,0,0,0,0,0,0,0,0.0548602305577375,0,0,0,0,0,0.212582902945641,0,0,0.272063124500565,0,0,0,0,0.207985335711856,0,0,0,0,-0.0213453224915597,0,0,0,0,0.00848206994951118,0,0,0.15621568784039,0,0,0,0,3.31211024226894e-05,0,-0.0170965917223998,0,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0.36669061524485,0,0,0,0,0,0,0,0,0,0,0,0.0448110005654992,0.0233400397489321,0,0,-0.319957423634826,0,0,0,0.26769256931599,0,0,0,0.0462436011569352,0.358120132476868,-0.211036594646697,0,0,0,0,0,0,0,0,0,0,0.412289013788328,0,0,0,0,0,0,0,0,0,0.110142885581099,-0.371757876782529,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137583086132083,0,0,0,0.100646472388422,0,0.253492414915227,0,0,0,0.308030236913269,0,0,0,0,0,0,0,0,0,0,0,0,0.111366647029523,0,0,0,0,0,0,0,0,0,0,0,0.0417997618850727,0,0
X600418.SH,0,0,0,0.17246024326868,0,-0.110960369864004,0,0,0,0,0,0,0,0,0.352289258033239,0,0,0,-0.055684140903292,0,0,0,0,0,0,0.136353057375741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178726688637627,0,0,0.23338150135723,0,0,0.0291041490944652,0,0,0,-0.0770328513400728,0,0
X601877.SH,0,0,0,0,0,0.0739284011932158,0,0,0,0,0,0,0,0.133303002376124,0,0,0,0.080569622026011,-1.38777878078145e-17,0,0.0987881735961854,0.0721258451596582,0,0,0,0,0,0,0,-0.0523211475003711,0,0,0,0.178258305450805,0.000452259553585521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258266935481875,0,0
X000921.SZ,0,0,0,0,0,0.410674280907577,0,0,0,0,0,0,0,0,0.226053901928172,0,0,0,0,0.0649362298071816,0,0,-0.302955168142286,0,0,0.130484140390887,0,0,0.37242867897893,0,0,0,0,0,0,0,0,0,0.0029725201376323,0,0,0,0,0,-0.0585201627533825,0,0,0,0,0.0940591171466813,-0.159299571596186,0,-0.181752863580296,0,0,0,0.0897577548879026,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0,0.526834387473757,0.0131992884839473,0,0,0,0.0353063351465921,0,0,0,0,0,0,0,-0.213221928196037,0,0,0,0,0,0,0,0,0.0953283797986725,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,-0.0519866442629824,0,0.216661531085854,-0.051797464377001,0.0965011296778884,0.0144372841871094,-0.073375744507209,0,0,0.0527043539763377,0,0
