,X600104.SH,X600519.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600690.SH,X600276.SH,X600031.SH,X000100.SZ,X000338.SZ,X000157.SZ,X600372.SH,X600089.SH,X600741.SH,X002129.SZ,X600703.SH,X600118.SH,X600271.SH,X002241.SZ,X600177.SH,X600066.SH,X600582.SH,X002236.SZ,X601877.SH,X000581.SZ,X000800.SZ,X000568.SZ,X000559.SZ,X000623.SZ,X000550.SZ,X600839.SH,X002475.SZ,X600060.SH,X002294.SZ,X000977.SZ,X300124.SZ,X002007.SZ,X002292.SZ,X000869.SZ,X000050.SZ,X300146.SZ,X000400.SZ,X002456.SZ,X002008.SZ,X002465.SZ,X600252.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600276.SH,0,0.0363313122668983,0,0,0,0,0.0732886816726847,0,0,0.0609832107129292,0,0,0.0296243194754815,0,0,0,0,0,0.0299822128078096,0.0166598849396009,0,0,0,0,0.0660880312854093,0,0,0,0,0.0702542005141855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211935616629682,0.00854386486187109,0,0,0,0,0,0
X600031.SH,0.128084639693571,0,0,0,0,0,0,0.0328782731458103,0.0207009564471299,0,0,0,0,0,0.296387523544919,0,0.15285743398642,0,0,0,0,0,0,0,0,0,0,0,0,0.088805598250544,0,0,0.0539388032397639,0,0.0219896418411952,0,0,0,0,0,0,0,0,0,0,0.0154151045004905,0,0,0,0,0,-0.0512726326232753,0.0198673548351213,0,0,0,0,0,0
X000100.SZ,0.112874809869696,0,0,0,0,0,0,0,0,0,0,0.0254884713599564,0,0,0,0,0,0,0,0,0,0,0,0.0571286409098437,0,0.0708504985478131,0,0,0.0399903896956883,0.00550808849757703,0,0.0661574534281325,0,0,0,0,0.261987903427019,0,0,0,0,0,0,0.0204461033424275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000338.SZ,0.0176412315556857,0,0.0710043301485757,0,0,0,0,0,0,0,0,0,0,0,0.327277996839894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129526561858111,0,0.0616179087650175,0,0,0.15171632284337,0.0422904304813164,0,0,0,0,0.0585275222310396,0,0,0,0,0.00105994520896994,0,0.0503349238464332,0,0,0,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0.0517429768190871,0,0,0,0,0,0,0,0.391636924321088,0,0.0608261879678629,0,0,0.105217993581551,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214954909724947,0,0,0,0,0,0.0814469181141027,0,-0.00801646469543361,0,0,0,0,0.115660588357989,0,0,0,0,0,0.0245478434933979,0,0.00391939776417725,0.0107327461825343,0,0,0,0,0,0
X600372.SH,0,0,0,0.0799496100709941,0,0,0,0,0,0,0,0.275709990515585,0,0,0,0,0.0595631166838826,0,0,0,0.0955679190283129,0,0,0,0,0,0,0.0492652206087245,0,0.0453097787855964,0,0,0,0,0.00182396985400919,0.137648943547045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0277117183822848,3.46944695195361e-18,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0.232404632595314,0.0761956529876453,0,0,0.22397356511314,0,0,0,0,0,0,0.0370570383072014,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125183606577033,0,0,0,0,0,0,0.0193711075438702,0,0.21944001138482,0,0,0,0,0.0430068094052346,0,0.016141655340619,0,0,0,0,0,0
X600741.SH,0,0,0,0,0.221904319145709,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152471591886628,0,-0.113085076060039,0,0,0,0,0,0,0,0,0.0153765283296018,0,0,0,0,0,0,-0.0270939065147016,0,0,0.153375611198797,0,0,0,0,0,0.0337422883508832,0,0,0,0,0,-3.46944695195361e-18,0.062932784069858,0,0,0,0,0,0
X002129.SZ,0.100234627757775,0,0,0,0,0,0,0,0.228617151398691,0,0,0,0,0,0,0,0,0.0385936286783836,0,0.212855347694056,0,-0.0120406321720184,0,0.0498935087989724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14342602604354,0.201384617640228,0,0,0,0,-0.0279571611242052,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0.127940657175855,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.132935254772782,0.0471878838150085,0.13402905949244,0,0,0,0.115978435848783,0,0,0,0,0,0,0,0,0,0,0,0.0250220841962753,0,0,0,0,0,0
X600118.SH,0,0,0,0.0140146259114828,0,0,0,0,0,0,0,0,0,0,0,0.280575696994914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00982926684458093,0.097903138774126,0.0959595327100875,0,0,0.0430546329879253,0,0,0,0,0,0,0.010904227943657,0.0771146729928051,0,0.0431278164166935,0,0.0121113482498954,0,0,0,0,0,0,0
X600271.SH,0,0,0,0,0.0702726268639787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012972588502686,0.275187556755491,0.292134414893711,0,-0.0580533538708689,0,0,0,0,0,0,0.031781856006275,0,0.0255119245762103,-1.0842021724855e-19,0,-0.0871062234962509,0,0,0,0,0,0,0.0717575992100354,0,0,0,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0686104520159126,0,0,0,0,0.0646526273666034,0,0.162162319426291,0.0685389562633002,-0.00713174447068328,0,0,0,0,0.00310645821080889,0.204457954388381,0,0,0,0,0.0718676813175074,0,0,0,0,0,0,0,0,0.0623386406290502,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,-0.0371907938857734,-0.0234776441197367,0,0,0,0,0,0
