,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600031.SH,X000100.SZ,X600690.SH,X600276.SH,X000338.SZ,X600372.SH,X000157.SZ,X600741.SH,X002241.SZ,X600703.SH,X600066.SH,X600089.SH,X600118.SH,X600271.SH,X000550.SZ,X601877.SH,X000581.SZ,X000800.SZ,X002236.SZ,X002475.SZ,X600582.SH,X000623.SZ,X600060.SH,X600177.SH,X000568.SZ,X300124.SZ,X002129.SZ,X000559.SZ,X000050.SZ,X000977.SZ,X002294.SZ,X000400.SZ,X002456.SZ,X300146.SZ,X600839.SH,X300003.SZ,X002465.SZ,X002292.SZ,X000869.SZ,X600312.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002236.SZ,0,0,0,0.041774673522717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385552408800469,0,0,-0.0805131700103748,0,0,0,0,0.0748797520429495,0.0398781222900051,0,0,0,0,0.104903748399414,0,0,0,0,0,0,0.228890037433284,0,-1.73472347597681e-18,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0.192126954691724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429683718584914,0.0540627785951935,0,0.101040566202167,0,0,0,0.0356076199164122,0,0,0,0,0,0,0.0755373696327088,0.134307675321334,0.0847568518955335,0,0,0,0,0,0,0,0,0,0,0,0,0.00323923272086832,0,-0.0245328554413692,0,0,0,0,0,0,0
X600582.SH,0,0,0,0,0,0,0,0,0.0137987321666587,0,0,0,0,0,0,0.00201439605335644,0,0,0,0,0.0964448603055418,0.13183375218292,0.275205463442771,0,0,0,0,0,0,0,0.0858507305816521,0,0,0.186523520761431,0,0,0,0,0,0,0,0,0,0,0,0,0.0466534360535139,0,0,0,0,0.0306462825981608,0.0101019091889121,0.0213486592187737,0,0,0,0,0
X000623.SZ,0,0,0,0,0.115539787426581,0.320580109118637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.201685572485103,0,0,0,-0.0779374022127039,0,-0.0205495126211261,0,0,0,0,0.484213877736522,0,0,0,0,-0.0199102612928485,0,0,0,0,0,0,0,0.154387619884084,0,0,0,0,0,-0.0280439571483893,-0.010085959962282,0,0,0,0,0,0
X600060.SH,-0.032582179028991,0,0,0,0,0,0.312809777805397,0,0,0,0.227256810543376,0,0,0,-0.00435032582236262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542180899376917,0,0,0,0.0162127824234654,0,0,0.136301162123393,-0.050220801608793,0,0,0,0,0.23841729966672,0,0,0,0,0,0.104980347579016,0,0.0113616320237851,-0.0110400922848532,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0.232825438531046,0.0512346204644007,0,0,0,0,0.141843238821341,0,0,0.00816415310618617,0,0,0,0.0858799004580682,0.091948006432584,0,0.0439032776661438,0,0.0409059570752148,0,0,0,0.362545789220704,0,0,0,0.0301333750728216,0,0.0283308955863247,-0.0345622834305834,0,0,0,0,0,-0.0784743720700839,0,0,0,0,0,0,0,0,-0.0105820534877971,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.216122862678487,0,0,0.231510209385926,0,0,0,0,0,0,0,0.0394921217778307,0,0,-0.110823853927541,0,0,0.0245288863647181,0,-0.0498372929665655,0.171312773370441,0,0,0,0,0.138087668862495,0,0,0,0,0,0,0,0,0,0,0,0.0201747830695301,0,0,-8.67361737988404e-19,0,0,0.0131955435446392,0,0,0,0,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0.0287953270884378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225458592998193,0.0870299055809502,0,0,0,0.188241539700031,0,0,0,0.0764171440920016,0,0,0,0,0,0.139948967562443,0,0,0,0.126479833802818,0,0.0121535374519315,0,0,0,0,0,0.264208840717543,0,-0.040882098967497,-0.0186207974232846,0,0,0,0,0,0
X002129.SZ,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0844532104409826,0,0,0.0256715199598845,0,0,0,0.00406093441348314,0,0,0,0,0,0.137006973640411,0,0.0874392550159647,0.0576078750056734,0.00112480737262242,0,0,0,0,0,0,0,0,0.179791425439376,0,0,0,0,0,0,0,0.0600293103483068,0,0,0.0215598310114378,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.245109228595201,0,0,0,0,0,0.0594318320559623,0,0,0,0,0,0.286051489597249,0,0,0,0.0162120804373591,0,0,0,0,0,0.134754309246977,0,0,0,0,0,0,0,0.0146617567207998,0,0,0,0.198866830810094,0,0.111267318916053,0.0258980087972509,0.144579708225299,0,0,0,0,0
