,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000651.SZ,X002304.SZ,X600104.SH,X300124.SZ,X000625.SZ,X000725.SZ,X003816.SZ,X000596.SZ,X002371.SZ,X000063.SZ,X000338.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600703.SH,X002129.SZ,X002236.SZ,X600089.SH,X600372.SH,X002049.SZ,X002241.SZ,X000661.SZ,X600584.SH,X000157.SZ,X600741.SH,X601877.SH,X600522.SH,X000977.SZ,X600418.SH,X000800.SZ,X002074.SZ,X002007.SZ,X600183.SH,X601799.SH,X002463.SZ,X300142.SZ,X600702.SH,X002456.SZ,X002180.SZ,X002028.SZ,X000733.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15061761948219,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.00864756064502027,0,0.270672510723611,0.675886966632576,-0.0844537092660809,0.0579721731363711,0.211188202584642,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0108609713443599,0.0127746369226161,-0.134504505744752,0,0,0,0,0
X000725.SZ,-0.11393556368448,0,0,0,-0.033624984020686,0,0,0,0,0,0,0,0,0,0,0,0.131618221819655,0.0310761717434256,0,0,0,0.191627629054598,0.471271114543298,0,0,0,0,0,1.38777878078145e-17,0,0,0,0.117818311558449,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0773420913179036,0,0,0,0,0,0.0227555241763409,0,0,0,-0.0315727910325592,0,0
X003816.SZ,0.030963230292053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150565712293159,0,0,0,0,0,0,0,0,0,0,-0.00337958275361557,0,-0.208767198669102,0,0.0824024933265281,0,0,0,0.0222182747258719,0.00132136857526495,0,0,0,0,0,0,0,0,-0.0144446459825452,-3.46944695195361e-18,0,0,0,0.00956171688154573,0,0,0,0,0,0,0
X000596.SZ,0,0,0,0.401718164379538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190159795725409,0.00553815789091886,0,0,0,0,0,0,0,0.0268564053230214,0,0,0,0,0,0.00621059208236606,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0.218998043083265,0,0,0,0,0,0.180275149476432,0,0,0,0,0,0,-0.164478614727921,0,0,0.0587838368850027,0,0,0,0,0,0.144523088872397,0,0,0.328491047978919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0.00566408863790185,-3.46944695195361e-18,-0.0176384504276966,0.110201449520717,-0.0115252086996109,0,-0.187554361882878,0,0,0,0,0
X000063.SZ,0,0,0,0,0.626341382286052,0,0,0,0,0,0,0,0,0,0,0,-0.274875180574556,0,0,0,1.73472347597681e-18,0,0,0,0,0.249437033290343,0,0,0,0,0,0,0,0,0,0,0.138508086801102,0,0,0.169410334528119,0.0771924213053904,0,0,0,0,0.462441852040785,0,0,-0.238873819280557,0,0,0,0.0186250029457232,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0.00642020105007903,0.0303824143820648,0,0,0,0.03393102504506,0,0,0,0,0,0,0,0,0,0,0,0.0471588416186689,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0721671358087705,0,0,0,0,0,0,0.0637616692079983,0,0,0,-0.112681884526622,0,-0.0133664549073329,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0.0482104208354434,0,0,0,0,0,0.0722310771491992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694164834770346,0,0,0.205077213295871,0,0.00236197210574782,0.0472534444520953,0,0,0,0.0384281226790903,0.00815667425994931,-0.0654760069510013,0,-0.0157079685523542,0,0,0,-0.0577760520767909,0,-0.0118014210338967,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0.0509403082832383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285304865725569,0,0,0,0.0690047218202112,0.0723376661265651,0,0,0,0,0,0,0.0478028825836523,0,0,0.0550580996088458,0,0,0.032966060546521,0,0,0,-0.0389557380559904,0,0,0,0,0.000354848454943495,-2.71050543121376e-20,0,0,0,0,0,0
X002179.SZ,0,0,0,0,-0.0257303463717416,0,0,0,0,0,0,0,0,0.329305439274495,0,0,0,-0.07000601133202,-0.100130302907417,0,0,0,0,-6.93889390390723e-18,0,0.218589807513513,0,0,0.09056359289676,0,0,-0.150773474699607,0,-0.133581121449333,0,-0.0447933232503865,-0.054803819073853,0,0,0,-0.0137807637912519,0,0,-0.0832917499945587,0,0,0,0,0.0498247953106746,0.182063337536111,0,0.00380854836923839,0,0.0234501555620657,0,0,0,0,0
