,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600690.SH,X600276.SH,X600031.SH,X000100.SZ,X000338.SZ,X600741.SH,X600372.SH,X000157.SZ,X002241.SZ,X600703.SH,X600089.SH,X600066.SH,X600271.SH,X600118.SH,X002236.SZ,X000550.SZ,X601877.SH,X600177.SH,X002475.SZ,X000581.SZ,X000800.SZ,X600582.SH,X000568.SZ,X002129.SZ,X300124.SZ,X002294.SZ,X000623.SZ,X002292.SZ,X000559.SZ,X600060.SH,X300003.SZ,X000050.SZ,X002456.SZ,X000400.SZ,X000977.SZ,X000869.SZ,X600839.SH,X300146.SZ,X002465.SZ,X002038.SZ,X600312.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300146.SZ,0,0,-0.0329850123871164,0.141870723922428,-0.0444588828126809,0,0,0,0,-0.142221065445585,0,0,0,0,0,0,0,0,0,0,-0.0268218824377455,0,-0.00791564646179884,0.0863520426721891,0,0,0,0,0,0,0,0,0,0.258547587415641,0,-0.0105958582473207,0,0,0.275249846962569,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172361850411691,0,0,0,0,0,0
X002465.SZ,0,-0.0729301594298412,0,0,0,0,0,-0.0388888178812687,0,0,0,0,0,0,0,0.0310588473490997,0,0,0,0,0,0.2885869037805,0.206195993998211,0,0,0,0,0,0,0.133650023662061,0,0,0.0678757744285492,0,0,0.0124406161550084,0.0901646560561362,0.12213639841035,0,0.171039355511072,0,0,0,0,0,0,0,0,0,-0.0395299476091106,0,0,0,0,0,0,0,0,0
X002038.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311736535168883,0.0312532338645658,0,0.0178479731212368,0,0,0.0364421349574158,0,0.0758564340877552,0,0,0,0,0,0,0,0.0326179585928796,0,0,0,0.154504182672668,0,0,0,0,0.191857259860532,0.0937921467516666,0,0,0,0.0134124239846275,0,0,0,0,0,0,0
X600312.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0365746143872371,0,0,0,0,0.558937385978457,-0.00840660603395571,0.0239038958743634,0.0446508744155103,0,0,0,0,0,0,0.0234031956357561,0,0,0,0,-0.013019770401295,0,0.09711475113676,0,0,0,0,0.143655573009951,0.168776704034776,0,0,0,0,0,0,0,0,0.0271119281640619,-0.0109861181104342,-0.00728422105310364,0,0,0,0,0
Change_TY3M,0,0,0,-0.060831195695972,0,0,-0.0247102064044667,0,0,0.0866415108189289,0,0,0,0,0,0,0,0,0,0,0,0,0.143120830868177,0,0,0,0.0423217403382944,0.047160089939305,0,0,-0.0580061976938298,0,0,0,0,0,0,0,0,-0.0123419040102474,-0.0244882786680023,0,0,-0.00674474403729247,0,0,0,0,0,0,0,0,-0.0010738226916157,0,-0.0146014838956179,0,0,0,0
Slope,0,0,0,0.10996567581993,0,0,-0.375140505706881,-0.0654926136916184,0,0,0,-0.462808910472029,0,0,0.280487243782074,0,0,0,0.260876833227228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105305751471478,0,0,0,0.0495857465897067,0,0,0,0,0,0.143911021027757,0,0,0,0,-0.120871465806019,0,0,0,-0.78019658054731,0,0
TED,0,0,0,0,0,-1.50913383452803,0,0,1.25355995849204,0,0,0,-0.0752182013329883,0,0,0,-1.05993376676683,0,1.09221792186539,0,0.259054443335965,0,0,0.125922553160379,0,0,0.821194162480418,0,0,0,0,-0.0121959354798099,0,-0.9555609865436,0,0,0,0,0,0,0,0,0,-1.58381272667448,-2.15889368664976,0,0,0,0,0,0,-1.65486670473955,0,0,0,0,-6.36907657821491,0,0
RealEstate_excess,0,0,-0.352256225772701,0,0,0,-0.148632680245586,0,0,0,0,0,0,0,0,0,0.0437156100597333,0,0,0,0,0,0.00444921093439807,-0.298645954464311,0,0,0.0806862818953516,0,0,0.0540097585532203,0,-0.114334035639605,0,0,0,0,0,0.355565294265989,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.0219877737670953,0,0,0.0430516321621357,0,-0.0797953890598322,0,0,0,0
MKreturn,0,0,-0.292458219919486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0601342156024185,0,0,3.46944695195361e-18,0,-0.113048425538933,0,0,0,0,0,0,-0.220582293990899,0,0,0,0,0.0724588303459024,0,0,0,0,0,0,0,-0.000221739526527221,0,-0.0325854200551665,0,0,0,0,0,0.0228215597645916,-0.00661266457224549,-0.315231181086094,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00336320923695204,0,0,0,0,0,0,0,0,0,0,0,0,0.000828208694605209,0,-0.00218211725126984,0,0,0,0,0,0.000940012097904435,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0.00458725809667476,0,-0.00385159183402953,0,-0.105052889092084,0,0
