,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600690.SH,X600276.SH,X600031.SH,X000100.SZ,X000338.SZ,X600372.SH,X600741.SH,X000157.SZ,X002241.SZ,X600703.SH,X600066.SH,X600089.SH,X600271.SH,X002236.SZ,X600118.SH,X000581.SZ,X601877.SH,X002475.SZ,X000550.SZ,X600177.SH,X000800.SZ,X600582.SH,X002129.SZ,X000568.SZ,X300124.SZ,X002294.SZ,X000559.SZ,X000623.SZ,X002292.SZ,X600060.SH,X000050.SZ,X300003.SZ,X002456.SZ,X000400.SZ,X000869.SZ,X300146.SZ,X000977.SZ,X002465.SZ,X600839.SH,X002007.SZ,X600312.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600089.SH,0.14345588702717,0,0,0,0,0,0,0.0782614922756633,0,0,0,0,0,0.14878155717184,0,0,0,0,0,0,0,0,0,0,0.11125279383309,0,0.0214659416464882,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.133826261979573,0,0.210819911295912,0,0,0,0,0,0,0.209058956395121,0,-0.00444493316507483,-0.00188069613337175,0,0,0,0,0,0
X600271.SH,0,0,0,0,0.0304429524374169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780213951409005,0,0,0,0,0.00791854631878486,0.050020787797105,0.185191401397679,0,0,0.0846868816519432,0,0,0,0.00658546756453808,0,0,0.126466332780636,0,0,0,0,0,0.209498153851361,0,0,0.110070664343573,0,-0.0460896627423474,0.00253513044299342,0,0,0,0,0,0
X002236.SZ,0,0,0,0.115579313506808,0,0,0,0,0.167512572933816,0,0,0,0,0,-0.0618372829618576,0,0,0.0938647928884961,0,0,0,0.251696048511445,0,-0.0758061475930642,0,0,0.323992023520142,-0.0293769512412516,0,0,0,0,0,0,0,0.227720761761,0,0,-0.0947617052206588,0.0331575588033659,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.00908339071423448,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0.0872432342212673,0,0,0.221841654005265,0,0.301938231471146,0,0,0,0,-0.044582636295592,0,0,0,0.0591733632246915,0,0,0.114500223344844,0,0.107038592255274,0,0,0,0,0.0137613866027178,0,0,0,0,0,0,0,0,0,0,0.228252472882113,0,0,0.221789922725838,0,-1.73472347597681e-18,0.00623209619717328,0.083196260822437,0,0,0,0,0
X000581.SZ,0.0573179586813383,0,0,0,0,0,0,0,0.130574073438431,0,0,0.0538667398237126,0.0512436768890494,0,0,0,0,0,0.0292656132897277,0.173828826327936,0.0731789865739805,0.159874112562585,0.0203714790348244,0,0,0,0,0.0521230366423278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181998311800677,0,0,0,0,0,0,-0.058851548172976,-0.0103442539146116,0,0,0,0,0,0
X601877.SH,0,0.0280776241365214,0.0064507403018161,0,0,0,0,0,-0.0125121323383201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197214565032806,0.13652157581102,0,0,0,0,0,0.0558042840483072,0,0,0,0,0.202486196409373,0,0,0,0,0,0,0,0,0,0.0278402354864477,0.0183918168734546,0.0116531515880874,0,0,-0.0617385911721745,0,0
X002475.SZ,0,0,0,0.128352443922979,0,0,0,0,0,0.0802180055775857,0,-0.0224755286992034,0,0,0,0,0,0,0,0,0,0,0.113573559087248,0.102124680888865,0,0,0,0.0272482196396582,0,0,0,0.09372770278629,0,0,0.197309539961138,0.0550775951047258,0,0,0,0.0373459775904915,0,0,0,0,0,0.0544713130543875,0,0,0,0,0,-0.0319216679607715,0,0,0,0,0,0,0
X000550.SZ,0.0520843835345723,0,0,0.198336289739119,0,0.0190088530904534,0,0.140002707598986,0,0,0,0.0775469778416237,0.10811917559419,0,0,0,0,0,0,0,0,0,0,0,0.105598016917386,0,0,0,0,0,0,0,0,0.066967869485136,0,0,0,0,0,0,0,0,0,0.0389095919439767,0,0,0,0,0,0,0,0,0.0085760994782602,0,0,0,0,0,0
X600177.SH,0.0014698340954116,0,0,0,0,0,0,0,0.282521419581627,0,0,0.0887167593576037,0,0,0.0738676867989984,0,0,0,0,0,0,0.0735206196583692,0.0372899058586041,0.115616546636022,0,0,0,0,0,0,0,0,0,0.0307177282507237,0,0,0.362865326138509,0,0,0,0,0,0,0,0,0,0,-0.066913866399859,0,0,0,-0.0216333042575284,-0.00872205350870079,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0.0118183134876052,0,0,0,0,0,0,0,0,0,0,0.0536671230068186,0,0,0,0,0.148202814814788,0,0,0.207694575151158,0,0,0,0,0,0,0,-3.46944695195361e-18,0.269443442738137,0,0,0.116459623173786,0.171593078913915,-0.0462496563533301,-0.0297505504836809,0,0,0,0,0.0422077047832382,0,0,0,0.0178559654906315,0.00944925408224319,0,0,0,0,0,0
